seq_id	L_seq	cov_hmm	bin
UniRef90_UPI001C99AD24	674	0.7665	PASS_LONG
UniRef90_UPI001E2B1632	674	0.7904	PASS_LONG
UniRef90_E1SSC4	672	0.7695	PASS_LONG
UniRef90_S3K174	672	0.8772	PASS_LONG
UniRef90_A0AA48GXH4	672	0.7335	PASS_LONG
UniRef90_UPI0038C281DE	672	0.7994	PASS_LONG
UniRef90_UPI003B528CC1	672	0.7754	PASS_LONG
UniRef90_Q8EH63	671	0.4581	FRAG
UniRef90_UPI000BA951E4	671	0.7784	PASS_LONG
UniRef90_UPI00025556D9	671	0.8743	PASS_LONG
UniRef90_A0AA35S3Z2	670	0.9551	PASS_LONG
UniRef90_A0A368NGG7	670	0.7874	PASS_LONG
UniRef90_A0A8S5S2K8	670	0.7784	PASS_LONG
UniRef90_A3D1X5	664	0.6317	FRAG
UniRef90_A0A8J3Z709	669	0.8263	PASS_LONG
UniRef90_A0ABW9G969	669	0.8084	PASS_LONG
UniRef90_UPI00398FAFC2	669	0.7725	PASS_LONG
UniRef90_I0AK08	668	0.7844	PASS_LONG
UniRef90_A0A4R1J9F9	668	0.8323	PASS_LONG
UniRef90_A0ABQ4P929	366	0.7126	PASS_CANONICAL
UniRef90_UPI0026EFE99E	668	0.8743	PASS_LONG
UniRef90_R9PS41	667	0.7874	PASS_LONG
UniRef90_A0ABW4XSW5	667	0.7754	PASS_LONG
UniRef90_A0A8J7DLR4	667	0.9401	PASS_LONG
UniRef90_A0A8J3ZRQ0	667	0.7964	PASS_LONG
UniRef90_A0ABQ1HZS4	667	0.7844	PASS_LONG
UniRef90_UPI003C72CA1F	667	0.7725	PASS_LONG
UniRef90_UPI003D7EDA1B	667	0.7844	PASS_LONG
UniRef90_A0A7V2ZJT0	666	0.7874	PASS_LONG
UniRef90_A0A4R6UJ24	666	0.8054	PASS_LONG
UniRef90_A0A259U039	666	0.7754	PASS_LONG
UniRef90_A0A975F4E5	666	0.9072	PASS_LONG
UniRef90_F8EZQ1	666	0.8743	PASS_LONG
UniRef90_UPI0003FECA1F	666	0.7814	PASS_LONG
UniRef90_A0A420ED81	665	0.7844	PASS_LONG
UniRef90_UPI001C65B2EC	664	0.4521	FRAG
UniRef90_A0ABR0BAE5	663	0.3084	FRAG
UniRef90_F5YB46	663	0.8772	PASS_LONG
UniRef90_A0A917JKJ4	663	0.4641	FRAG
UniRef90_A0A1E5IQL8	657	0.4581	FRAG
UniRef90_Q12KK0	662	0.4491	FRAG
UniRef90_A0ABT0L6G1	662	0.4611	FRAG
UniRef90_B1KI77	662	0.7156	PASS_LONG
UniRef90_A0ABX6V334	662	0.6826	FRAG
UniRef90_A8FSF6	662	0.4431	FRAG
UniRef90_A0A553JF55	662	0.6707	FRAG
UniRef90_UPI003735F912	662	0.4491	FRAG
UniRef90_UPI0015F810B6	662	0.4491	FRAG
UniRef90_UPI001566A31C	662	0.6916	FRAG
UniRef90_A0A806KMZ2	661	0.8473	PASS_LONG
UniRef90_A0ABS7CX35	661	0.8503	PASS_LONG
UniRef90_F4LM29	661	0.9461	PASS_LONG
UniRef90_A0ABW5IQJ1	661	0.8563	PASS_LONG
UniRef90_UPI001F45B96D	661	0.7455	PASS_LONG
UniRef90_UPI00034AE115	661	0.8713	PASS_LONG
UniRef90_A0A8J3YMZ5	660	0.7964	PASS_LONG
UniRef90_A0A1S6HPY2	660	0.7036	PASS_LONG
UniRef90_UPI00097029B8	660	0.6826	FRAG
UniRef90_A4Y4M2	659	0.4521	FRAG
UniRef90_UPI0015BD45FB	660	0.6796	FRAG
UniRef90_A0A1N6XA11	658	0.8533	PASS_LONG
UniRef90_B0TJ85	659	0.7186	PASS_LONG
UniRef90_A0AAJ1BEH3	658	0.4940	FRAG
UniRef90_A0A2U1B115	659	0.6976	FRAG
UniRef90_UPI003735BD2E	659	0.7754	PASS_LONG
UniRef90_UPI003F2BEDFA	659	0.4521	FRAG
UniRef90_B8CSF0	658	0.5060	FRAG
UniRef90_A0ABZ0JVU7	658	0.5389	FRAG
UniRef90_UPI00021262B6	658	0.4521	FRAG
UniRef90_UPI001C6569E4	658	0.4581	FRAG
UniRef90_UPI00201050BC	658	0.7455	PASS_LONG
UniRef90_UPI002632EE03	658	0.4820	FRAG
UniRef90_UPI001C98ED4B	658	0.7665	PASS_LONG
UniRef90_UPI0007810349	658	0.8862	PASS_LONG
UniRef90_A0AAW8NPQ6	657	0.4671	FRAG
UniRef90_U1GNZ3	657	0.9581	PASS_LONG
UniRef90_A0ABQ4P3F0	657	0.7186	PASS_LONG
UniRef90_A0ABS1SUU3	657	0.6796	FRAG
UniRef90_UPI001EFC3790	657	0.4581	FRAG
UniRef90_H7EK87	656	0.8922	PASS_LONG
UniRef90_A0AAC9U363	656	0.6766	FRAG
UniRef90_A0A972FSA2	656	0.6737	FRAG
UniRef90_A0AAE3EIA5	655	0.9371	PASS_LONG
UniRef90_UPI00398F7466	655	0.4611	FRAG
UniRef90_A3QBU5	654	0.7216	PASS_LONG
UniRef90_UPI0026296EB7	654	0.5090	FRAG
UniRef90_UPI00261B657F	654	0.4581	FRAG
UniRef90_A0ABS5HYF6	653	0.6257	FRAG
UniRef90_A0A380BFY9	651	0.6856	FRAG
UniRef90_UPI00397FBB0E	653	0.8473	PASS_LONG
UniRef90_F5YI34	652	0.8503	PASS_LONG
UniRef90_A0ABT0KKW8	651	0.4401	FRAG
UniRef90_A0A9E2L2E0	651	0.9072	PASS_LONG
UniRef90_A0ABM6JHC3	651	0.7246	PASS_LONG
UniRef90_UPI00200BFE29	651	0.4072	FRAG
UniRef90_UPI000C821B12	651	0.6976	FRAG
UniRef90_UPI00168AA9DF	651	0.9671	PASS_LONG
UniRef90_A0A974XM47	650	0.4701	FRAG
UniRef90_A0A9X1Z5Z0	647	0.7335	PASS_LONG
UniRef90_A0A7T3REG3	649	0.8743	PASS_LONG
UniRef90_UPI0011843954	649	0.4461	FRAG
UniRef90_A0A3N4E4A4	648	0.6766	FRAG
UniRef90_A0A094JGG8	647	0.4461	FRAG
UniRef90_A0A6G9QKW2	648	0.6886	FRAG
UniRef90_A0A7M1XNK9	647	0.8772	PASS_LONG
UniRef90_A0A4R2FED3	647	0.4701	FRAG
UniRef90_A0AA37WVG2	647	0.7814	PASS_LONG
UniRef90_A0A9X3AUE3	646	0.4671	FRAG
UniRef90_A0A1T4KJP1	646	0.9671	PASS_LONG
UniRef90_F2NX00	646	0.9611	PASS_LONG
UniRef90_A0ABX7YR96	646	0.7126	PASS_LONG
UniRef90_A0A9X1ZGS7	646	0.4281	FRAG
UniRef90_UPI003EC0FF2B	646	0.4611	FRAG
UniRef90_UPI003F0AAAB7	646	0.9581	PASS_LONG
UniRef90_UPI0025CC18E7	646	0.8832	PASS_LONG
UniRef90_UPI0026F276C4	646	0.9611	PASS_LONG
UniRef90_A0A806KJH5	645	0.8743	PASS_LONG
UniRef90_A0ABX8DD56	645	0.4611	FRAG
UniRef90_A0A2S4JRQ7	645	0.8713	PASS_LONG
UniRef90_UPI003D940711	645	0.9611	PASS_LONG
UniRef90_A0AA37RXU0	644	0.7994	PASS_LONG
UniRef90_A0A9D6V145	644	0.9611	PASS_LONG
UniRef90_A0ABT2FG32	644	0.7096	PASS_LONG
UniRef90_A0A411PK50	643	0.4281	FRAG
UniRef90_A0A7W8G8P6	642	0.9042	PASS_LONG
UniRef90_UPI001C47ABC4	640	0.3623	FRAG
UniRef90_A0A9D9H4Y8	639	0.9611	PASS_LONG
UniRef90_A0A7T7XMI5	639	0.8443	PASS_LONG
UniRef90_UPI003BB50DD0	639	0.9102	PASS_LONG
UniRef90_UPI0037358DE4	639	0.4341	FRAG
UniRef90_A0A9D9N1F4	638	0.9581	PASS_LONG
UniRef90_A0A9D9IAC8	638	0.9611	PASS_LONG
UniRef90_A0A098QW07	638	0.8623	PASS_LONG
UniRef90_UPI0029913B3E	638	0.8713	PASS_LONG
UniRef90_A0ABP6VNH0	637	0.6407	FRAG
UniRef90_UPI002FC9EF5D	637	0.9641	PASS_LONG
UniRef90_F4GLY0	636	0.9611	PASS_LONG
UniRef90_A0A9D1PUC1	636	0.9551	PASS_LONG
UniRef90_F0RX32	636	0.9641	PASS_LONG
UniRef90_A0A1W1H6Z0	636	0.9461	PASS_LONG
UniRef90_A0A9D9EBQ0	636	0.9611	PASS_LONG
UniRef90_A0A7X2TQ93	636	0.9641	PASS_LONG
UniRef90_A0AAJ1IJI6	636	0.9401	PASS_LONG
UniRef90_A0A5C1QRX8	636	0.9701	PASS_LONG
UniRef90_G8QYP9	636	0.9611	PASS_LONG
UniRef90_A0A372ML14	636	0.9222	PASS_LONG
UniRef90_A0ABS8W5Z7	635	0.4970	FRAG
UniRef90_UPI00261C9303	636	0.9551	PASS_LONG
UniRef90_UPI0029776378	636	0.9641	PASS_LONG
UniRef90_UPI002A0A1851	636	0.9162	PASS_LONG
UniRef90_A0A1Y1RXA1	635	0.9401	PASS_LONG
UniRef90_UPI0028A54DB1	635	0.9551	PASS_LONG
UniRef90_UPI000E0971CE	635	0.9581	PASS_LONG
UniRef90_UPI0029C7074D	635	0.9491	PASS_LONG
UniRef90_G0GDR5	634	0.8982	PASS_LONG
UniRef90_A0AAD9MRJ8	633	0.8293	PASS_LONG
UniRef90_A0A7V4TGC3	633	0.8743	PASS_LONG
UniRef90_A0A9W6L9T8	633	0.9281	PASS_LONG
UniRef90_UPI001FC8296F	633	0.9251	PASS_LONG
UniRef90_A0LPP2	632	0.9611	PASS_LONG
UniRef90_A0A1M5ZTB6	632	0.6976	FRAG
UniRef90_UPI0016A349B7	632	0.8204	PASS_LONG
UniRef90_UPI00052B6F9D	632	0.8922	PASS_LONG
UniRef90_A0A9D8KET7	631	0.9222	PASS_LONG
UniRef90_A0ABZ2YCB5	631	0.9251	PASS_LONG
UniRef90_A0A2P7R7M3	631	0.6916	FRAG
UniRef90_A0AAN1XU30	593	0.7425	PASS_LONG
UniRef90_A0ABU9U8P8	630	0.9341	PASS_LONG
UniRef90_A0A1I4T6Z2	630	0.9581	PASS_LONG
UniRef90_A0ABP9FAD2	629	0.7275	PASS_LONG
UniRef90_A0ABP9S7J6	629	0.7096	PASS_LONG
UniRef90_A0A231MZQ2	629	0.5180	FRAG
UniRef90_E1RAE0	629	0.9551	PASS_LONG
UniRef90_UPI001E4A0EC1	629	0.5659	FRAG
UniRef90_UPI0021649BA0	629	0.9581	PASS_LONG
UniRef90_A0A5C1QBR4	628	0.9581	PASS_LONG
UniRef90_A0A841RJB6	627	0.9461	PASS_LONG
UniRef90_A0A7T1F3Z5	627	0.8174	PASS_LONG
UniRef90_UPI00396AF51C	627	0.4701	FRAG
UniRef90_H9UMC6	626	0.4790	FRAG
UniRef90_A0A8J6NVD1	625	0.8263	PASS_LONG
UniRef90_A0A8J6NMW4	625	0.8713	PASS_LONG
UniRef90_A0A7W0HLS2	624	0.9192	PASS_LONG
UniRef90_A0A235CNL3	623	0.6287	FRAG
UniRef90_A0AA41R424	623	0.8323	PASS_LONG
UniRef90_A0A328FED5	622	0.8892	PASS_LONG
UniRef90_S0G5T6	622	0.8084	PASS_LONG
UniRef90_K0NL22	622	0.9551	PASS_LONG
UniRef90_UPI0003B6C3C2	622	0.8713	PASS_LONG
UniRef90_UPI0026160CA4	622	0.9281	PASS_LONG
UniRef90_UPI0006B54FD9	622	0.9551	PASS_LONG
UniRef90_UPI001D33D2D9	622	0.9401	PASS_LONG
UniRef90_UPI002AA853A8	622	0.8862	PASS_LONG
UniRef90_UPI0025BC941B	622	0.9551	PASS_LONG
UniRef90_UPI00262FBA7D	618	0.4192	FRAG
UniRef90_A0ABT0N4N7	617	0.4012	FRAG
UniRef90_A0A6H1U9P1	616	0.4072	FRAG
UniRef90_A0A1T4JHW9	597	0.7994	PASS_LONG
UniRef90_UPI0009FCE78B	589	0.2754	FRAG
UniRef90_UPI00025B0AB2	580	0.7904	PASS_LONG
UniRef90_A0A7V4U0R3	570	0.9042	PASS_LONG
UniRef90_A0A7V5VF94	565	0.8533	PASS_LONG
UniRef90_H1XSJ1	562	0.7754	PASS_LONG
UniRef90_UPI003979D70C	559	0.8503	PASS_LONG
UniRef90_UPI001F3E18E6	534	0.8293	PASS_LONG
UniRef90_A0A1M6EG68	523	0.9641	PASS_LONG
UniRef90_S5TNG2	505	0.2784	FRAG
UniRef90_UPI0008A3EF00	488	0.6946	FRAG
UniRef90_UPI00260AC202	488	0.6946	FRAG
UniRef90_A0A7C0WS39	469	0.5000	FRAG
UniRef90_A0A7V4DGF0	465	0.4731	FRAG
UniRef90_A0A8J6XVU9	457	0.7485	PASS_LONG
UniRef90_A0A091C0W6	442	0.5180	FRAG
UniRef90_A0A291RGX8	440	0.9551	PASS_CANONICAL
UniRef90_A0A544QYR0	430	0.7305	PASS_CANONICAL
UniRef90_B6FWH9	427	0.7515	PASS_CANONICAL
UniRef90_UPI002ED4E257	424	0.7605	PASS_CANONICAL
UniRef90_I3Z6H2	365	0.7275	PASS_CANONICAL
UniRef90_A0A5B9MKX9	418	0.9760	PASS_CANONICAL
UniRef90_A0A6I4I514	376	0.7036	PASS_CANONICAL
UniRef90_UPI0035D4DDBE	415	0.9371	PASS_CANONICAL
UniRef90_A0A150M4F4	414	0.9671	PASS_CANONICAL
UniRef90_Q098E8	413	0.8383	PASS_CANONICAL
UniRef90_UPI0036612F34	412	0.8144	PASS_CANONICAL
UniRef90_A0A5C6ABK9	410	0.9790	PASS_CANONICAL
UniRef90_A0ABW1KH54	410	0.8263	PASS_CANONICAL
UniRef90_A0A1N6Y2K6	409	0.7036	PASS_CANONICAL
UniRef90_K6Q0I5	407	0.8982	PASS_CANONICAL
UniRef90_E6SM17	407	0.9431	PASS_CANONICAL
UniRef90_A0A0B7MPV0	404	0.9551	PASS_CANONICAL
UniRef90_A0A5C5YYH2	404	0.9760	PASS_CANONICAL
UniRef90_A0A1H3LQ47	401	0.8683	PASS_CANONICAL
UniRef90_A0A1Q8QV34	383	0.7725	PASS_CANONICAL
UniRef90_A0A916J7M8	364	0.7126	PASS_CANONICAL
UniRef90_UPI00388FB5A7	398	0.7635	PASS_CANONICAL
UniRef90_A0A6I3SAP3	337	0.8862	PASS_CANONICAL
UniRef90_I5C3G8	396	0.7066	PASS_CANONICAL
UniRef90_A0A8J7PKQ4	396	0.7605	PASS_CANONICAL
UniRef90_A0A558C3Z3	376	0.7096	PASS_CANONICAL
UniRef90_A0ABP8BC30	394	0.6617	FRAG
UniRef90_UPI00036263BE	390	0.7605	PASS_CANONICAL
UniRef90_S2DZB1	365	0.7425	PASS_CANONICAL
UniRef90_A0A5C5WUD4	392	0.9671	PASS_CANONICAL
UniRef90_UPI003437E185	391	0.8263	PASS_CANONICAL
UniRef90_UPI001C82C349	391	0.8713	PASS_CANONICAL
UniRef90_A0A517Y9D1	383	0.9401	PASS_CANONICAL
UniRef90_A0A179D5P5	390	0.8713	PASS_CANONICAL
UniRef90_A0A379E3F5	354	0.6856	FRAG
UniRef90_UPI0025BA206F	390	0.7006	PASS_CANONICAL
UniRef90_A0A800N9C9	358	0.9820	PASS_CANONICAL
UniRef90_A0A6H1WQT2	389	0.8683	PASS_CANONICAL
UniRef90_A0ABP6K764	368	0.6647	FRAG
UniRef90_A0A517PAF6	388	0.8922	PASS_CANONICAL
UniRef90_A0A6G7PVE3	388	0.8653	PASS_CANONICAL
UniRef90_A0A7C3GSB9	388	0.9192	PASS_CANONICAL
UniRef90_UPI00197B8255	388	0.8383	PASS_CANONICAL
UniRef90_A0A0A2EUB9	359	0.7036	PASS_CANONICAL
UniRef90_A0A081PDC9	379	0.7006	PASS_CANONICAL
UniRef90_A0ABP4XLI6	346	0.8293	PASS_CANONICAL
UniRef90_A0A2U3KWB9	382	0.7455	PASS_CANONICAL
UniRef90_E6QE66	372	0.8683	PASS_CANONICAL
UniRef90_A0A1G1Y407	386	0.8802	PASS_CANONICAL
UniRef90_A0A4Z0R622	386	0.7515	PASS_CANONICAL
UniRef90_A0ABZ0QP58	386	0.9581	PASS_CANONICAL
UniRef90_A0A1N7L9M7	386	0.7725	PASS_CANONICAL
UniRef90_A0A7Y4NRW4	385	0.6916	FRAG
UniRef90_S7T8Z1	385	0.7156	PASS_CANONICAL
UniRef90_A0A5C6C8P2	385	0.9731	PASS_CANONICAL
UniRef90_E6QHH0	385	0.8802	PASS_CANONICAL
UniRef90_Q8Y6T2	361	0.9940	PASS_CANONICAL
UniRef90_A0A1I6H4L3	375	0.8683	PASS_CANONICAL
UniRef90_B1C3I0	338	0.9820	PASS_CANONICAL
UniRef90_UPI003CF8EA9B	385	0.7006	PASS_CANONICAL
UniRef90_A0A1D9G340	317	0.7874	PASS_CANONICAL
UniRef90_Q2YCX1	384	0.8683	PASS_CANONICAL
UniRef90_A0A0P9C8V4	384	0.8323	PASS_CANONICAL
UniRef90_UPI003567C44B	384	0.8503	PASS_CANONICAL
UniRef90_A0A142EMC6	365	0.7305	PASS_CANONICAL
UniRef90_UPI0025E6992D	384	0.9641	PASS_CANONICAL
UniRef90_UPI00107EFAA7	384	0.7455	PASS_CANONICAL
UniRef90_A7NNN3	383	0.9790	PASS_CANONICAL
UniRef90_A0A1Q8QKF8	383	0.7665	PASS_CANONICAL
UniRef90_A0A4R6IQQ2	383	0.7036	PASS_CANONICAL
UniRef90_A0ABP8N0J4	383	0.9701	PASS_CANONICAL
UniRef90_A0A7V5U2N3	383	0.8713	PASS_CANONICAL
UniRef90_A0A1B1YQ27	383	0.8383	PASS_CANONICAL
UniRef90_F8ADU5	381	0.8683	PASS_CANONICAL
UniRef90_A0A1B9F4I2	382	0.8323	PASS_CANONICAL
UniRef90_J7IW40	382	0.7545	PASS_CANONICAL
UniRef90_A0A326RWK0	382	0.7036	PASS_CANONICAL
UniRef90_A0A017TFB1	382	0.7485	PASS_CANONICAL
UniRef90_G7WCN1	382	0.7575	PASS_CANONICAL
UniRef90_UPI0005EFCC09	382	0.7545	PASS_CANONICAL
UniRef90_UPI000223A46A	382	0.7545	PASS_CANONICAL
UniRef90_A0A0M9BM55	360	0.9701	PASS_CANONICAL
UniRef90_A0A5C7ETX5	381	0.8653	PASS_CANONICAL
UniRef90_A0A2U3L7E4	381	0.7515	PASS_CANONICAL
UniRef90_A0A6N9TRX9	381	0.8683	PASS_CANONICAL
UniRef90_A0A6N7Q5V0	377	0.8653	PASS_CANONICAL
UniRef90_A0A1C2G1E8	381	0.8593	PASS_CANONICAL
UniRef90_UPI0003B7AD90	381	0.9072	PASS_CANONICAL
UniRef90_UPI003FA1F92D	381	0.7216	PASS_CANONICAL
UniRef90_UPI000AE5A373	381	0.7216	PASS_CANONICAL
UniRef90_Q04VK0	380	0.7545	PASS_CANONICAL
UniRef90_S3UYM9	380	0.7575	PASS_CANONICAL
UniRef90_A0A1D7QBB9	379	0.7066	PASS_CANONICAL
UniRef90_A0A6G7PY40	380	0.8653	PASS_CANONICAL
UniRef90_A0A3S3PJ14	380	0.7036	PASS_CANONICAL
UniRef90_A0A8J7LYR2	339	0.8772	PASS_CANONICAL
UniRef90_Q9WYH8	338	0.9880	PASS_CANONICAL
UniRef90_A0A2G9YCH4	380	0.6287	FRAG
UniRef90_H5XX14	380	0.7635	PASS_CANONICAL
UniRef90_UPI000E75CDB8	380	0.8563	PASS_CANONICAL
UniRef90_A0A840R3P3	369	0.8653	PASS_CANONICAL
UniRef90_UPI0025C3D083	380	0.7575	PASS_CANONICAL
UniRef90_A0A1W6SLP2	374	0.8713	PASS_CANONICAL
UniRef90_D5BZH4	379	0.8653	PASS_CANONICAL
UniRef90_A0A4R5MLM6	379	0.7006	PASS_CANONICAL
UniRef90_A0A5C1DEW1	379	0.8533	PASS_CANONICAL
UniRef90_H8N088	378	0.8443	PASS_CANONICAL
UniRef90_A0A1I0NZZ4	379	0.7515	PASS_CANONICAL
UniRef90_A0A4Z0R6K0	379	0.7485	PASS_CANONICAL
UniRef90_A0A401UFF1	379	0.6976	FRAG
UniRef90_A0AAJ5K4M4	364	0.9641	PASS_CANONICAL
UniRef90_A0A1I2YME3	378	0.7006	PASS_CANONICAL
UniRef90_A0ABP6LC55	379	0.8443	PASS_CANONICAL
UniRef90_A0A127VF58	377	0.6976	FRAG
UniRef90_UPI00292E0D9B	379	0.6946	FRAG
UniRef90_A0A926Z723	344	0.8503	PASS_CANONICAL
UniRef90_UPI002818F2F5	379	0.8653	PASS_CANONICAL
UniRef90_UPI0035642A16	379	0.8623	PASS_CANONICAL
UniRef90_A0A0U4B1V0	375	0.7096	PASS_CANONICAL
UniRef90_UPI0033993DF5	379	0.7006	PASS_CANONICAL
UniRef90_A0A6I1ES96	290	0.8383	PASS_CANONICAL
UniRef90_A0A2N3IFG3	363	0.6946	FRAG
UniRef90_UPI0018905E28	379	0.7096	PASS_CANONICAL
UniRef90_UPI003531C76B	379	0.7066	PASS_CANONICAL
UniRef90_A0A139KHN4	355	0.6976	FRAG
UniRef90_A0A367R4N0	378	0.9581	PASS_CANONICAL
UniRef90_A0A1N6FJ09	378	0.8683	PASS_CANONICAL
UniRef90_A0A3N1Y2B5	378	0.8593	PASS_CANONICAL
UniRef90_A0A916XB51	378	0.6976	FRAG
UniRef90_A0A0S3AI51	372	0.8683	PASS_CANONICAL
UniRef90_A0A1M5YDC5	378	0.7575	PASS_CANONICAL
UniRef90_A0A0S2I2A0	378	0.7216	PASS_CANONICAL
UniRef90_I4D2U9	378	0.7575	PASS_CANONICAL
UniRef90_I4D2M4	378	0.7545	PASS_CANONICAL
UniRef90_A0A1G2G5S1	378	0.8802	PASS_CANONICAL
UniRef90_A0A0J1ILI0	378	0.7665	PASS_CANONICAL
UniRef90_UPI002245D235	378	0.7006	PASS_CANONICAL
UniRef90_A0A8J8SDG8	338	0.9760	PASS_CANONICAL
UniRef90_UPI00404B6893	378	0.8713	PASS_CANONICAL
UniRef90_UPI0027F37982	378	0.7635	PASS_CANONICAL
UniRef90_UPI00085BBF59	378	0.8593	PASS_CANONICAL
UniRef90_UPI0020BFE7C6	378	0.8503	PASS_CANONICAL
UniRef90_UPI0027B8A7CB	378	0.7246	PASS_CANONICAL
UniRef90_A0A9X3IXZ8	377	0.7695	PASS_CANONICAL
UniRef90_A0A3G8YFU6	376	0.9641	PASS_CANONICAL
UniRef90_A0A1B9F4W0	377	0.8952	PASS_CANONICAL
UniRef90_F8ABG6	377	0.9042	PASS_CANONICAL
UniRef90_A0A942TDW4	377	0.9790	PASS_CANONICAL
UniRef90_A0A498CD88	377	0.8353	PASS_CANONICAL
UniRef90_A0A2M8KWQ4	377	0.8802	PASS_CANONICAL
UniRef90_A0A9D9J704	377	0.7006	PASS_CANONICAL
UniRef90_A0A1F7V631	377	0.4132	FRAG
UniRef90_A0A7Y0FLR2	377	0.7096	PASS_CANONICAL
UniRef90_A0A5C5X839	377	0.9611	PASS_CANONICAL
UniRef90_H5XT13	377	0.7515	PASS_CANONICAL
UniRef90_A0A7V5NYN1	377	0.8982	PASS_CANONICAL
UniRef90_A0A0J1ILC5	377	0.7485	PASS_CANONICAL
UniRef90_A0A381S0Y9	377	0.8413	PASS_CANONICAL
UniRef90_UPI00107FBA12	377	0.7515	PASS_CANONICAL
UniRef90_UPI00234BAC49	377	0.7784	PASS_CANONICAL
UniRef90_UPI000407425C	377	0.8683	PASS_CANONICAL
UniRef90_UPI000E8BCA12	377	0.7545	PASS_CANONICAL
UniRef90_UPI00388E85FD	377	0.7545	PASS_CANONICAL
UniRef90_UPI0003B6C332	377	0.9162	PASS_CANONICAL
UniRef90_UPI003B5B8FFC	377	0.9641	PASS_CANONICAL
UniRef90_UPI000E2EE991	377	0.8772	PASS_CANONICAL
UniRef90_A0A3S3UT89	376	0.7006	PASS_CANONICAL
UniRef90_A0AAE6JDD0	376	0.7036	PASS_CANONICAL
UniRef90_A0A1R3XSE3	376	0.7126	PASS_CANONICAL
UniRef90_A0A3B0Y839	372	0.8683	PASS_CANONICAL
UniRef90_A0A2Z3GTZ9	373	0.7126	PASS_CANONICAL
UniRef90_A0A1Y1SCW1	376	0.8713	PASS_CANONICAL
UniRef90_H1YGE0	376	0.6976	FRAG
UniRef90_Q0A8P3	376	0.8383	PASS_CANONICAL
UniRef90_A0A556MIF4	376	0.7006	PASS_CANONICAL
UniRef90_A0A1H2Z1T1	376	0.8593	PASS_CANONICAL
UniRef90_A0A379DXQ3	376	0.7066	PASS_CANONICAL
UniRef90_A0A7D4QJB1	376	0.7036	PASS_CANONICAL
UniRef90_A0A6B9ZJY0	363	0.7096	PASS_CANONICAL
UniRef90_A0A929PY77	376	0.7036	PASS_CANONICAL
UniRef90_A0ABZ2L9M5	376	0.8743	PASS_CANONICAL
UniRef90_A0A2H9VLW0	376	0.6916	FRAG
UniRef90_A0A4Y8SEI1	376	0.7006	PASS_CANONICAL
UniRef90_A0A1X9YMW0	373	0.7246	PASS_CANONICAL
UniRef90_A0A345IGK7	366	0.9581	PASS_CANONICAL
UniRef90_R8B5V4	375	0.8593	PASS_CANONICAL
UniRef90_A0A9X1X311	374	0.6976	FRAG
UniRef90_A0A1N6ZWG9	376	0.7275	PASS_CANONICAL
UniRef90_A0A2N3U995	376	0.7096	PASS_CANONICAL
UniRef90_A0A2T5JAP2	376	0.7036	PASS_CANONICAL
UniRef90_G7WFX6	376	0.7605	PASS_CANONICAL
UniRef90_A0A3B0YGM1	376	0.8593	PASS_CANONICAL
UniRef90_UPI0035CC66C0	376	0.6976	FRAG
UniRef90_UPI000824F090	376	0.7036	PASS_CANONICAL
UniRef90_A0A543Q5D6	373	0.9012	PASS_CANONICAL
UniRef90_UPI00131AC98F	376	0.7036	PASS_CANONICAL
UniRef90_UPI00035F3B24	376	0.7126	PASS_CANONICAL
