seq_id	L_seq	cov_best	cov_merged	n_domains	rescued_by_stitching	bin
UniRef90_A0A3R9YGQ0	615	0.4756	0.8620	2	True	PASS_LONG
UniRef90_A0A2A9M787	613	0.4607	0.8280	2	True	PASS_LONG
UniRef90_UPI003F5018A4	613	0.4713	0.8662	2	True	PASS_LONG
UniRef90_A0A5C3ERU4	612	0.5180	0.9384	2	True	PASS_LONG
UniRef90_A0A6G1D6L2	612	0.9597	0.9597	1	False	PASS_LONG
UniRef90_UPI00378441D0	612	0.4671	0.8684	2	True	PASS_LONG
UniRef90_A0A124SCC9	498	0.9682	0.9682	1	False	PASS_CANONICAL
UniRef90_A0A8H3A5T3	610	0.4756	0.6985	2	False	FRAG
UniRef90_A0A9P4HDZ0	610	0.9342	0.9342	1	False	PASS_LONG
UniRef90_A0A118JZL1	535	0.9618	0.9618	1	False	PASS_CANONICAL
UniRef90_A0A7G1KS44	586	0.5287	0.5287	1	False	FRAG
UniRef90_UPI0015EEC480	609	0.3079	0.3079	1	False	FRAG
UniRef90_A0A8S0Q7V3	608	0.9745	0.9745	1	False	PASS_LONG
UniRef90_A0A8H5LSG5	607	0.6306	0.8365	2	True	PASS_LONG
UniRef90_A0AAV0KJF2	606	0.9703	0.9703	1	False	PASS_LONG
UniRef90_A0ABN2D7E4	605	0.4395	0.7877	2	True	PASS_LONG
UniRef90_UPI002E80D6ED	604	0.7813	0.7813	1	False	PASS_LONG
UniRef90_A0A6A2WSV9	603	0.1401	0.1401	1	False	FRAG
UniRef90_A0A0F7S3A8	583	0.5180	0.9512	2	True	PASS_CANONICAL
UniRef90_UPI0013585B5E	602	0.3376	0.3376	1	False	FRAG
UniRef90_A0ABU6ARY1	601	0.3185	0.3185	1	False	FRAG
UniRef90_UPI0032444B70	601	0.4713	0.7962	2	True	PASS_LONG
UniRef90_A0A8H8T3R1	577	0.3800	0.3800	1	False	FRAG
UniRef90_A0ABW7WJ55	599	0.3121	0.3121	1	False	FRAG
UniRef90_G7E6F1	599	0.4225	0.9151	2	True	PASS_CANONICAL
UniRef90_A0A9D4ULF8	599	0.9533	0.9533	1	False	PASS_CANONICAL
UniRef90_A0A6V7QVC0	599	0.7070	0.7070	1	False	PASS_CANONICAL
UniRef90_A0A2K1JHV8	580	0.9575	0.9575	1	False	PASS_CANONICAL
UniRef90_A0A238FAB8	598	0.7070	0.8769	2	False	PASS_CANONICAL
UniRef90_A0ABN6U5Y4	598	0.3418	0.3418	1	False	FRAG
UniRef90_UPI00403DC514	598	0.3291	0.3291	1	False	FRAG
UniRef90_UPI00386BD42E	597	0.3185	0.3185	1	False	FRAG
UniRef90_A0A7X6L1X2	593	0.3185	0.3185	1	False	FRAG
UniRef90_A0A251VFR9	519	0.9830	0.9830	1	False	PASS_CANONICAL
UniRef90_A0A8J5YTA8	517	0.9597	0.9597	1	False	PASS_CANONICAL
UniRef90_A0A0D2S988	516	0.9830	0.9830	1	False	PASS_CANONICAL
UniRef90_A0A8T0HGN2	594	0.8068	0.9575	2	False	PASS_CANONICAL
UniRef90_A0ABV2X7Q9	594	0.3503	0.3503	1	False	FRAG
UniRef90_UPI00366B2ECF	594	0.3609	0.3609	1	False	FRAG
UniRef90_UPI000A62E1C4	594	0.3121	0.3121	1	False	FRAG
UniRef90_A0A317XYV2	593	0.5202	0.9533	2	True	PASS_CANONICAL
UniRef90_A0A2P7QI39	591	0.4607	0.8323	2	True	PASS_CANONICAL
UniRef90_V5EX15	585	0.9490	0.9490	1	False	PASS_CANONICAL
UniRef90_UPI00031EBB38	590	0.3822	0.3822	1	False	FRAG
UniRef90_A0A2K1L4C7	552	0.9575	0.9575	1	False	PASS_CANONICAL
UniRef90_UPI001895CA70	590	0.4204	0.4204	1	False	FRAG
UniRef90_A0A0D1E8Z3	589	0.9512	0.9512	1	False	PASS_CANONICAL
UniRef90_M1VCE1	589	0.4183	0.9490	2	True	PASS_CANONICAL
UniRef90_A0A9R1WSC3	542	0.9554	0.9554	1	False	PASS_CANONICAL
UniRef90_A0A251UTX9	536	0.9618	0.9618	1	False	PASS_CANONICAL
UniRef90_A0ACB9K0W3	588	0.9851	0.9851	1	False	PASS_CANONICAL
UniRef90_A0A8H9H3Y0	588	0.9342	0.9342	1	False	PASS_CANONICAL
UniRef90_A0A4Y8ZNJ4	588	0.4628	0.8238	2	True	PASS_CANONICAL
UniRef90_A0A1X6NP08	586	0.9660	0.9660	1	False	PASS_CANONICAL
UniRef90_A0A3Q7FB83	586	0.3163	0.3163	1	False	FRAG
UniRef90_A0A5J5AN18	534	0.9597	0.9597	1	False	PASS_CANONICAL
UniRef90_A0ABP0UTB1	585	0.9575	0.9575	1	False	PASS_CANONICAL
UniRef90_A0A835NAZ5	516	0.9660	0.9660	1	False	PASS_CANONICAL
UniRef90_A0ABN2VRX0	584	0.9384	0.9384	1	False	PASS_CANONICAL
UniRef90_UPI003864E58B	584	0.5329	0.5329	1	False	FRAG
UniRef90_UPI00344CADE1	584	0.5244	0.5244	1	False	FRAG
UniRef90_R9NVV2	583	0.5117	0.9342	2	True	PASS_CANONICAL
UniRef90_A0A8S9G9G7	582	0.3503	0.3503	1	False	FRAG
UniRef90_UPI002F91A014	580	0.4522	0.8153	2	True	PASS_CANONICAL
UniRef90_UPI0004ACAFE5	580	0.4544	0.8004	2	True	PASS_CANONICAL
UniRef90_A0A6A4M807	579	0.3461	0.5456	3	False	FRAG
UniRef90_M1AXT4	528	0.9597	0.9597	1	False	PASS_CANONICAL
UniRef90_A0A388L403	578	0.9533	0.9533	1	False	PASS_CANONICAL
UniRef90_A0A7G9SA49	578	0.4416	0.7834	2	True	PASS_CANONICAL
UniRef90_UPI00278248AF	577	0.4395	0.8068	2	True	PASS_CANONICAL
UniRef90_A0A7R8ZWC2	576	0.4289	0.4289	1	False	FRAG
UniRef90_UPI003417FDE4	576	0.2909	0.2909	1	False	FRAG
UniRef90_UPI0037205C7D	576	0.3737	0.5754	2	False	FRAG
UniRef90_A0AAV9IZG9	575	0.9660	0.9660	1	False	PASS_CANONICAL
UniRef90_UPI003D9417F7	575	0.2144	0.2144	1	False	FRAG
UniRef90_UPI0033CE32BF	575	0.2229	0.2229	1	False	FRAG
UniRef90_A0ABZ1YX19	571	0.2187	0.2187	1	False	FRAG
UniRef90_UPI0034421686	575	0.3057	0.3057	1	False	FRAG
UniRef90_A0A0R0G3L8	495	0.9618	0.9618	1	False	PASS_CANONICAL
UniRef90_A0ABP7RCP0	574	0.4628	0.7941	2	True	PASS_CANONICAL
UniRef90_E3JR42	521	0.5223	0.9406	2	True	PASS_CANONICAL
UniRef90_A0A7X5Y848	573	0.4650	0.8068	2	True	PASS_CANONICAL
UniRef90_A0A0P9Q6Q8	573	0.9512	0.9512	1	False	PASS_CANONICAL
UniRef90_A0ABY5MXZ4	573	0.4777	0.8132	2	True	PASS_CANONICAL
UniRef90_UPI0033E55BC8	573	0.4756	0.8153	2	True	PASS_CANONICAL
UniRef90_UPI0037A4A863	572	0.2229	0.2229	1	False	FRAG
UniRef90_UPI0037974184	572	0.2229	0.2229	1	False	FRAG
UniRef90_A0AAF0YE18	571	0.4225	0.9575	2	True	PASS_CANONICAL
UniRef90_UPI0002E4A60B	571	0.2187	0.2187	1	False	FRAG
UniRef90_UPI00368402C5	571	0.3142	0.3142	1	False	FRAG
UniRef90_UPI00367F5876	571	0.4735	0.7983	2	True	PASS_CANONICAL
UniRef90_A9PF21	531	0.9788	0.9788	1	False	PASS_CANONICAL
UniRef90_UPI0039770F25	570	0.4904	0.4904	1	False	FRAG
UniRef90_UPI003D960219	570	0.2208	0.2208	1	False	FRAG
UniRef90_A0A427Y7A4	568	0.4204	0.9469	2	True	PASS_CANONICAL
UniRef90_A0A1S3C112	515	0.9660	0.9660	1	False	PASS_CANONICAL
UniRef90_A0A9X2J3I9	568	0.4628	0.7941	2	True	PASS_CANONICAL
UniRef90_A0A5J6JFK5	524	0.4692	0.7919	2	True	PASS_CANONICAL
UniRef90_A0A1B9ID30	548	0.4246	0.9490	2	True	PASS_CANONICAL
UniRef90_A0A251VC78	526	0.9575	0.9575	1	False	PASS_CANONICAL
UniRef90_UPI0009FC8366	567	0.4650	0.8089	2	True	PASS_CANONICAL
UniRef90_A0ABP0XLU8	566	0.9618	0.9618	1	False	PASS_CANONICAL
UniRef90_UPI00342AD9B9	566	0.4671	0.8004	2	True	PASS_CANONICAL
UniRef90_L8HFZ7	565	0.9575	0.9575	1	False	PASS_CANONICAL
UniRef90_A0A8S0RGC6	528	0.9788	0.9788	1	False	PASS_CANONICAL
UniRef90_A0A8T2T5G4	514	0.7898	0.7898	1	False	PASS_CANONICAL
UniRef90_UPI0030DE840E	564	0.4692	0.8132	2	True	PASS_CANONICAL
UniRef90_A0AAJ8M8Y4	563	0.4246	0.9512	2	True	PASS_CANONICAL
UniRef90_A0AAJ8LHH7	543	0.4352	0.9490	2	True	PASS_CANONICAL
UniRef90_A0A498K0W1	563	0.9766	0.9766	1	False	PASS_CANONICAL
UniRef90_A0A118K1N3	546	0.9618	0.9618	1	False	PASS_CANONICAL
UniRef90_A0A5J5B4J3	548	0.9745	0.9745	1	False	PASS_CANONICAL
UniRef90_A0A8T0JYV3	483	0.4395	0.8599	2	True	PASS_CANONICAL
UniRef90_A0A919DYI4	562	0.9490	0.9490	1	False	PASS_CANONICAL
UniRef90_A0A1S3U1A2	523	0.9682	0.9682	1	False	PASS_CANONICAL
UniRef90_A0A426XCZ0	561	0.6115	0.8684	3	True	PASS_CANONICAL
UniRef90_UPI0036F6302B	561	0.4607	0.7941	2	True	PASS_CANONICAL
UniRef90_UPI00332A0FFF	561	0.4713	0.8004	2	True	PASS_CANONICAL
UniRef90_A0A9P8W0N7	560	0.9703	0.9703	1	False	PASS_CANONICAL
UniRef90_A0A8J2SF57	497	0.9533	0.9533	1	False	PASS_CANONICAL
UniRef90_A0A231UWF3	560	0.9618	0.9618	1	False	PASS_CANONICAL
UniRef90_A0A3L7JFG5	521	0.9639	0.9639	1	False	PASS_CANONICAL
UniRef90_A0A2T7C9Q3	498	0.9533	0.9533	1	False	PASS_CANONICAL
UniRef90_A0A7S4DPD4	559	0.5478	0.9575	2	True	PASS_CANONICAL
UniRef90_K4A811	550	0.9597	0.9597	1	False	PASS_CANONICAL
UniRef90_A0A1E3I6Y7	558	0.4204	0.9490	2	True	PASS_CANONICAL
UniRef90_A0A0D2WM34	558	0.9682	0.9682	1	False	PASS_CANONICAL
UniRef90_A0ABP0V3Q3	558	0.9745	0.9745	1	False	PASS_CANONICAL
UniRef90_A0AAN9HSV3	558	0.9809	0.9809	1	False	PASS_CANONICAL
UniRef90_UPI00343AD9A8	558	0.4692	0.7919	2	True	PASS_CANONICAL
UniRef90_UPI0036C60996	558	0.4671	0.7898	2	True	PASS_CANONICAL
UniRef90_UPI00369B43BE	558	0.4692	0.7919	2	True	PASS_CANONICAL
UniRef90_A0A804QIM1	531	0.9703	0.9703	1	False	PASS_CANONICAL
UniRef90_A0ABQ8HRA8	557	0.9851	0.9851	1	False	PASS_CANONICAL
UniRef90_A0AAV2FWI9	520	0.9766	0.9766	1	False	PASS_CANONICAL
UniRef90_A0A6I9SU57	522	0.9873	0.9873	1	False	PASS_CANONICAL
UniRef90_A0ACD6AGW7	556	0.8068	0.8068	1	False	PASS_CANONICAL
UniRef90_A0ABP1BGA4	545	0.9575	0.9575	1	False	PASS_CANONICAL
UniRef90_A0AAP0RUG2	556	0.9618	0.9618	1	False	PASS_CANONICAL
UniRef90_UPI0010A4C173	556	0.9554	0.9554	1	False	PASS_CANONICAL
UniRef90_Q9Z4X1	484	0.9469	0.9469	1	False	PASS_CANONICAL
UniRef90_A0A0D2E2C2	555	0.5754	0.9618	3	True	PASS_CANONICAL
UniRef90_Q5KK60	554	0.4183	0.9469	2	True	PASS_CANONICAL
UniRef90_A0A316YWQ3	555	0.5329	0.9533	2	True	PASS_CANONICAL
UniRef90_A0A251THV1	555	0.9660	0.9660	1	False	PASS_CANONICAL
UniRef90_A0A5N5MQ07	555	0.7410	0.9618	2	False	PASS_CANONICAL
UniRef90_A0AA88QVJ9	554	0.9809	0.9809	1	False	PASS_CANONICAL
UniRef90_K8EFF5	554	0.9575	0.9575	1	False	PASS_CANONICAL
UniRef90_A0A2G1QMM8	457	0.9575	0.9575	1	False	PASS_CANONICAL
UniRef90_N4V604	469	0.9469	0.9469	1	False	PASS_CANONICAL
UniRef90_A0A7J8RRH2	553	0.6200	0.9597	2	True	PASS_CANONICAL
UniRef90_A0A5N5NM97	531	0.9766	0.9766	1	False	PASS_CANONICAL
UniRef90_A0ABQ9KR57	553	0.9788	0.9788	1	False	PASS_CANONICAL
UniRef90_UPI0034368606	553	0.4628	0.8068	2	True	PASS_CANONICAL
UniRef90_A0AA87ZX16	552	0.5478	0.8535	2	True	PASS_CANONICAL
UniRef90_A0A9D4ZPW7	552	0.9660	0.9660	1	False	PASS_CANONICAL
UniRef90_B4FZ59	550	0.9660	0.9660	1	False	PASS_CANONICAL
UniRef90_A0A8B8Q6R7	534	0.9597	0.9597	1	False	PASS_CANONICAL
UniRef90_A0A2G5DBS8	551	0.9766	0.9766	1	False	PASS_CANONICAL
UniRef90_A0AAW2VUY0	551	0.9597	0.9597	1	False	PASS_CANONICAL
UniRef90_A0AAP0ET73	526	0.9533	0.9533	1	False	PASS_CANONICAL
UniRef90_A0AAV0MT69	303	0.4820	0.6263	2	False	FRAG
UniRef90_B5H1Q6	450	0.9342	0.9342	1	False	PASS_CANONICAL
UniRef90_A0AAJ8JP39	550	0.4395	0.9490	2	True	PASS_CANONICAL
UniRef90_A0A438FZL6	548	0.9766	0.9766	1	False	PASS_CANONICAL
UniRef90_A0AAW1RST6	550	0.9512	0.9512	1	False	PASS_CANONICAL
UniRef90_C1N1Q4	521	0.9703	0.9703	1	False	PASS_CANONICAL
UniRef90_A0A0D5ZBC4	539	0.9766	0.9766	1	False	PASS_CANONICAL
UniRef90_W9RWI1	550	0.9830	0.9830	1	False	PASS_CANONICAL
