seq_id	seq_len	core_start	core_end	hmm_from	hmm_to	coverage	n_hits	n_env_segments	stitched_flag	core_residues	env_segments	raw_env_start	raw_env_end	pad_left	pad_right
UniRef90_A0A9P3B7I7	416	40	416	31	507	0.9155	1	1	N	377	60-415	60	415	20	1
UniRef90_A0A0M9EYR8	416	36	416	19	509	0.9424	1	1	N	381	56-416	56	416	20	0
UniRef90_A0A292Q070	416	18	416	18	509	0.9443	1	1	N	399	38-413	38	413	20	3
UniRef90_A0A502LA71	416	27	416	22	509	0.9367	1	1	N	390	47-409	47	409	20	7
UniRef90_A0ABU8ZLM0	415	40	415	24	505	0.9251	1	1	N	376	60-415	60	415	20	0
UniRef90_A0AA37WKS9	415	14	415	28	511	0.9290	1	1	N	402	34-396	34	396	20	19
UniRef90_UPI0028DCED88	415	34	415	23	507	0.9309	1	1	N	382	54-414	54	414	20	1
UniRef90_UPI001ABCE146	415	1	386	50	509	0.8829	1	1	N	386	7-366	7	366	6	20
UniRef90_UPI0033F6AFC8	415	32	415	27	507	0.9232	1	1	N	384	52-410	52	410	20	5
UniRef90_UPI0026491CFB	415	29	415	15	508	0.9482	1	1	N	387	49-414	49	414	20	1
UniRef90_A0A0L0SIV2	414	31	414	19	509	0.9424	1	1	N	384	51-413	51	413	20	1
UniRef90_A0A1C7MEY8	414	20	414	34	509	0.9136	1	1	N	395	40-406	40	406	20	8
UniRef90_A0A292PXB1	414	21	414	26	508	0.9271	1	1	N	394	41-411	41	411	20	3
UniRef90_A0A8H6U1N4	414	14	414	14	509	0.9520	1	1	N	401	34-399	34	399	20	15
UniRef90_Q7MNL4	414	34	414	19	503	0.9309	1	1	N	381	54-412	54	412	20	2
UniRef90_A0A6L9VZ57	414	37	414	30	508	0.9194	1	1	N	378	57-414	57	414	20	0
UniRef90_UPI00371AA815	414	1	395	19	508	0.9405	1	1	N	395	12-375	12	375	11	20
UniRef90_G4TQP6	413	26	413	22	511	0.9405	1	1	N	388	46-413	46	413	20	0
UniRef90_A0A401GY40	413	17	413	17	511	0.9501	1	1	N	397	37-405	37	405	20	8
UniRef90_A0A316ZB12	413	1	396	19	509	0.9424	1	1	N	396	10-376	10	376	9	20
UniRef90_A0A3N4Z8K8	413	16	413	25	508	0.9290	1	1	N	398	36-399	36	399	20	14
UniRef90_A0A5J6N2X5	371	1	371	17	511	0.9501	1	1	N	371	3-362	3	362	2	9
UniRef90_UPI0030188C31	413	7	413	8	508	0.9616	1	1	N	407	27-410	27	410	20	3
UniRef90_A0A318M4Q4	406	31	406	24	508	0.9309	1	1	N	376	51-406	51	406	20	0
UniRef90_A0ACC0U160	412	22	412	16	508	0.9463	1	1	N	391	42-409	42	409	20	3
UniRef90_A0AAV0ATW0	412	9	406	25	512	0.9367	1	1	N	398	29-386	29	386	20	20
UniRef90_A0A450W8W1	412	33	412	15	508	0.9482	1	1	N	380	53-412	53	412	20	0
UniRef90_A0A101M8A9	411	32	411	21	511	0.9424	1	1	N	380	52-411	52	411	20	0
UniRef90_C5DE97	410	18	410	11	509	0.9578	1	1	N	393	38-410	38	410	20	0
UniRef90_A0A7Y0ESA5	409	27	409	26	507	0.9251	1	1	N	383	47-409	47	409	20	0
UniRef90_A0A6I5MZP3	410	24	410	22	507	0.9328	1	1	N	387	44-409	44	409	20	1
UniRef90_UPI00316D3994	410	1	399	18	509	0.9443	1	1	N	399	9-379	9	379	8	20
UniRef90_UPI0034CF24D1	410	1	402	19	511	0.9463	1	1	N	402	3-382	3	382	2	20
UniRef90_A0A4P9X961	409	1	409	18	510	0.9463	1	1	N	409	15-407	15	407	14	2
UniRef90_A0ACD3AX12	409	17	409	17	514	0.9559	1	1	N	393	37-404	37	404	20	5
UniRef90_A0A0D2X467	409	23	409	16	508	0.9463	1	1	N	387	43-409	43	409	20	0
UniRef90_A0A366K787	409	28	409	23	508	0.9328	1	1	N	382	48-409	48	409	20	0
UniRef90_UPI0010C0FC50	409	41	409	32	507	0.9136	1	1	N	369	61-408	61	408	20	1
UniRef90_UPI00190470D3	409	1	392	21	510	0.9405	1	1	N	392	3-372	3	372	2	20
UniRef90_A0AAN6V2P1	408	1	378	50	508	0.8810	1	1	N	378	4-358	4	358	3	20
UniRef90_A0AAW0G6Q6	408	10	408	15	514	0.9597	1	1	N	399	30-400	30	400	20	8
UniRef90_A0A9W9AEP5	408	15	408	18	508	0.9424	1	1	N	394	35-400	35	400	20	8
UniRef90_A0AAV0ANL5	408	3	408	20	514	0.9501	1	1	N	406	23-391	23	391	20	17
UniRef90_A0A8K0XKW4	408	1	406	11	508	0.9559	1	1	N	406	7-386	7	386	6	20
UniRef90_A0ACD0P750	408	1	395	20	510	0.9424	1	1	N	395	8-375	8	375	7	20
UniRef90_A0AA36MU28	408	20	408	28	512	0.9309	1	1	N	389	40-407	40	407	20	1
UniRef90_A0A2N8ZF54	408	25	408	20	503	0.9290	1	1	N	384	45-405	45	405	20	3
UniRef90_A0A263D8V7	408	26	408	16	507	0.9443	1	1	N	383	46-408	46	408	20	0
UniRef90_UPI001CCC7BE9	408	40	408	24	507	0.9290	1	1	N	369	60-408	60	408	20	0
UniRef90_A0A9P6AMZ9	407	1	393	20	514	0.9501	1	1	N	393	3-373	3	373	2	20
UniRef90_A0AA39UDY5	395	1	395	16	510	0.9501	1	1	N	395	19-386	19	386	18	9
UniRef90_A0ABR2UFL5	407	1	328	32	452	0.8081	1	1	N	328	7-308	7	308	6	20
UniRef90_A0A316YD25	407	18	407	19	510	0.9443	1	1	N	390	38-406	38	406	20	1
UniRef90_A0A812Q7V8	407	14	407	26	513	0.9367	1	1	N	394	34-401	34	401	20	6
UniRef90_A0ABW0FHU7	396	1	396	14	508	0.9501	1	1	N	396	16-394	16	394	15	2
UniRef90_A0A9P6HE15	390	1	390	17	509	0.9463	1	1	N	390	14-382	14	382	13	8
UniRef90_A0A8H5FXM6	406	15	406	17	511	0.9501	1	1	N	392	35-406	35	406	20	0
UniRef90_A0A5C3P2Z8	406	14	406	19	512	0.9482	1	1	N	393	34-404	34	404	20	2
UniRef90_A0A9P7G3P4	406	1	406	16	500	0.9309	1	1	N	406	11-406	11	406	10	0
UniRef90_A0A0A1FB14	406	22	406	25	505	0.9232	1	1	N	385	42-396	42	396	20	10
UniRef90_A0A087EBR5	399	17	399	23	507	0.9309	1	1	N	383	37-398	37	398	20	1
UniRef90_A0A1G4YQL9	406	35	406	21	507	0.9347	1	1	N	372	55-406	55	406	20	0
UniRef90_A0A0G0JHR0	406	51	406	33	504	0.9060	1	1	N	356	71-404	71	404	20	2
UniRef90_A0A0M9VPL4	405	1	399	18	509	0.9443	1	1	N	399	7-379	7	379	6	20
UniRef90_A0A0H2RK16	405	1	393	20	513	0.9482	1	1	N	393	6-373	6	373	5	20
UniRef90_A0A8H6CEP9	399	1	390	24	513	0.9405	1	1	N	390	10-370	10	370	9	20
UniRef90_A0A086ZE72	405	17	405	23	508	0.9328	1	1	N	389	37-405	37	405	20	0
UniRef90_A0A0C3ATX7	404	19	404	18	514	0.9539	1	1	N	386	39-404	39	404	20	0
UniRef90_A0A3M7DTT8	404	10	404	18	512	0.9501	1	1	N	395	30-399	30	399	20	5
UniRef90_A0A6A1LJP9	404	13	404	22	508	0.9347	1	1	N	392	33-404	33	404	20	0
UniRef90_A0A0C3PQM9	404	13	404	17	513	0.9539	1	1	N	392	33-403	33	403	20	1
UniRef90_A0A0G4FW50	404	4	404	21	508	0.9367	1	1	N	401	24-404	24	404	20	0
UniRef90_A0A7S0ADZ5	404	11	404	30	508	0.9194	1	1	N	394	31-392	31	392	20	12
UniRef90_A0ACC0VIJ2	404	12	404	15	514	0.9597	1	1	N	393	32-404	32	404	20	0
UniRef90_A0AAF0F770	403	1	397	19	513	0.9501	1	1	N	397	6-377	6	377	5	20
UniRef90_A0A1M2V1W8	403	1	403	13	510	0.9559	2	2	Y	403	13-116;122-403	13	403	12	0
UniRef90_A0AAF0IQZ1	403	1	399	17	513	0.9539	1	1	N	399	7-379	7	379	6	20
UniRef90_A0AAF0EZ38	403	1	396	19	509	0.9424	1	1	N	396	6-376	6	376	5	20
UniRef90_A0A4V6T5J7	403	10	403	17	508	0.9443	1	1	N	394	30-402	30	402	20	1
UniRef90_A0A066VGE3	403	23	403	18	508	0.9424	1	1	N	381	43-403	43	403	20	0
UniRef90_A0AA43TSX5	403	19	403	22	508	0.9347	1	1	N	385	39-401	39	401	20	2
UniRef90_UPI0032D8DE05	403	22	403	19	508	0.9405	1	1	N	382	42-403	42	403	20	0
UniRef90_A0A8H7EZ21	402	12	402	20	514	0.9501	1	1	N	391	32-402	32	402	20	0
UniRef90_G7E8Q7	402	1	399	18	511	0.9482	1	1	N	399	8-379	8	379	7	20
UniRef90_A0ACC3NWY2	402	1	402	20	511	0.9443	1	1	N	402	3-388	3	388	2	14
UniRef90_A0A517R5A0	402	22	402	14	504	0.9424	1	1	N	381	42-401	42	401	20	1
UniRef90_A0ABT1JNX9	402	20	402	19	507	0.9386	1	1	N	383	40-399	40	399	20	3
UniRef90_E6PWI1	402	18	402	14	508	0.9501	1	1	N	385	38-402	38	402	20	0
UniRef90_A0A2N1JF37	371	1	360	49	508	0.8829	1	1	N	360	2-340	2	340	1	20
UniRef90_A0A9P6JMV7	401	1	397	17	508	0.9443	1	1	N	397	16-377	16	377	15	20
UniRef90_A0A409YIM0	401	1	401	14	509	0.9520	1	1	N	401	11-387	11	387	10	14
UniRef90_A0A0C2WGV6	401	1	401	17	510	0.9482	1	1	N	401	17-387	17	387	16	14
UniRef90_B6QWH4	401	1	394	28	511	0.9290	1	1	N	394	3-374	3	374	2	20
UniRef90_A0A067Q5Z3	401	1	391	21	509	0.9386	1	1	N	391	4-371	4	371	3	20
UniRef90_A0A0G4EGN9	401	1	401	19	512	0.9482	1	1	N	401	20-401	20	401	19	0
UniRef90_A0ABM8BE86	401	20	401	23	511	0.9386	1	1	N	382	40-401	40	401	20	0
UniRef90_UPI00397FA3DF	401	28	401	26	504	0.9194	1	1	N	374	48-401	48	401	20	0
UniRef90_A0A067MH88	400	1	398	15	511	0.9539	1	1	N	398	6-378	6	378	5	20
UniRef90_A0A8H3FZ91	400	16	400	24	508	0.9309	1	1	N	385	36-397	36	397	20	3
UniRef90_A0A1Y1XCT5	400	1	400	21	515	0.9501	1	1	N	400	13-386	13	386	12	14
UniRef90_A0A1V8TBW4	400	1	400	14	511	0.9559	1	1	N	400	17-394	17	394	16	6
UniRef90_A0A9N8VHG4	400	1	400	19	512	0.9482	1	1	N	400	7-400	7	400	6	0
UniRef90_A0A2N7VBG7	376	1	376	23	509	0.9347	1	1	N	376	6-364	6	364	5	12
UniRef90_A0AA37S8Q9	400	15	400	27	503	0.9155	1	1	N	386	35-400	35	400	20	0
UniRef90_A0ABS1LLY6	393	10	393	16	508	0.9463	1	1	N	384	30-393	30	393	20	0
UniRef90_A0A971CY33	400	21	400	22	507	0.9328	1	1	N	380	41-400	41	400	20	0
UniRef90_A0A8J4AAE3	382	1	372	50	514	0.8925	1	1	N	372	2-352	2	352	1	20
UniRef90_A0A928V3Q0	359	1	359	27	508	0.9251	1	1	N	359	3-357	3	357	2	2
UniRef90_A0A507DSU7	399	3	399	19	516	0.9559	1	1	N	397	23-399	23	399	20	0
UniRef90_A0A1Q3EF29	399	22	399	23	512	0.9405	1	1	N	378	42-399	42	399	20	0
UniRef90_A0A8H5MD37	399	7	399	20	515	0.9520	1	1	N	393	27-399	27	399	20	0
UniRef90_A0A4Y8MP18	399	14	399	30	508	0.9194	1	1	N	386	34-392	34	392	20	7
UniRef90_A0A3P5WZZ3	399	1	399	15	509	0.9501	1	1	N	399	12-387	12	387	11	12
UniRef90_UPI0022FDE365	399	14	399	17	508	0.9443	1	1	N	386	34-399	34	399	20	0
UniRef90_UPI002B21383A	399	1	390	17	505	0.9386	1	1	N	390	2-370	2	370	1	20
UniRef90_UPI0022FE98BE	399	1	399	18	511	0.9482	1	1	N	399	19-389	19	389	18	10
UniRef90_UPI0034D01617	399	1	399	17	513	0.9539	1	1	N	399	4-384	4	384	3	15
UniRef90_UPI00221F57E9	399	11	399	17	508	0.9443	1	1	N	389	31-399	31	399	20	0
UniRef90_A0ABV6PYB6	379	1	379	16	508	0.9463	1	1	N	379	8-378	8	378	7	1
UniRef90_A0AAV5A7A2	398	1	398	20	508	0.9386	1	1	N	398	15-386	15	386	14	12
UniRef90_E3KLT7	388	6	388	86	507	0.8100	1	1	N	383	26-371	26	371	20	17
UniRef90_A0AAF1BQI8	375	1	375	20	511	0.9443	1	1	N	375	5-374	5	374	4	1
UniRef90_A0A4Q1BVR2	398	1	396	16	512	0.9539	1	1	N	396	3-376	3	376	2	20
UniRef90_A0A167SDN7	398	1	391	19	511	0.9463	1	1	N	391	3-371	3	371	2	20
UniRef90_A0A3G8ZNK1	398	3	398	19	509	0.9424	1	1	N	396	23-395	23	395	20	3
UniRef90_A0A975B9U6	398	29	398	26	504	0.9194	1	1	N	370	49-398	49	398	20	0
UniRef90_A0A840NJC5	398	24	398	27	508	0.9251	1	1	N	375	44-394	44	394	20	4
UniRef90_A0A975J041	398	16	398	18	511	0.9482	1	1	N	383	36-398	36	398	20	0
UniRef90_A0A2U7UDK3	398	5	398	45	507	0.8887	1	1	N	394	25-397	25	397	20	1
UniRef90_A0A831RVF1	352	1	352	21	508	0.9367	1	1	N	352	2-352	2	352	1	0
UniRef90_A0AAF0J247	397	1	388	19	509	0.9424	1	1	N	388	3-368	3	368	2	20
UniRef90_A0A1J7J719	397	6	397	15	509	0.9501	1	1	N	392	26-396	26	396	20	1
UniRef90_A0A5C3Q4R1	397	1	397	17	510	0.9482	1	1	N	397	11-378	11	378	10	19
UniRef90_A0A163PR94	397	12	397	11	507	0.9539	1	1	N	386	32-397	32	397	20	0
UniRef90_A0ABY3W8C6	397	9	397	21	507	0.9347	1	1	N	389	29-396	29	396	20	1
UniRef90_U4KX81	396	4	396	22	510	0.9386	1	1	N	393	24-393	24	393	20	3
UniRef90_A0AAF0JFP5	396	1	389	21	512	0.9443	1	1	N	389	3-369	3	369	2	20
UniRef90_A0A2T9YRM6	396	1	396	9	509	0.9616	1	1	N	396	15-396	15	396	14	0
UniRef90_A0A8H6TQ72	380	1	380	13	509	0.9539	1	1	N	380	10-367	10	367	9	13
UniRef90_A0A9W4JGH3	396	1	396	17	511	0.9501	1	1	N	396	14-396	14	396	13	0
UniRef90_A0A4Y7QIY5	396	1	396	13	509	0.9539	1	1	N	396	18-395	18	395	17	1
UniRef90_A0A1Y2HLL2	396	6	396	21	509	0.9386	1	1	N	391	26-395	26	395	20	1
UniRef90_A0A0G4HXA7	396	1	396	21	507	0.9347	1	1	N	396	16-395	16	395	15	1
UniRef90_A0A7S2KAV3	396	1	369	18	465	0.8599	1	1	N	369	20-349	20	349	19	20
UniRef90_A0A261G8S2	396	14	396	23	507	0.9309	1	1	N	383	34-396	34	396	20	0
UniRef90_A0A4P6DZZ4	396	11	396	22	507	0.9328	1	1	N	386	31-396	31	396	20	0
UniRef90_A0A143WMH3	396	25	396	49	513	0.8925	1	1	N	372	45-395	45	395	20	1
UniRef90_UPI000E56B39E	396	1	396	20	508	0.9386	1	1	N	396	6-396	6	396	5	0
UniRef90_F4NXT9	395	8	395	20	511	0.9443	1	1	N	388	28-393	28	393	20	2
UniRef90_A0A3G2SCK5	395	1	389	19	509	0.9424	1	1	N	389	3-369	3	369	2	20
UniRef90_F4RG40	395	11	395	17	508	0.9443	1	1	N	385	31-395	31	395	20	0
UniRef90_A0A067PI84	395	1	395	14	509	0.9520	1	1	N	395	14-383	14	383	13	12
UniRef90_A0ABW4L3D7	395	1	395	16	508	0.9463	1	1	N	395	21-390	21	390	20	5
UniRef90_A0ABM8B6N3	395	21	395	23	508	0.9328	1	1	N	375	41-395	41	395	20	0
UniRef90_UPI00044172ED	395	1	395	15	508	0.9482	1	1	N	395	18-388	18	388	17	7
UniRef90_UPI00221E3DD8	395	1	395	18	515	0.9559	1	1	N	395	8-395	8	395	7	0
UniRef90_UPI0025485208	395	26	395	34	507	0.9098	1	1	N	370	46-393	46	393	20	2
UniRef90_A0A1Y2EQ04	394	1	394	20	509	0.9405	2	1	Y	394	10-394	10	394	9	0
UniRef90_A0A9P7RS56	394	6	394	19	509	0.9424	1	1	N	389	26-394	26	394	20	0
UniRef90_A0A8H7ZW20	394	35	394	48	466	0.8042	1	1	N	360	55-391	55	391	20	3
UniRef90_F4RQ33	394	1	394	20	508	0.9386	1	1	N	394	15-393	15	393	14	1
UniRef90_A0A9P6NJW7	394	3	394	23	510	0.9367	1	1	N	392	23-390	23	390	20	4
UniRef90_A0A0C3DMJ3	394	1	385	50	507	0.8791	1	1	N	385	12-365	12	365	11	20
UniRef90_A0A261EU12	394	22	394	24	507	0.9290	1	1	N	373	42-394	42	394	20	0
UniRef90_Q2A710	393	5	393	17	512	0.9520	1	1	N	389	25-393	25	393	20	0
UniRef90_A0AA39N7U8	390	5	390	19	512	0.9482	1	1	N	386	25-388	25	388	20	2
UniRef90_A0A550CEF7	393	1	393	22	510	0.9386	1	1	N	393	19-393	19	393	18	0
UniRef90_A0A0D6ERN3	393	6	393	23	510	0.9367	1	1	N	388	26-393	26	393	20	0
UniRef90_A0A316U9H6	393	10	393	18	508	0.9424	1	1	N	384	30-393	30	393	20	0
UniRef90_C0EHU6	393	27	393	28	501	0.9098	1	1	N	367	47-393	47	393	20	0
UniRef90_A0A366KCA8	393	2	393	19	518	0.9597	1	1	N	392	22-392	22	392	20	1
UniRef90_A0A381EDZ1	354	1	354	18	509	0.9443	1	1	N	354	1-353	1	353	0	1
