seq_id	subtype_source	aligned_length	gap_fraction	ambiguity_fraction	gap_or_ambiguity_fraction	core_length_before_alignment	is_target_or_representative	is_flagged_rescue	is_rescued479	recommended_curation_call	reason	notes
UniRef90_UPI0024A49C27	Ib_len255	521	0.5950	0.0000	0.5950	279	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI000D05D9E6	Ib_len255	521	0.5950	0.0000	0.5950	281	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0004123180	Ib_len255	521	0.5950	0.0000	0.5950	323	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A6N7Q0I4	Ib_len255	521	0.5950	0.0000	0.5950	270	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A6J4RHG1	Ib_len255	521	0.5950	0.0000	0.5950	318	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A1X7KEY3	Ib_len255	521	0.5950	0.0000	0.5950	293	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI00232DBCF4	Ib_len255	521	0.5931	0.0000	0.5931	281	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0018D47D91	Ib_len255	521	0.5931	0.0000	0.5931	290	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABC8CYC9	Ib_len255	521	0.5931	0.0000	0.5931	284	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A517PAF6	Ib_len255	521	0.5931	0.0000	0.5931	307	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A0R2CAV8	Ib_len255	521	0.5931	0.0000	0.5931	311	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0026147241	Ib_len255	521	0.5912	0.0000	0.5912	293	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI00226B0C4F	Ib_len255	521	0.5912	0.0000	0.5912	286	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_K9ERA9	Ib_len255	521	0.5912	0.0000	0.5912	259	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_B9KYA4	Ib_len255	521	0.5912	0.0000	0.5912	277	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A7D3XFL0	Ib_len255	521	0.5912	0.0000	0.5912	283	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A5C8GKB3	Ib_len255	521	0.5912	0.0000	0.5912	275	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A380G7W8	Ib_len255	521	0.5912	0.0000	0.5912	304	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A1G2G5S1	Ib_len255	521	0.5912	0.0000	0.5912	329	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A0F7HMT7	Ib_len255	521	0.5912	0.0000	0.5912	275	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI00404A2ECE	Ib_len255	521	0.5893	0.0000	0.5893	315	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI003918B550	Ib_len255	521	0.5893	0.0000	0.5893	297	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0010AEC87B	Ib_len255	521	0.5893	0.0000	0.5893	300	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_D1C6S6	Ib_len255	521	0.5893	0.0000	0.5893	306	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0AAX2H0K5	Ib_len255	521	0.5893	0.0000	0.5893	287	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A7C1JN42	Ib_len255	521	0.5893	0.0000	0.5893	294	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A4Q0VCP8	Ib_len255	521	0.5893	0.0000	0.5893	265	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI003B5BDDE9	Ib_len255	521	0.5873	0.0000	0.5873	292	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0039C87DD5	Ib_len255	521	0.5873	0.0000	0.5873	293	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI003557C339	Ib_len255	521	0.5873	0.0000	0.5873	277	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI002FD9406A	Ib_len255	521	0.5873	0.0000	0.5873	273	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI00272B9FE5	Ib_len255	521	0.5873	0.0000	0.5873	308	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABW8T2E9	Ib_len255	521	0.5873	0.0000	0.5873	271	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0ABS4KD50	Ib_len255	521	0.5873	0.0000	0.5873	257	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0AB36XKC3	Ib_len255	521	0.5873	0.0000	0.5873	270	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A918LG35	Ib_len255	521	0.5873	0.0000	0.5873	311	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A3P3W4K8	Ib_len255	521	0.5873	0.0000	0.5873	274	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A381RBT8	Ib_len255	521	0.5873	0.0000	0.5873	288	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A0A2LMK5	Ib_len255	521	0.5873	0.0000	0.5873	276	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI003D1B435E	Ib_len255	521	0.5854	0.0000	0.5854	313	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI001BCAD4B8	Ib_len255	521	0.5854	0.0000	0.5854	276	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0013D07D71	Ib_len255	521	0.5854	0.0000	0.5854	286	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_G2Z4S5	Ib_len255	521	0.5854	0.0000	0.5854	299	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABW5YLI8	Ib_len255	521	0.5854	0.0000	0.5854	269	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABS2NNN4	Ib_len255	521	0.5854	0.0000	0.5854	274	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0AAV5B073	Ib_len255	521	0.5854	0.0000	0.5854	279	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0AAE4AM46	Ib_len255	521	0.5854	0.0000	0.5854	257	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0A516RM28	Ib_len255	521	0.5854	0.0000	0.5854	287	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A326TR16	Ib_len255	521	0.5854	0.0000	0.5854	245	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A1M7L704	Ib_len255	521	0.5854	0.0000	0.5854	274	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI002591C1E9	Ib_len255	521	0.5835	0.0000	0.5835	273	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI001BA5B1FC	Ib_len255	521	0.5835	0.0000	0.5835	299	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0015AB26A2	Ib_len255	521	0.5835	0.0000	0.5835	267	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI000F5DC0A0	Ib_len255	521	0.5835	0.0000	0.5835	297	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0009DE8714	Ib_len255	521	0.5835	0.0000	0.5835	280	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0008532A4D	Ib_len255	521	0.5835	0.0000	0.5835	256	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI00069E3280	Ib_len255	521	0.5835	0.0000	0.5835	276	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI00058F5709	Ib_len255	521	0.5835	0.0000	0.5835	266	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_S0FA49	Ib_len255	521	0.5835	0.0000	0.5835	273	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_F9Z4L2	Ib_len255	521	0.5835	0.0000	0.5835	278	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0AC61RAW2	Ib_len255	521	0.5835	0.0000	0.5835	273	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABY6LWA5	Ib_len255	521	0.5835	0.0000	0.5835	273	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABQ3I970	Ib_len255	521	0.5835	0.0000	0.5835	274	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A9Q7F1D2	Ib_len255	521	0.5835	0.0000	0.5835	280	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A9D9N595	Ib_len255	521	0.5835	0.0000	0.5835	295	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A9D9E249	Ib_len255	521	0.5835	0.0000	0.5835	278	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A939F1K7	Ib_len255	521	0.5835	0.0000	0.5835	265	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A364RD66	Ib_len255	521	0.5835	0.0000	0.5835	287	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A1G7RXT8	Ib_len255	521	0.5835	0.0000	0.5835	256	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI0032EF1EC6	Ib_len255	521	0.5816	0.0000	0.5816	279	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI00210E616F	Ib_len255	521	0.5816	0.0000	0.5816	274	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_M7NGA0	Ib_len255	521	0.5816	0.0000	0.5816	280	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABY7JU18	Ib_len255	521	0.5816	0.0000	0.5816	284	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABW3CZ10	Ib_len255	521	0.5816	0.0000	0.5816	280	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABS5JVS6	Ib_len255	521	0.5816	0.0000	0.5816	275	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABS2MTA6	Ib_len255	521	0.5816	0.0000	0.5816	256	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0ABS0LNM8	Ib_len255	521	0.5816	0.0000	0.5816	255	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0A6N3EJV7	Ib_len255	521	0.5816	0.0000	0.5816	267	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A6J4V331	Ib_len255	521	0.5816	0.0000	0.5816	306	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A2A2F7B8	Ib_len255	521	0.5816	0.0000	0.5816	275	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A174SB57	Ib_len255	521	0.5816	0.0000	0.5816	276	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A160T0Q5	Ib_len255	521	0.5816	0.0000	0.5816	271	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0A133QJI7	Ib_len255	521	0.5816	0.0000	0.5816	276	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A0M2SS44	Ib_len255	521	0.5816	0.0000	0.5816	277	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A0B7MDD3	Ib_len255	521	0.5816	0.0000	0.5816	274	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0029C90D26	Ib_len255	521	0.5797	0.0000	0.5797	275	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI0026351126	Ib_len255	521	0.5797	0.0000	0.5797	292	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_UPI0026143DAA	Ib_len255	521	0.5797	0.0000	0.5797	284	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_UPI0023DA1DFD	Ib_len255	521	0.5797	0.0000	0.5797	263	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_UPI001D22BA6C	Ib_len255	521	0.5797	0.0000	0.5797	276	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI000389FBEA	Ib_len255	521	0.5797	0.0000	0.5797	282	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_S7T8Z1	Ib_len255	521	0.5797	0.0000	0.5797	285	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0ABT7PLF2	Ib_len255	521	0.5797	0.0000	0.5797	289	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0AAU9CEL5	Ib_len255	521	0.5797	0.0000	0.5797	276	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A9Q9CK47	Ib_len255	521	0.5797	0.0000	0.5797	297	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A7Y8Y4X7	Ib_len255	521	0.5797	0.0000	0.5797	272	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A4Q0U6R7	Ib_len255	521	0.5797	0.0000	0.5797	274	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A3B0SXG9	Ib_len255	521	0.5797	0.0000	0.5797	312	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A151B6W4	Ib_len255	521	0.5797	0.0000	0.5797	264	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI002E2F326E	Ib_len255	521	0.5777	0.0000	0.5777	278	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_UPI002BB685ED	Ib_len255	521	0.5777	0.0000	0.5777	315	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_UPI001CF85538	Ib_len255	521	0.5777	0.0000	0.5777	287	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_UPI000F5BFB92	Ib_len255	521	0.5777	0.0000	0.5777	301	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_UPI000E2EE991	Ib_len255	521	0.5777	0.0000	0.5777	324	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_UPI0006E3534A	Ib_len255	521	0.5777	0.0000	0.5777	271	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0ABW3HZS8	Ib_len255	521	0.5777	0.0000	0.5777	272	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A927C0M2	Ib_len255	521	0.5777	0.0000	0.5777	318	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A7K1YBY4	Ib_len255	521	0.5777	0.0000	0.5777	313	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A7G1HTK4	Ib_len255	521	0.5777	0.0000	0.5777	303	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A5C6RPP3	Ib_len255	521	0.5777	0.0000	0.5777	281	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A518BRV1	Ib_len255	521	0.5777	0.0000	0.5777	312	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A4R3KMG4	Ib_len255	521	0.5777	0.0000	0.5777	314	false	false	false	keep_for_tree	moderate Ib_len255 high-gap burden without target, flagged, rescued, or extreme-tail signal	kept for tree pending user review of the advisory curation tables
UniRef90_A0A4R2JZH9	Ib_len255	521	0.5777	0.0000	0.5777	279	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
