seq_id	dah7ps_score	kdops_score	delta	verdict
UniRef90_A0A094JGG8	87.6	18.7	68.9	KEEP
UniRef90_A0A094XCT9	566.4	109.9	456.5	KEEP
UniRef90_A0A094XDP8	119.6	439.0	-319.4	REMOVE
UniRef90_A0A094ZZV9	96.1	404.8	-308.7	REMOVE
UniRef90_A0A095BQT5	122.4	452.4	-330.0	REMOVE
UniRef90_A0A095SXX5	171.4	49.2	122.2	KEEP
UniRef90_A0A095X2E3	97.2	406.7	-309.5	REMOVE
UniRef90_A0A096AHM8	390.4	102.3	288.1	KEEP
UniRef90_A0A096AJX4	113.7	426.0	-312.3	REMOVE
UniRef90_A0A096AP32	110.7	435.1	-324.4	REMOVE
UniRef90_A0A096AYD5	171.1	46.8	124.3	KEEP
UniRef90_A0A096B8R6	403.2	119.6	283.6	KEEP
UniRef90_A0A096BCG1	380.1	110.9	269.2	KEEP
UniRef90_A0A097AR13	436.2	118.9	317.3	KEEP
UniRef90_A0A097AS67	397.5	127.9	269.6	KEEP
UniRef90_A0A098B0E4	418.4	115.6	302.8	KEEP
UniRef90_A0A098B7R7	380.8	88.5	292.3	KEEP
UniRef90_A0A098BVW3	132.1	352.6	-220.5	REMOVE
UniRef90_A0A098C1K1	179.4	36.4	143.0	KEEP
UniRef90_A0A098ELU7	542.1	108.0	434.1	KEEP
UniRef90_A0A098G249	110.1	443.1	-333.0	REMOVE
UniRef90_A0A098GFK5	116.0	448.4	-332.4	REMOVE
UniRef90_A0A098LCK7	171.3	57.1	114.2	KEEP
UniRef90_A0A098LF85	141.1	354.7	-213.6	REMOVE
UniRef90_A0A098MEN9	494.2	104.5	389.7	KEEP
UniRef90_A0A098QW07	400.3	94.2	306.1	KEEP
UniRef90_A0A098S1S9	359.5	103.5	256.0	KEEP
UniRef90_A0A098S4L6	184.9	49.8	135.1	KEEP
UniRef90_A0A098SBK4	115.6	348.0	-232.4	REMOVE
UniRef90_A0A098TI45	114.4	421.5	-307.1	REMOVE
UniRef90_A0A098TJA4	363.8	121.6	242.2	KEEP
UniRef90_A0A099CX22	115.1	455.1	-340.0	REMOVE
UniRef90_A0A099F439	99.3	394.7	-295.4	REMOVE
UniRef90_A0A099UIJ9	79.2	364.8	-285.6	REMOVE
UniRef90_A0A099W072	572.6	109.7	462.9	KEEP
UniRef90_A0A0A0EGX7	93.2	417.6	-324.4	REMOVE
UniRef90_A0A0A0HK14	106.5	410.8	-304.3	REMOVE
UniRef90_A0A0A2A913	258.0	90.0	168.0	KEEP
UniRef90_A0A0A2E9E1	143.5	55.3	88.2	KEEP
UniRef90_A0A0A2EES4	122.8	356.7	-233.9	REMOVE
UniRef90_A0A0A2EUB9	142.2	28.8	113.4	KEEP
UniRef90_A0A0A2EXV7	135.7	352.2	-216.5	REMOVE
UniRef90_A0A0A2FRL6	164.0	60.1	103.9	KEEP
UniRef90_A0A0A2G461	145.8	42.7	103.1	KEEP
UniRef90_A0A0A2H169	102.7	329.6	-226.9	REMOVE
UniRef90_A0A0A2H5Q7	174.3	49.4	124.9	KEEP
UniRef90_A0A0A2LMK5	166.4	50.3	116.1	KEEP
UniRef90_A0A0A2M3B7	127.2	339.1	-211.9	REMOVE
UniRef90_A0A0A2MA25	173.5	40.3	133.2	KEEP
UniRef90_A0A0A2MNH4	166.4	51.4	115.0	KEEP
UniRef90_A0A0A2MUG0	172.0	46.2	125.8	KEEP
UniRef90_A0A0A2TDN9	568.6	121.2	447.4	KEEP
UniRef90_A0A0A2V8Y6	557.5	117.4	440.1	KEEP
UniRef90_A0A0A2WMZ4	120.5	458.4	-337.9	REMOVE
UniRef90_A0A0A2WNR1	415.4	115.5	299.9	KEEP
UniRef90_A0A0A2WQW4	457.5	110.7	346.8	KEEP
UniRef90_A0A0A3BBP8	89.3	404.4	-315.1	REMOVE
UniRef90_A0A0A5FR08	563.7	113.3	450.4	KEEP
UniRef90_A0A0A5G7M8	566.3	115.3	451.0	KEEP
UniRef90_A0A0A5GBH0	560.2	115.5	444.7	KEEP
UniRef90_A0A0A5GE59	545.3	117.7	427.6	KEEP
UniRef90_A0A0A6PMG0	393.0	103.7	289.3	KEEP
UniRef90_A0A0A6S2N0	220.6	48.3	172.3	KEEP
UniRef90_A0A0A7EK99	79.0	427.3	-348.3	REMOVE
UniRef90_A0A0A7FWK9	416.3	125.4	290.9	KEEP
UniRef90_A0A0A7FZN1	411.1	115.2	295.9	KEEP
UniRef90_A0A0A7S040	94.2	442.1	-347.9	REMOVE
UniRef90_A0A0A8H0L9	92.0	362.8	-270.8	REMOVE
UniRef90_A0A0A8HXC7	96.0	370.3	-274.3	REMOVE
UniRef90_A0A0A8K6D2	116.0	428.8	-312.8	REMOVE
UniRef90_A0A0A8USB8	111.0	443.4	-332.4	REMOVE
UniRef90_A0A0A8X648	576.0	114.4	461.6	KEEP
UniRef90_A0A0B0EIH1	119.9	392.5	-272.6	REMOVE
UniRef90_A0A0B0HBH7	100.2	449.6	-349.4	REMOVE
UniRef90_A0A0B0IJ07	561.7	114.1	447.6	KEEP
UniRef90_A0A0B1Q0Q3	101.5	429.4	-327.9	REMOVE
UniRef90_A0A0B2BUW7	108.9	415.5	-306.6	REMOVE
UniRef90_A0A0B2JI45	441.5	116.9	324.6	KEEP
UniRef90_A0A0B2JSC8	423.2	121.4	301.8	KEEP
UniRef90_A0A0B2JYP9	109.9	418.0	-308.1	REMOVE
UniRef90_A0A0B3SSE2	119.0	418.5	-299.5	REMOVE
UniRef90_A0A0B4E3Q5	180.6	49.8	130.8	KEEP
UniRef90_A0A0B4ETF0	195.2	41.8	153.4	KEEP
UniRef90_A0A0B4X358	98.2	430.2	-332.0	REMOVE
UniRef90_A0A0B4XNW2	79.3	424.6	-345.3	REMOVE
UniRef90_A0A0B5AUZ0	561.9	117.2	444.7	KEEP
UniRef90_A0A0B5DVC0	104.4	401.5	-297.1	REMOVE
UniRef90_A0A0B5FET4	436.9	116.8	320.1	KEEP
UniRef90_A0A0B5FFU4	123.2	419.6	-296.4	REMOVE
UniRef90_A0A0B5FSW6	406.0	109.9	296.1	KEEP
UniRef90_A0A0B6WVS4	118.2	391.8	-273.6	REMOVE
UniRef90_A0A0B6WX10	419.5	110.8	308.7	KEEP
UniRef90_A0A0B7HIZ5	111.6	340.9	-229.3	REMOVE
UniRef90_A0A0B7HJZ7	113.5	343.8	-230.3	REMOVE
UniRef90_A0A0B7HKD8	61.7	16.7	45.0	KEEP
UniRef90_A0A0B7HQB7	84.5	27.4	57.1	KEEP
UniRef90_A0A0B7I538	163.3	58.6	104.7	KEEP
UniRef90_A0A0B7IFZ3	110.5	342.9	-232.4	REMOVE
UniRef90_A0A0B7MDD3	396.5	109.3	287.2	KEEP
UniRef90_A0A0B7MHN0	417.5	113.3	304.2	KEEP
UniRef90_A0A0B7MPV0	393.5	109.1	284.4	KEEP
UniRef90_A0A0B8SZL2	162.1	41.6	120.5	KEEP
UniRef90_A0A0B8T2C8	117.9	340.9	-223.0	REMOVE
UniRef90_A0A0C1EKD9	90.6	411.8	-321.2	REMOVE
UniRef90_A0A0C1L3P8	140.0	337.0	-197.0	REMOVE
UniRef90_A0A0C1LFU7	165.9	45.2	120.7	KEEP
UniRef90_A0A0C1NDD5	351.2	119.1	232.1	KEEP
UniRef90_A0A0C1NHB4	354.5	111.1	243.4	KEEP
UniRef90_A0A0C1QHR7	136.5	433.9	-297.4	REMOVE
UniRef90_A0A0C1QSG8	361.6	131.1	230.5	KEEP
UniRef90_A0A0C1R6X1	363.5	130.0	233.5	KEEP
UniRef90_A0A0C1RA09	366.9	110.2	256.7	KEEP
UniRef90_A0A0C1RBH3	361.8	136.5	225.3	KEEP
UniRef90_A0A0C1Y1B7	105.5	452.2	-346.7	REMOVE
UniRef90_A0A0C2HI05	376.2	115.0	261.2	KEEP
UniRef90_A0A0C2HUT0	121.8	428.2	-306.4	REMOVE
UniRef90_A0A0C2NTF8	420.0	111.4	308.6	KEEP
UniRef90_A0A0C3NEF5	164.3	49.6	114.7	KEEP
UniRef90_A0A0C3R9X6	139.9	361.1	-221.2	REMOVE
UniRef90_A0A0C5J8P5	108.8	440.5	-331.7	REMOVE
UniRef90_A0A0C5VR19	98.8	438.3	-339.5	REMOVE
UniRef90_A0A0C6FU10	117.9	420.0	-302.1	REMOVE
UniRef90_A0A0C7G669	371.2	122.0	249.2	KEEP
UniRef90_A0A0C7NL84	432.4	136.3	296.1	KEEP
UniRef90_A0A0D0I2Y2	85.6	343.6	-258.0	REMOVE
UniRef90_A0A0D0I4V3	195.9	51.0	144.9	KEEP
UniRef90_A0A0D0Q5N3	598.0	123.7	474.3	KEEP
UniRef90_A0A0D0QGJ6	106.7	397.0	-290.3	REMOVE
UniRef90_A0A0D0Y5V5	368.0	109.9	258.1	KEEP
UniRef90_A0A0D1D9W3	105.9	401.8	-295.9	REMOVE
UniRef90_A0A0D1LQD0	346.0	94.3	251.7	KEEP
UniRef90_A0A0D1XYN3	533.6	122.3	411.3	KEEP
UniRef90_A0A0D2HS50	120.7	393.7	-273.0	REMOVE
UniRef90_A0A0D2JTG2	393.4	124.0	269.4	KEEP
UniRef90_A0A0D2JTG7	394.8	104.5	290.3	KEEP
UniRef90_A0A0D3HSJ0	98.9	385.7	-286.8	REMOVE
UniRef90_A0A0D3IE95	84.8	274.5	-189.7	REMOVE
UniRef90_A0A0D5LUC2	107.9	427.5	-319.6	REMOVE
UniRef90_A0A0D5YPX1	122.9	345.1	-222.2	REMOVE
UniRef90_A0A0D5YTL7	167.1	53.5	113.6	KEEP
UniRef90_A0A0D6AZA0	97.5	403.6	-306.1	REMOVE
UniRef90_A0A0D6EUW9	100.9	441.0	-340.1	REMOVE
UniRef90_A0A0D6EV49	396.1	106.6	289.5	KEEP
UniRef90_A0A0D6JHZ1	121.3	429.6	-308.3	REMOVE
UniRef90_A0A0D6LE35	147.7	31.7	116.0	KEEP
UniRef90_A0A0D6MJA3	124.0	422.1	-298.1	REMOVE
UniRef90_A0A0D6N6N7	115.1	430.2	-315.1	REMOVE
UniRef90_A0A0D6P8H5	121.8	404.4	-282.6	REMOVE
UniRef90_A0A0D6PDA4	111.2	429.5	-318.3	REMOVE
UniRef90_A0A0D7ERK1	125.8	425.9	-300.1	REMOVE
UniRef90_A0A0D7UYT9	81.1	419.3	-338.2	REMOVE
UniRef90_A0A0D7VZ76	100.4	342.8	-242.4	REMOVE
UniRef90_A0A0D8IYE4	393.2	96.3	296.9	KEEP
UniRef90_A0A0D8J072	372.0	108.9	263.1	KEEP
UniRef90_A0A0D8ZU48	354.1	117.0	237.1	KEEP
UniRef90_A0A0D8ZX58	361.6	116.3	245.3	KEEP
UniRef90_A0A0D9XYC8	65.1	273.0	-207.9	REMOVE
UniRef90_A0A0E0BQF1	87.8	295.0	-207.2	REMOVE
UniRef90_A0A0E0BY32	117.4	397.5	-280.1	REMOVE
UniRef90_A0A0E3PDW7	413.9	123.2	290.7	KEEP
UniRef90_A0A0E3UN12	89.3	405.4	-316.1	REMOVE
UniRef90_A0A0E3UV24	204.9	64.3	140.6	KEEP
UniRef90_A0A0E3W3M4	376.1	108.7	267.4	KEEP
UniRef90_A0A0E3W3W1	411.4	117.3	294.1	KEEP
UniRef90_A0A0E3ZLG5	116.5	439.7	-323.2	REMOVE
UniRef90_A0A0E3ZZU6	161.3	44.4	116.9	KEEP
UniRef90_A0A0E4C9R3	419.1	112.7	306.4	KEEP
UniRef90_A0A0E4CZ95	499.1	101.4	397.7	KEEP
UniRef90_A0A0E4GCI3	383.0	107.8	275.2	KEEP
UniRef90_A0A0E9LQU3	170.8	47.6	123.2	KEEP
UniRef90_A0A0E9LSW9	109.2	352.8	-243.6	REMOVE
UniRef90_A0A0E9N0J5	133.7	333.3	-199.6	REMOVE
UniRef90_A0A0F0CN53	388.3	109.5	278.8	KEEP
UniRef90_A0A0F0CR18	139.7	388.9	-249.2	REMOVE
UniRef90_A0A0F3GR21	322.1	67.2	254.9	KEEP
UniRef90_A0A0F3GWI7	93.9	45.6	48.3	KEEP
UniRef90_A0A0F3H0D3	117.1	402.4	-285.3	REMOVE
UniRef90_A0A0F3ISH3	109.8	426.4	-316.6	REMOVE
UniRef90_A0A0F3KWS3	86.9	397.8	-310.9	REMOVE
UniRef90_A0A0F4PRA3	75.9	427.1	-351.2	REMOVE
UniRef90_A0A0F5EW22	102.5	442.4	-339.9	REMOVE
UniRef90_A0A0F5JS91	182.5	49.2	133.3	KEEP
UniRef90_A0A0F5JX94	101.4	435.4	-334.0	REMOVE
UniRef90_A0A0F5MQ08	113.2	408.5	-295.3	REMOVE
UniRef90_A0A0F5PQ00	383.4	117.8	265.6	KEEP
UniRef90_A0A0F5YH25	361.0	109.0	252.0	KEEP
UniRef90_A0A0F6EXM1	398.3	95.2	303.1	KEEP
UniRef90_A0A0F6TRF9	101.9	437.1	-335.2	REMOVE
UniRef90_A0A0F6W802	123.2	433.6	-310.4	REMOVE
UniRef90_A0A0F7HMT7	424.6	96.7	327.9	KEEP
UniRef90_A0A0F7JNR2	454.0	107.5	346.5	KEEP
UniRef90_A0A0F7JZZ8	113.2	452.9	-339.7	REMOVE
UniRef90_A0A0F7KK92	228.9	33.7	195.2	KEEP
UniRef90_A0A0F7L3G9	71.4	20.5	50.9	KEEP
UniRef90_A0A0F8VYG7	63.9	221.4	-157.5	REMOVE
UniRef90_A0A0F8X8N4	361.9	110.4	251.5	KEEP
UniRef90_A0A0F8XMX7	131.2	36.5	94.7	KEEP
UniRef90_A0A0F8Y2A6	246.2	73.8	172.4	KEEP
UniRef90_A0A0F8YNI0	132.7	396.6	-263.9	REMOVE
UniRef90_A0A0F8ZKX6	239.7	74.8	164.9	KEEP
UniRef90_A0A0F9AFC8	93.4	381.1	-287.7	REMOVE
UniRef90_A0A0F9AIH6	106.9	322.3	-215.4	REMOVE
UniRef90_A0A0F9C755	388.3	113.6	274.7	KEEP
UniRef90_A0A0F9CAV0	96.6	402.4	-305.8	REMOVE
UniRef90_A0A0F9CGR9	70.1	236.0	-165.9	REMOVE
UniRef90_A0A0F9D722	88.7	317.4	-228.7	REMOVE
UniRef90_A0A0F9EFM3	429.6	107.4	322.2	KEEP
UniRef90_A0A0F9EGS8	128.9	418.6	-289.7	REMOVE
UniRef90_A0A0F9EVR3	114.2	345.9	-231.7	REMOVE
UniRef90_A0A0F9EXN1	93.0	nan	nan	KEEP
UniRef90_A0A0F9FTF0	289.6	103.7	185.9	KEEP
UniRef90_A0A0F9ISF7	255.4	58.4	197.0	KEEP
UniRef90_A0A0F9JCY1	410.1	132.5	277.6	KEEP
UniRef90_A0A0F9KH98	419.7	128.8	290.9	KEEP
UniRef90_A0A0F9MSD3	118.9	335.2	-216.3	REMOVE
UniRef90_A0A0F9QQJ3	134.7	374.1	-239.4	REMOVE
UniRef90_A0A0F9RKN9	120.9	450.9	-330.0	REMOVE
UniRef90_A0A0F9SL51	65.2	268.2	-203.0	REMOVE
UniRef90_A0A0F9UVL4	392.6	124.6	268.0	KEEP
UniRef90_A0A0F9X4D9	368.3	114.5	253.8	KEEP
UniRef90_A0A0F9X4F0	122.2	379.3	-257.1	REMOVE
UniRef90_A0A0G0G1W4	236.7	68.0	168.7	KEEP
UniRef90_A0A0G0MUE5	282.1	100.5	181.6	KEEP
UniRef90_A0A0G1DL43	361.5	99.3	262.2	KEEP
UniRef90_A0A0G3BRI0	107.0	448.3	-341.3	REMOVE
UniRef90_A0A0G3ECP5	401.3	116.1	285.2	KEEP
UniRef90_A0A0G3EF44	119.1	385.1	-266.0	REMOVE
UniRef90_A0A0G3EK60	91.0	439.9	-348.9	REMOVE
UniRef90_A0A0G3G1T5	119.6	456.3	-336.7	REMOVE
UniRef90_A0A0G3I657	94.3	400.3	-306.0	REMOVE
UniRef90_A0A0G3W944	374.1	131.6	242.5	KEEP
UniRef90_A0A0G3W970	427.9	118.3	309.6	KEEP
UniRef90_A0A0G3WHY0	123.7	403.6	-279.9	REMOVE
UniRef90_A0A0G3WJ12	401.7	113.2	288.5	KEEP
UniRef90_A0A0G4K4A3	402.6	111.7	290.9	KEEP
UniRef90_A0A0G4K5Y9	399.1	110.2	288.9	KEEP
UniRef90_A0A0G9HBU8	115.4	458.9	-343.5	REMOVE
UniRef90_A0A0G9MMC5	101.1	439.2	-338.1	REMOVE
UniRef90_A0A0H3J7H6	392.5	118.8	273.7	KEEP
UniRef90_A0A0H4PBZ0	130.0	369.3	-239.3	REMOVE
UniRef90_A0A0H4WTR0	213.3	35.1	178.2	KEEP
UniRef90_A0A0H5BQ59	125.1	426.2	-301.1	REMOVE
UniRef90_A0A0H5DI63	100.9	406.8	-305.9	REMOVE
UniRef90_A0A0H5DPC1	125.6	405.0	-279.4	REMOVE
UniRef90_A0A0H5Q1V7	394.0	114.5	279.5	KEEP
UniRef90_A0A0H5SJ32	426.8	125.8	301.0	KEEP
UniRef90_A0A0J0YUF1	104.7	nan	nan	KEEP
UniRef90_A0A0J0YV09	86.0	391.1	-305.1	REMOVE
UniRef90_A0A0J1CSI7	80.6	408.2	-327.6	REMOVE
UniRef90_A0A0J1ILC5	392.5	94.3	298.2	KEEP
UniRef90_A0A0J1ILI0	391.3	93.0	298.3	KEEP
UniRef90_A0A0J1IPR4	403.4	109.2	294.2	KEEP
UniRef90_A0A0J6C5Q3	97.5	413.7	-316.2	REMOVE
UniRef90_A0A0J6WUS3	401.8	111.6	290.2	KEEP
UniRef90_A0A0J6WWP7	116.5	412.4	-295.9	REMOVE
UniRef90_A0A0J7JAH9	214.8	42.1	172.7	KEEP
UniRef90_A0A0J7LR66	157.8	55.6	102.2	KEEP
UniRef90_A0A0J7XPH7	96.4	405.1	-308.7	REMOVE
UniRef90_A0A0J8DAV1	401.9	115.6	286.3	KEEP
UniRef90_A0A0J8DEX7	419.6	139.2	280.4	KEEP
UniRef90_A0A0J8GVC0	97.1	428.1	-331.0	REMOVE
UniRef90_A0A0J9E4I1	113.4	415.7	-302.3	REMOVE
UniRef90_A0A0K0XSU8	120.2	431.4	-311.2	REMOVE
UniRef90_A0A0K0Y897	89.9	402.4	-312.5	REMOVE
UniRef90_A0A0K1EH62	318.4	92.3	226.1	KEEP
UniRef90_A0A0K1NIB6	99.2	330.7	-231.5	REMOVE
UniRef90_A0A0K1P8V0	325.4	105.0	220.4	KEEP
UniRef90_A0A0K1PG86	112.2	369.1	-256.9	REMOVE
UniRef90_A0A0K1XGC7	97.1	435.6	-338.5	REMOVE
UniRef90_A0A0K2G860	415.2	111.9	303.3	KEEP
UniRef90_A0A0K2GGE4	130.0	425.0	-295.0	REMOVE
UniRef90_A0A0K2HP02	115.5	354.7	-239.2	REMOVE
UniRef90_A0A0K2SKK9	411.3	106.1	305.2	KEEP
UniRef90_A0A0K2X3J9	75.5	352.8	-277.3	REMOVE
UniRef90_A0A0K2XMK0	71.5	354.0	-282.5	REMOVE
UniRef90_A0A0K6GSD9	103.3	440.7	-337.4	REMOVE
UniRef90_A0A0K6H1N8	398.6	105.0	293.6	KEEP
UniRef90_A0A0K6IWQ9	122.9	443.7	-320.8	REMOVE
UniRef90_A0A0K8J3Z0	418.6	115.5	303.1	KEEP
UniRef90_A0A0K8MCC4	114.7	428.3	-313.6	REMOVE
UniRef90_A0A0K8P9D9	411.8	100.4	311.4	KEEP
UniRef90_A0A0K8QND4	106.0	455.2	-349.2	REMOVE
