seq_id	score_Ia	score_II	delta_bits	assigned_subtype	confidence
UniRef90_A0A067MK81	531.2	91.8	439.4	Ia	HIGH
UniRef90_A0A067PI84	519.6	81.5	438.1	Ia	HIGH
UniRef90_A0A067Q5Z3	522.6	98.9	423.7	Ia	HIGH
UniRef90_A0A067T2M5	527.6	78.3	449.3	Ia	HIGH
UniRef90_A0A067TS61	517.8	95.3	422.5	Ia	HIGH
UniRef90_A0A068NJU7	452.0	87.4	364.6	Ia	HIGH
UniRef90_A0A068QPZ6	589.2	111.2	478.0	Ia	HIGH
UniRef90_A0A068R242	564.2	83.0	481.2	Ia	HIGH
UniRef90_A0A068RHS4	554.7	100.9	453.8	Ia	HIGH
UniRef90_A0A068RWS3	547.3	77.5	469.8	Ia	HIGH
UniRef90_A0A068S0I8	552.5	112.6	439.9	Ia	HIGH
UniRef90_A0A068S1D2	554.5	102.1	452.4	Ia	HIGH
UniRef90_A0A068SKI3	517.9	102.8	415.1	Ia	HIGH
UniRef90_A0A069P299	538.4	105.7	432.7	Ia	HIGH
UniRef90_A0A069P6M2	559.3	112.3	447.0	Ia	HIGH
UniRef90_A0A069PTK4	524.5	98.4	426.1	Ia	HIGH
UniRef90_A0A074YK25	558.4	79.3	479.1	Ia	HIGH
UniRef90_A0A075K494	541.4	130.2	411.2	Ia	HIGH
UniRef90_A0A075UXL1	369.3	70.3	299.0	Ia	HIGH
UniRef90_A0A075V3T6	473.0	86.3	386.7	Ia	HIGH
UniRef90_A0A075V5K9	484.9	116.7	368.2	Ia	HIGH
UniRef90_A0A076LK01	580.6	114.2	466.4	Ia	HIGH
UniRef90_A0A076LLC2	543.2	98.5	444.7	Ia	HIGH
UniRef90_A0A076N2F6	490.9	92.2	398.7	Ia	HIGH
UniRef90_A0A077DHQ7	560.2	112.3	447.9	Ia	HIGH
UniRef90_A0A077FDE5	445.9	59.0	386.9	Ia	HIGH
UniRef90_A0A078KEH3	488.3	105.1	383.2	Ia	HIGH
UniRef90_A0A078LQ41	434.5	70.5	364.0	Ia	HIGH
UniRef90_A0A078LUR2	504.2	80.8	423.4	Ia	HIGH
UniRef90_A0A078MP85	470.4	104.5	365.9	Ia	HIGH
UniRef90_A0A080M4I6	470.7	79.7	391.0	Ia	HIGH
UniRef90_A0A080M548	557.6	122.8	434.8	Ia	HIGH
UniRef90_A0A080N4L2	469.3	86.2	383.1	Ia	HIGH
UniRef90_A0A080N6C7	456.9	86.2	370.7	Ia	HIGH
UniRef90_A0A081CDS5	535.2	110.2	425.0	Ia	HIGH
UniRef90_A0A081FTW8	516.1	79.2	436.9	Ia	HIGH
UniRef90_A0A081KC35	501.0	88.6	412.4	Ia	HIGH
UniRef90_A0A081N6R3	497.6	80.8	416.8	Ia	HIGH
UniRef90_A0A081NCE6	508.8	89.4	419.4	Ia	HIGH
UniRef90_A0A084AJV4	557.6	72.8	484.8	Ia	HIGH
UniRef90_A0A084CM92	517.9	80.9	437.0	Ia	HIGH
UniRef90_A0A084FYE6	566.0	88.5	477.5	Ia	HIGH
UniRef90_A0A084GAN2	564.9	79.4	485.5	Ia	HIGH
UniRef90_A0A084IK94	546.9	93.0	453.9	Ia	HIGH
UniRef90_A0A084IKC2	417.0	56.3	360.7	Ia	HIGH
UniRef90_A0A084QUJ7	553.8	89.3	464.5	Ia	HIGH
UniRef90_A0A084R2T8	551.5	78.7	472.8	Ia	HIGH
UniRef90_A0A084SKP0	459.5	73.1	386.4	Ia	HIGH
UniRef90_A0A085GAJ2	585.3	86.2	499.1	Ia	HIGH
UniRef90_A0A085JC96	580.9	112.4	468.5	Ia	HIGH
UniRef90_A0A085JDS9	558.4	87.3	471.1	Ia	HIGH
UniRef90_A0A085JJ82	546.8	99.4	447.4	Ia	HIGH
UniRef90_A0A085U4I4	595.6	115.3	480.3	Ia	HIGH
UniRef90_A0A085VN30	440.2	60.6	379.6	Ia	HIGH
UniRef90_A0A085WX93	464.7	76.0	388.7	Ia	HIGH
UniRef90_A0A086T0X6	559.9	82.3	477.6	Ia	HIGH
UniRef90_A0A086TDK7	570.2	86.7	483.5	Ia	HIGH
UniRef90_A0A086ZE71	468.5	90.2	378.3	Ia	HIGH
UniRef90_A0A086ZE72	457.7	84.6	373.1	Ia	HIGH
UniRef90_A0A086ZSF3	457.7	92.4	365.3	Ia	HIGH
UniRef90_A0A087AGA9	461.8	73.4	388.4	Ia	HIGH
UniRef90_A0A087AGB1	456.3	92.9	363.4	Ia	HIGH
UniRef90_A0A087AKZ7	457.2	90.4	366.8	Ia	HIGH
UniRef90_A0A087ANT6	473.2	76.7	396.5	Ia	HIGH
UniRef90_A0A087AY82	460.5	76.1	384.4	Ia	HIGH
UniRef90_A0A087AY84	450.3	104.8	345.5	Ia	HIGH
UniRef90_A0A087BB78	466.4	87.7	378.7	Ia	HIGH
UniRef90_A0A087BB80	453.5	92.8	360.7	Ia	HIGH
UniRef90_A0A087BEH5	457.3	80.5	376.8	Ia	HIGH
UniRef90_A0A087BMD4	461.0	78.3	382.7	Ia	HIGH
UniRef90_A0A087BMD5	460.7	87.1	373.6	Ia	HIGH
UniRef90_A0A087BTF6	456.0	88.8	367.2	Ia	HIGH
UniRef90_A0A087BTF7	458.8	75.6	383.2	Ia	HIGH
UniRef90_A0A087CFS3	469.7	93.6	376.1	Ia	HIGH
UniRef90_A0A087CFS4	464.6	87.3	377.3	Ia	HIGH
UniRef90_A0A087CYT9	365.8	70.7	295.1	Ia	HIGH
UniRef90_A0A087CYU0	460.9	96.2	364.7	Ia	HIGH
UniRef90_A0A087DJU6	467.9	80.6	387.3	Ia	HIGH
UniRef90_A0A087DJU7	454.3	87.3	367.0	Ia	HIGH
UniRef90_A0A087DP69	474.2	83.9	390.3	Ia	HIGH
UniRef90_A0A087DP70	462.4	86.9	375.5	Ia	HIGH
UniRef90_A0A087EBR4	471.5	88.1	383.4	Ia	HIGH
UniRef90_A0A087EBR5	454.9	78.5	376.4	Ia	HIGH
UniRef90_A0A087ECF0	460.3	78.4	381.9	Ia	HIGH
UniRef90_A0A087ECF1	465.8	83.6	382.2	Ia	HIGH
UniRef90_A0A087VV82	472.4	80.7	391.7	Ia	HIGH
UniRef90_A0A087VVP6	466.3	81.1	385.2	Ia	HIGH
UniRef90_A0A088MY13	490.8	86.2	404.6	Ia	HIGH
UniRef90_A0A089PMQ0	600.2	86.8	513.4	Ia	HIGH
UniRef90_A0A089WLU5	498.2	77.3	420.9	Ia	HIGH
UniRef90_A0A089WUE2	439.8	60.8	379.0	Ia	HIGH
UniRef90_A0A089ZQS8	435.5	70.0	365.5	Ia	HIGH
UniRef90_A0A090AJM8	537.6	95.2	442.4	Ia	HIGH
UniRef90_A0A090CYV6	407.5	62.4	345.1	Ia	HIGH
UniRef90_A0A090V571	605.4	85.7	519.7	Ia	HIGH
UniRef90_A0A093VDW9	330.4	54.3	276.1	Ia	HIGH
UniRef90_A0A094JGH5	536.0	97.9	438.1	Ia	HIGH
UniRef90_A0A094LTI8	551.8	103.3	448.5	Ia	HIGH
UniRef90_A0A094LVF4	579.1	97.9	481.2	Ia	HIGH
UniRef90_A0A095UEI4	571.8	92.6	479.2	Ia	HIGH
UniRef90_A0A095UG84	582.6	108.7	473.9	Ia	HIGH
UniRef90_A0A095UVQ4	442.6	65.9	376.7	Ia	HIGH
UniRef90_A0A095VTY5	545.2	113.7	431.5	Ia	HIGH
UniRef90_A0A095WY52	493.0	84.2	408.8	Ia	HIGH
UniRef90_A0A095Y066	511.7	152.6	359.1	Ia	HIGH
UniRef90_A0A096BDD9	551.6	107.2	444.4	Ia	HIGH
UniRef90_A0A097EMC8	513.8	129.1	384.7	Ia	HIGH
UniRef90_A0A097QKC1	549.8	94.2	455.6	Ia	HIGH
UniRef90_A0A098D381	561.3	72.9	488.4	Ia	HIGH
UniRef90_A0A098QXT6	529.8	105.2	424.6	Ia	HIGH
UniRef90_A0A098QZB5	475.3	83.3	392.0	Ia	HIGH
UniRef90_A0A098TIF7	505.2	114.8	390.4	Ia	HIGH
UniRef90_A0A099KJB9	551.4	88.5	462.9	Ia	HIGH
UniRef90_A0A099P1E9	560.8	82.7	478.1	Ia	HIGH
UniRef90_A0A099P629	564.5	94.8	469.7	Ia	HIGH
UniRef90_A0A0A0BYN5	454.7	116.0	338.7	Ia	HIGH
UniRef90_A0A0A0SD46	552.5	100.0	452.5	Ia	HIGH
UniRef90_A0A0A0SY19	573.2	101.9	471.3	Ia	HIGH
UniRef90_A0A0A1FB14	477.6	80.8	396.8	Ia	HIGH
UniRef90_A0A0A1TGK1	566.0	92.5	473.5	Ia	HIGH
UniRef90_A0A0A1TKV8	565.9	78.0	487.9	Ia	HIGH
UniRef90_A0A0A2JLS6	421.4	67.8	353.6	Ia	HIGH
UniRef90_A0A0A2Y9S3	540.6	94.6	446.0	Ia	HIGH
UniRef90_A0A0A3ANQ7	553.0	113.7	439.3	Ia	HIGH
UniRef90_A0A0A3BBR9	530.8	91.2	439.6	Ia	HIGH
UniRef90_A0A0A3Z1N4	585.1	86.3	498.8	Ia	HIGH
UniRef90_A0A0A7I4S2	460.4	91.1	369.3	Ia	HIGH
UniRef90_A0A0A7I6Y1	458.7	97.1	361.6	Ia	HIGH
UniRef90_A0A0A7IAJ5	459.0	77.8	381.2	Ia	HIGH
UniRef90_A0A0A7RY06	546.5	94.1	452.4	Ia	HIGH
UniRef90_A0A0A8EA33	526.4	135.3	391.1	Ia	HIGH
UniRef90_A0A0B2AJY6	467.3	113.4	353.9	Ia	HIGH
UniRef90_A0A0B2D298	500.4	83.5	416.9	Ia	HIGH
UniRef90_A0A0B2X3Q5	557.9	83.9	474.0	Ia	HIGH
UniRef90_A0A0B2X8I1	552.9	81.5	471.4	Ia	HIGH
UniRef90_A0A0B3BLX6	436.1	62.8	373.3	Ia	HIGH
UniRef90_A0A0B4F0L2	566.4	87.5	478.9	Ia	HIGH
UniRef90_A0A0B4XPA7	498.1	78.3	419.8	Ia	HIGH
UniRef90_A0A0B4XQF8	461.6	70.3	391.3	Ia	HIGH
UniRef90_A0A0B5BGU9	531.8	94.6	437.2	Ia	HIGH
UniRef90_A0A0B5D6D4	496.0	184.6	311.4	Ia	HIGH
UniRef90_A0A0B5IW14	408.7	59.7	349.0	Ia	HIGH
UniRef90_A0A0B6CWG3	511.5	127.5	384.0	Ia	HIGH
UniRef90_A0A0B6RP49	557.2	124.8	432.4	Ia	HIGH
UniRef90_A0A0B6RPT9	465.1	72.1	393.0	Ia	HIGH
UniRef90_A0A0B6TS70	500.8	186.7	314.1	Ia	HIGH
UniRef90_A0A0B6VNZ7	426.5	62.7	363.8	Ia	HIGH
UniRef90_A0A0B7FW41	531.8	92.1	439.7	Ia	HIGH
UniRef90_A0A0B7IRV8	547.4	96.3	451.1	Ia	HIGH
UniRef90_A0A0B7NC50	413.7	71.8	341.9	Ia	HIGH
UniRef90_A0A0B7NFU6	542.2	95.0	447.2	Ia	HIGH
UniRef90_A0A0B7NQV5	545.6	96.0	449.6	Ia	HIGH
UniRef90_A0A0B8P4D7	575.1	90.6	484.5	Ia	HIGH
UniRef90_A0A0B8QKE4	473.0	82.6	390.4	Ia	HIGH
UniRef90_A0A0C1Y0T0	559.7	127.8	431.9	Ia	HIGH
UniRef90_A0A0C2BT70	490.9	78.6	412.3	Ia	HIGH
UniRef90_A0A0C2EAI2	509.7	101.9	407.8	Ia	HIGH
UniRef90_A0A0C2G3L9	512.1	117.6	394.5	Ia	HIGH
UniRef90_A0A0C2N943	564.9	102.6	462.3	Ia	HIGH
UniRef90_A0A0C2NPI0	540.2	103.3	436.9	Ia	HIGH
UniRef90_A0A0C2W198	525.4	100.2	425.2	Ia	HIGH
UniRef90_A0A0C2WGV6	524.8	70.5	454.3	Ia	HIGH
UniRef90_A0A0C2X129	538.3	105.6	432.7	Ia	HIGH
UniRef90_A0A0C2XJJ6	520.2	76.7	443.5	Ia	HIGH
UniRef90_A0A0C2XVN7	524.2	82.7	441.5	Ia	HIGH
UniRef90_A0A0C3ATX7	531.7	83.3	448.4	Ia	HIGH
UniRef90_A0A0C3DMJ3	426.6	54.7	371.9	Ia	HIGH
UniRef90_A0A0C3DPW1	522.4	77.3	445.1	Ia	HIGH
UniRef90_A0A0C3EET6	523.4	105.6	417.8	Ia	HIGH
UniRef90_A0A0C3FYN9	528.0	105.7	422.3	Ia	HIGH
UniRef90_A0A0C3H8H0	565.4	80.2	485.2	Ia	HIGH
UniRef90_A0A0C3K8R5	527.5	100.4	427.1	Ia	HIGH
UniRef90_A0A0C3NKU3	528.4	82.9	445.5	Ia	HIGH
UniRef90_A0A0C3PQM9	529.1	83.4	445.7	Ia	HIGH
UniRef90_A0A0C3Q385	534.9	82.1	452.8	Ia	HIGH
UniRef90_A0A0C3RVM4	524.4	90.8	433.6	Ia	HIGH
UniRef90_A0A0C4E1M4	565.2	84.2	481.0	Ia	HIGH
UniRef90_A0A0C4EZM8	504.2	79.6	424.6	Ia	HIGH
UniRef90_A0A0C5JMR0	544.4	104.0	440.4	Ia	HIGH
UniRef90_A0A0C5VKX8	502.0	81.0	421.0	Ia	HIGH
UniRef90_A0A0C5W7R3	549.6	87.7	461.9	Ia	HIGH
UniRef90_A0A0C5WFR1	570.1	101.3	468.8	Ia	HIGH
UniRef90_A0A0C5WMY6	552.3	99.9	452.4	Ia	HIGH
UniRef90_A0A0C7NEJ6	576.2	71.3	504.9	Ia	HIGH
UniRef90_A0A0C9UUX6	515.1	92.4	422.7	Ia	HIGH
UniRef90_A0A0C9VQ52	373.8	64.7	309.1	Ia	HIGH
UniRef90_A0A0C9WAX4	534.2	84.3	449.9	Ia	HIGH
UniRef90_A0A0C9WDS9	522.2	100.5	421.7	Ia	HIGH
UniRef90_A0A0C9YNJ7	518.1	87.0	431.1	Ia	HIGH
UniRef90_A0A0D0BM49	520.8	90.7	430.1	Ia	HIGH
UniRef90_A0A0D0E0Q4	523.4	97.0	426.4	Ia	HIGH
UniRef90_A0A0D0WXH0	478.5	96.6	381.9	Ia	HIGH
UniRef90_A0A0D1WT88	552.4	70.2	482.2	Ia	HIGH
UniRef90_A0A0D1XLK5	571.6	86.1	485.5	Ia	HIGH
UniRef90_A0A0D1YSQ5	567.2	90.5	476.7	Ia	HIGH
UniRef90_A0A0D1Z6G5	561.4	84.0	477.4	Ia	HIGH
UniRef90_A0A0D2AN34	568.0	89.2	478.8	Ia	HIGH
UniRef90_A0A0D2CM99	554.8	69.0	485.8	Ia	HIGH
UniRef90_A0A0D2GP96	551.1	67.9	483.2	Ia	HIGH
UniRef90_A0A0D2HF86	563.5	87.4	476.1	Ia	HIGH
UniRef90_A0A0D2HJE3	553.5	66.1	487.4	Ia	HIGH
UniRef90_A0A0D2NBE7	529.3	89.5	439.8	Ia	HIGH
UniRef90_A0A0D2P031	518.3	67.6	450.7	Ia	HIGH
UniRef90_A0A0D2TZL5	512.8	93.1	419.7	Ia	HIGH
UniRef90_A0A0D2X467	544.1	78.2	465.9	Ia	HIGH
UniRef90_A0A0D5XY02	442.1	71.9	370.2	Ia	HIGH
UniRef90_A0A0D6EJU1	479.6	70.0	409.6	Ia	HIGH
UniRef90_A0A0D6ERN3	514.1	75.3	438.8	Ia	HIGH
UniRef90_A0A0D6R4W0	557.6	76.4	481.2	Ia	HIGH
UniRef90_A0A0D7A671	528.1	91.2	436.9	Ia	HIGH
UniRef90_A0A0D7AB53	480.4	88.6	391.8	Ia	HIGH
UniRef90_A0A0D7BHZ3	519.3	83.8	435.5	Ia	HIGH
UniRef90_A0A0D7BM46	518.9	91.2	427.7	Ia	HIGH
UniRef90_A0A0D7K5N6	550.1	116.7	433.4	Ia	HIGH
UniRef90_A0A0D7K9G5	534.3	100.4	433.9	Ia	HIGH
UniRef90_A0A0D7UWP3	439.3	72.1	367.2	Ia	HIGH
UniRef90_A0A0D8ZS15	516.1	70.9	445.2	Ia	HIGH
UniRef90_A0A0D9NYF3	555.5	79.3	476.2	Ia	HIGH
UniRef90_A0A0E1NKU4	591.6	119.7	471.9	Ia	HIGH
UniRef90_A0A0E2XHH7	572.2	99.0	473.2	Ia	HIGH
UniRef90_A0A0E3UMQ7	531.9	109.5	422.4	Ia	HIGH
UniRef90_A0A0E7V2V5	490.5	97.9	392.6	Ia	HIGH
UniRef90_A0A0E9NB47	529.2	93.9	435.3	Ia	HIGH
UniRef90_A0A0E9NLZ2	565.6	78.3	487.3	Ia	HIGH
UniRef90_A0A0F4KXK9	462.9	96.5	366.4	Ia	HIGH
UniRef90_A0A0F4TXU6	440.2	63.7	376.5	Ia	HIGH
UniRef90_A0A0F4YE19	554.9	88.0	466.9	Ia	HIGH
UniRef90_A0A0F4YUF2	433.6	65.5	368.1	Ia	HIGH
UniRef90_A0A0F5EXE8	544.8	86.6	458.2	Ia	HIGH
UniRef90_A0A0F5FEK8	533.8	106.2	427.6	Ia	HIGH
UniRef90_A0A0F5FWS3	530.1	104.6	425.5	Ia	HIGH
UniRef90_A0A0F5JZN0	548.8	108.2	440.6	Ia	HIGH
UniRef90_A0A0F5LD82	536.3	104.7	431.6	Ia	HIGH
UniRef90_A0A0F5LWQ5	531.7	109.0	422.7	Ia	HIGH
UniRef90_A0A0F5Q8E4	526.9	109.1	417.8	Ia	HIGH
UniRef90_A0A0F5V8E4	546.7	97.0	449.7	Ia	HIGH
UniRef90_A0A0F5VAL5	557.6	98.0	459.6	Ia	HIGH
UniRef90_A0A0F5VJE2	483.5	78.1	405.4	Ia	HIGH
UniRef90_A0A0F6RC63	500.9	81.2	419.7	Ia	HIGH
UniRef90_A0A0F7JN43	445.7	65.5	380.2	Ia	HIGH
UniRef90_A0A0F7JVZ5	499.2	98.0	401.2	Ia	HIGH
UniRef90_A0A0F7K1V4	559.0	95.3	463.7	Ia	HIGH
UniRef90_A0A0F7LTC7	576.0	92.0	484.0	Ia	HIGH
UniRef90_A0A0F7S4U8	537.7	105.4	432.3	Ia	HIGH
UniRef90_A0A0F7SPP3	541.8	83.9	457.9	Ia	HIGH
UniRef90_A0A0F7SXN0	463.0	73.7	389.3	Ia	HIGH
UniRef90_A0A0F7VFC3	550.5	89.4	461.1	Ia	HIGH
UniRef90_A0A0F8BRN2	568.0	74.6	493.4	Ia	HIGH
UniRef90_A0A0F8DDQ1	561.5	89.2	472.3	Ia	HIGH
UniRef90_A0A0F8UW83	530.7	76.3	454.4	Ia	HIGH
UniRef90_A0A0F8XNF1	409.3	83.9	325.4	Ia	HIGH
UniRef90_A0A0F8ZLK0	374.3	57.3	317.0	Ia	HIGH
UniRef90_A0A0F9EE06	475.5	74.5	401.0	Ia	HIGH
UniRef90_A0A0F9NVB3	541.4	108.4	433.0	Ia	HIGH
UniRef90_A0A0F9P5Y8	387.1	65.6	321.5	Ia	HIGH
UniRef90_A0A0F9S822	540.2	105.3	434.9	Ia	HIGH
UniRef90_A0A0F9THG3	428.9	58.2	370.7	Ia	HIGH
UniRef90_A0A0F9W656	431.3	61.8	369.5	Ia	HIGH
UniRef90_A0A0F9WD77	461.9	85.3	376.6	Ia	HIGH
UniRef90_A0A0F9Y1B4	427.9	70.3	357.6	Ia	HIGH
UniRef90_A0A0G0Q3X4	326.8	54.6	272.2	Ia	HIGH
UniRef90_A0A0G2EP81	556.7	79.8	476.9	Ia	HIGH
UniRef90_A0A0G2FU03	556.6	77.5	479.1	Ia	HIGH
UniRef90_A0A0G2GIC0	569.3	76.8	492.5	Ia	HIGH
UniRef90_A0A0G2HKV1	513.7	119.1	394.6	Ia	HIGH
UniRef90_A0A0G2SSM2	388.9	58.8	330.1	Ia	HIGH
UniRef90_A0A0G3BD65	534.5	106.1	428.4	Ia	HIGH
UniRef90_A0A0G3BXV3	542.4	117.1	425.3	Ia	HIGH
UniRef90_A0A0G3ENE1	526.6	103.9	422.7	Ia	HIGH
UniRef90_A0A0G3ESW3	563.9	124.4	439.5	Ia	HIGH
UniRef90_A0A0G3FZ70	542.3	100.6	441.7	Ia	HIGH
UniRef90_A0A0G3GNM6	483.6	181.9	301.7	Ia	HIGH
UniRef90_A0A0G3H6E0	481.9	200.5	281.4	Ia	HIGH
UniRef90_A0A0G4EGN9	524.6	95.0	429.6	Ia	HIGH
UniRef90_A0A0G4EUU4	516.9	91.9	425.0	Ia	HIGH
UniRef90_A0A0G4FW50	522.2	88.9	433.3	Ia	HIGH
UniRef90_A0A0G4H956	384.6	85.9	298.7	Ia	HIGH
UniRef90_A0A0G4HXA7	509.4	96.5	412.9	Ia	HIGH
UniRef90_A0A0G4IK71	516.9	89.6	427.3	Ia	HIGH
UniRef90_A0A0G4JZ76	569.2	89.3	479.9	Ia	HIGH
UniRef90_A0A0G4KEL8	889.0	116.8	772.2	Ia	HIGH
UniRef90_A0A0G4KVV8	560.1	90.6	469.5	Ia	HIGH
UniRef90_A0A0G4KVX5	706.1	78.4	627.7	Ia	HIGH
UniRef90_A0A0G9H3C2	537.3	132.0	405.3	Ia	HIGH
UniRef90_A0A0H2RK16	530.7	97.7	433.0	Ia	HIGH
UniRef90_A0A0H2RQG8	520.4	75.6	444.8	Ia	HIGH
UniRef90_A0A0H2ZRX6	478.0	130.2	347.8	Ia	HIGH
UniRef90_A0A0H3CL83	551.9	76.4	475.5	Ia	HIGH
UniRef90_A0A0H3D0X4	488.6	105.1	383.5	Ia	HIGH
UniRef90_A0A0H3DSY3	503.2	79.5	423.7	Ia	HIGH
UniRef90_A0A0H3EE49	458.2	87.6	370.6	Ia	HIGH
UniRef90_A0A0H3ZM84	435.6	76.7	358.9	Ia	HIGH
UniRef90_A0A0H4I165	501.3	98.2	403.1	Ia	HIGH
UniRef90_A0A0H4I437	436.9	59.6	377.3	Ia	HIGH
UniRef90_A0A0H4NUE2	461.5	72.8	388.7	Ia	HIGH
UniRef90_A0A0H5BX18	494.5	98.1	396.4	Ia	HIGH
UniRef90_A0A0H5C1V8	550.8	86.7	464.1	Ia	HIGH
UniRef90_A0A0H5C9J1	567.4	89.3	478.1	Ia	HIGH
UniRef90_A0A0H5DNR2	398.7	55.5	343.2	Ia	HIGH
UniRef90_A0A0H5R657	510.7	91.2	419.5	Ia	HIGH
UniRef90_A0A0J0XN77	541.9	116.6	425.3	Ia	HIGH
UniRef90_A0A0J0YQ70	583.3	96.8	486.5	Ia	HIGH
UniRef90_A0A0J1ATL5	521.3	90.5	430.8	Ia	HIGH
UniRef90_A0A0J1GQZ6	571.3	94.1	477.2	Ia	HIGH
UniRef90_A0A0J1GVC2	573.1	93.3	479.8	Ia	HIGH
UniRef90_A0A0J1H659	551.0	96.6	454.4	Ia	HIGH
UniRef90_A0A0J1H7L3	492.4	77.0	415.4	Ia	HIGH
UniRef90_A0A0J1HA90	553.0	107.5	445.5	Ia	HIGH
UniRef90_A0A0J1JGH0	546.6	99.8	446.8	Ia	HIGH
UniRef90_A0A0J5P9C4	535.3	88.8	446.5	Ia	HIGH
UniRef90_A0A0J6C115	516.7	92.9	423.8	Ia	HIGH
UniRef90_A0A0J6GU34	452.8	60.0	392.8	Ia	HIGH
UniRef90_A0A0J6L368	453.1	56.3	396.8	Ia	HIGH
UniRef90_A0A0J6LE83	450.4	69.0	381.4	Ia	HIGH
UniRef90_A0A0J8GT11	533.1	95.3	437.8	Ia	HIGH
UniRef90_A0A0J8U4W2	357.8	58.7	299.1	Ia	HIGH
UniRef90_A0A0J8VKV6	591.2	87.3	503.9	Ia	HIGH
UniRef90_A0A0J9X880	564.3	77.1	487.2	Ia	HIGH
UniRef90_A0A0K0XBB2	479.1	126.8	352.3	Ia	HIGH
UniRef90_A0A0K1XD13	500.4	73.1	427.3	Ia	HIGH
UniRef90_A0A0K2GFW6	503.2	97.3	405.9	Ia	HIGH
UniRef90_A0A0K2H1A1	497.9	149.1	348.8	Ia	HIGH
UniRef90_A0A0K3A1N8	541.8	113.1	428.7	Ia	HIGH
UniRef90_A0A0K3CT97	512.7	86.3	426.4	Ia	HIGH
UniRef90_A0A0K6GWC9	576.0	117.6	458.4	Ia	HIGH
UniRef90_A0A0K6IPN5	575.8	115.7	460.1	Ia	HIGH
UniRef90_A0A0K6IWK6	471.5	91.6	379.9	Ia	HIGH
UniRef90_A0A0K8NXF6	545.7	111.6	434.1	Ia	HIGH
UniRef90_A0A0L0FJN4	517.0	97.4	419.6	Ia	HIGH
UniRef90_A0A0L0FNN3	521.8	97.5	424.3	Ia	HIGH
UniRef90_A0A0L0H5L0	566.6	85.7	480.9	Ia	HIGH
UniRef90_A0A0L0HMW3	533.0	88.1	444.9	Ia	HIGH
UniRef90_A0A0L0MHE0	532.0	101.9	430.1	Ia	HIGH
UniRef90_A0A0L0MYT0	558.2	94.9	463.3	Ia	HIGH
UniRef90_A0A0L0P7D4	439.8	56.9	382.9	Ia	HIGH
UniRef90_A0A0L0SIV2	535.4	109.7	425.7	Ia	HIGH
UniRef90_A0A0L0TC48	506.3	104.9	401.4	Ia	HIGH
UniRef90_A0A0L0UYA3	497.0	75.6	421.4	Ia	HIGH
