seq_id	length	cov_best	present_in_nr80	nr80_status	present_in_core	present_in_alignment	gap_fraction	ambiguity_fraction	gap_or_ambiguity_fraction	flag_class	recommended_action	notes
UniRef90_D7CP69	276	0.7874	true	direct_nr80_representative	true	true	0.5278	0.0000	0.5278			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_Q9YEJ7	270	0.7814	true	direct_nr80_representative	true	true	0.5355	0.0000	0.5355			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00069E3280	276	0.7275	true	direct_nr80_representative	true	true	0.5835	0.0000	0.5835			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI001D22BA6C	276	0.7365	true	direct_nr80_representative	true	true	0.5797	0.0000	0.5797			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_C8VZ18	273	0.7784	true	direct_nr80_representative	true	true	0.5413	0.0000	0.5413			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003B434C02	276	0.7275	true	direct_nr80_representative	true	true	0.5432	0.0000	0.5432			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0013E9EA03	276	0.7695	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00041CC834	276	0.7934	true	direct_nr80_representative	true	true	0.5336	0.0000	0.5336			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003D357FE3	276	0.7904	true	direct_nr80_representative	true	true	0.4894	0.0000	0.4894			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003D1E1CAC	276	0.7784	true	direct_nr80_representative	true	true	0.5029	0.0000	0.5029			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_I3DTV8	275	0.7844	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABS2N346	275	0.7844	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A371AYM9	275	0.7216	true	direct_nr80_representative	true	true	0.5278	0.0000	0.5278			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_K8E0E5	275	0.7754	true	direct_nr80_representative	true	true	0.5298	0.0000	0.5298			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0AA45HJE0	275	0.7725	true	direct_nr80_representative	true	true	0.5624	0.0000	0.5624			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1T4RUP9	275	0.7904	true	direct_nr80_representative	true	true	0.5202	0.0000	0.5202			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABV6YTX4	275	0.7425	true	direct_nr80_representative	true	true	0.4914	0.0000	0.4914			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A5S4ZV97	275	0.7784	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1B7LIM7	275	0.7874	true	direct_nr80_representative	true	true	0.5336	0.0000	0.5336			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1H9V3C5	275	0.7754	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A5Q2TRM0	275	0.7874	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A2S0L578	275	0.7904	true	direct_nr80_representative	true	true	0.5355	0.0000	0.5355			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_X0T2I3	275	0.7994	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0029C90D26	275	0.7695	true	direct_nr80_representative	true	true	0.5797	0.0000	0.5797			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0026F16738	275	0.7096	true	direct_nr80_representative	true	true	0.5048	0.0000	0.5048	hypothetical/uncharacterized	manual_review_before_final_tree	exact rescued set reconstructed from old/new Ib QC tables
UniRef90_E0E4N6	274	0.7246	true	direct_nr80_representative	true	true	0.5240	0.0000	0.5240			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI001F114E26	275	0.7904	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00195CC185	275	0.7814	true	direct_nr80_representative	true	true	0.4971	0.0000	0.4971			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00024975D1	275	0.7695	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI002D7F606E	275	0.7126	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003593E582	275	0.7126	false	absorbed_by_nr80_surrogate	false	false				hypothetical/uncharacterized	manual_review_before_final_tree	exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00082D9C59	275	0.7725	true	direct_nr80_representative	true	true	0.5010	0.0000	0.5010			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_C8W339	274	0.7844	true	direct_nr80_representative	true	true	0.5336	0.0000	0.5336			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABS2NNN4	274	0.7784	true	direct_nr80_representative	true	true	0.5854	0.0000	0.5854			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A414SBX0	274	0.7186	true	direct_nr80_representative	true	true	0.5336	0.0000	0.5336			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1I2QF27	274	0.7994	true	direct_nr80_representative	true	true	0.4875	0.0000	0.4875			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1M7L704	274	0.7814	true	direct_nr80_representative	true	true	0.5854	0.0000	0.5854			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A0F9UVL4	274	0.7934	true	direct_nr80_representative	true	true	0.5163	0.0000	0.5163			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00196046DF	274	0.7754	true	direct_nr80_representative	true	true	0.6123	0.0000	0.6123			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00061F66CC	272	0.7754	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00082EBAA0	274	0.7814	true	direct_nr80_representative	true	true	0.5202	0.0000	0.5202			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00101265DC	274	0.7096	true	direct_nr80_representative	true	true	0.5432	0.0000	0.5432			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0035B05A75	274	0.7365	true	direct_nr80_representative	true	true	0.5720	0.0000	0.5720			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A6J5PDE9	273	0.7066	true	direct_nr80_representative	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A0Q9YQW8	273	0.7305	true	direct_nr80_representative	true	true	0.5432	0.0000	0.5432			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A953IBS9	273	0.7126	true	direct_nr80_representative	true	true	0.5547	0.0000	0.5547			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A0E4GCI3	273	0.7784	true	direct_nr80_representative	true	true	0.5393	0.0000	0.5393			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_H3KDR7	273	0.7246	true	direct_nr80_representative	true	true	0.5413	0.0000	0.5413			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A2S6G0E4	273	0.7844	true	direct_nr80_representative	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABR6TLY3	273	0.7665	true	direct_nr80_representative	true	true	0.5086	0.0000	0.5086			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A6I6DGF5	273	0.7964	true	direct_nr80_representative	true	true	0.5067	0.0000	0.5067			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A2G6KAQ6	273	0.7844	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A498D287	273	0.7814	true	direct_nr80_representative	true	true	0.5202	0.0000	0.5202			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1G1YTP8	273	0.7844	true	direct_nr80_representative	true	true	0.5144	0.0000	0.5144			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_H2J2R6	273	0.7934	true	direct_nr80_representative	true	true	0.5086	0.0000	0.5086			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A317L7W7	273	0.7754	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABT1SBV1	273	0.7844	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABS4JT80	273	0.7216	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1I6CQR8	273	0.7814	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003464E1BA	273	0.7216	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00332E787E	273	0.7665	true	direct_nr80_representative	true	true	0.5298	0.0000	0.5298			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0031E55CE3	273	0.7754	true	direct_nr80_representative	true	true	0.5528	0.0000	0.5528			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0039B99224	273	0.7964	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00189DB5FA	273	0.7814	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A6N7WZF2	268	0.7575	true	direct_nr80_representative	true	true	0.5163	0.0000	0.5163			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI001C0D11E3	273	0.7784	true	direct_nr80_representative	true	true	0.5259	0.0000	0.5259			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003D79A8FA	273	0.7096	true	direct_nr80_representative	true	true	0.5432	0.0000	0.5432			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0003708EDF	273	0.7874	true	direct_nr80_representative	true	true	0.5259	0.0000	0.5259			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00404B9D80	273	0.7874	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A0P0N276	272	0.7335	true	direct_nr80_representative	true	true	0.5144	0.0000	0.5144			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A938YTR8	272	0.7874	true	direct_nr80_representative	true	true	0.5336	0.0000	0.5336			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A0V8RWQ9	272	0.7545	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A3M8QZB6	272	0.7036	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A2P5PA89	272	0.7695	true	direct_nr80_representative	true	true	0.5029	0.0000	0.5029			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A9J6PAI8	272	0.7395	true	direct_nr80_representative	true	true	0.5489	0.0000	0.5489			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A0M9UCR8	272	0.7395	true	direct_nr80_representative	true	true	0.5182	0.0000	0.5182			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A927ZJR6	268	0.7754	true	direct_nr80_representative	true	true	0.5317	0.0000	0.5317			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A8J6MZ64	272	0.7455	true	direct_nr80_representative	true	true	0.5432	0.0000	0.5432			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_K4LIZ0	272	0.7964	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A415E0L1	272	0.7725	true	direct_nr80_representative	true	true	0.5739	0.0000	0.5739			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1H3QUI8	272	0.7515	true	direct_nr80_representative	true	true	0.5298	0.0000	0.5298			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1M4XFV7	272	0.7844	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A9E7IWA9	272	0.7844	true	direct_nr80_representative	true	true	0.5259	0.0000	0.5259			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_D9QSE0	272	0.7665	true	direct_nr80_representative	true	true	0.5240	0.0000	0.5240			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0001F55049	272	0.7964	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI001F55847F	272	0.7246	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00268C908D	272	0.7754	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00195F4CD2	272	0.7695	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0008DA6859	272	0.7605	true	direct_nr80_representative	true	true	0.5202	0.0000	0.5202			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI002555FC48	272	0.7545	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_Q0B001	270	0.7725	true	direct_nr80_representative	true	true	0.4933	0.0000	0.4933			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00295B25BF	272	0.7216	true	direct_nr80_representative	true	true	0.5278	0.0000	0.5278			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003556FB61	272	0.7635	true	direct_nr80_representative	true	true	0.5221	0.0000	0.5221			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0004B25499	272	0.7754	true	direct_nr80_representative	true	true	0.5202	0.0000	0.5202			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0008208F9B	272	0.7725	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI000E80B92D	272	0.7874	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00092DFB5C	272	0.7665	true	direct_nr80_representative	true	true	0.5336	0.0000	0.5336			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A8T4L799	271	0.7754	true	direct_nr80_representative	true	true	0.5355	0.0000	0.5355			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABW8T2E9	271	0.7665	true	direct_nr80_representative	true	true	0.5873	0.0000	0.5873			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A9D5JX10	271	0.7754	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABU0JRV4	271	0.7665	true	direct_nr80_representative	true	true	0.5221	0.0000	0.5221			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1G9RP79	271	0.7754	true	direct_nr80_representative	true	true	0.5259	0.0000	0.5259			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABT1NAJ8	271	0.7455	true	direct_nr80_representative	true	true	0.5317	0.0000	0.5317			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A942ZAE8	271	0.7605	true	direct_nr80_representative	true	true	0.5240	0.0000	0.5240			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1Q8QSH8	271	0.7754	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1M4YED5	271	0.7784	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_R1AX99	271	0.7635	true	direct_nr80_representative	true	true	0.5259	0.0000	0.5259			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A419TA45	271	0.7814	true	direct_nr80_representative	true	true	0.5125	0.0000	0.5125			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_G7WAM1	271	0.7784	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A7R6PNY5	271	0.7635	true	direct_nr80_representative	true	true	0.5125	0.0000	0.5125			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A081C9H9	271	0.7784	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_D9QS83	271	0.7784	true	direct_nr80_representative	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A532V300	271	0.7365	true	direct_nr80_representative	true	true	0.5221	0.0000	0.5221			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_X0RMM2	271	0.7904	true	direct_nr80_representative	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A3B0V708	271	0.7605	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A644URZ5	271	0.7934	true	direct_nr80_representative	true	true	0.5624	0.0000	0.5624			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00236026E8	271	0.7096	true	direct_nr80_representative	true	true	0.5701	0.0000	0.5701			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00200A0876	271	0.7605	true	direct_nr80_representative	true	true	0.5240	0.0000	0.5240			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0010121B6C	271	0.7784	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0006BB78B8	271	0.7695	true	direct_nr80_representative	true	true	0.5106	0.0000	0.5106			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0006E3534A	271	0.7335	true	direct_nr80_representative	true	true	0.5777	0.0000	0.5777			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A401UH99	268	0.7814	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
