metric_id	value	unit	source_file	phase	status	updated_on	note
tree_MFP_model	Q.PFAM+F+R10	model	results/04_phylogeny_asr/CoreTree_rooted_MFP.iqtree	P4.1	final	2026-03-18	Best-fit model by BIC (S1)
tree_MFP_logL	-2835379.61	logL	results/04_phylogeny_asr/CoreTree_rooted_MFP.iqtree	P4.1	final	2026-03-18	Tree log-likelihood (S1 MFP)
tree_MFP_ufboot	1000	reps	results/04_phylogeny_asr/CoreTree_rooted_MFP.iqtree	P4.1	final	2026-03-18	UFBoot replicates
tree_LGC20_model	LG+C20+F+G	model	results/04_phylogeny_asr/CoreTree_rooted_LGC20.treefile	P4.1	final	2026-04-08	Best-fit model (S2); completed 2026-04-05
tree_LGC20_logL	-2820118.09	logL	results/04_phylogeny_asr/CoreTree_rooted_LGC20.iqtree	P4.1	final	2026-04-08	Final tree LogL (S2 LGC20)
ingroup_tree_tips	9393	tips	results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile	P4.3	final	2026-03-18	After pruning 12 KDOPS
asr_core_S1_model	Q.PFAM+F+R10	model	results/04_phylogeny_asr/ASR_core.iqtree	P4.3	final	2026-03-18	ASR on working tree S1
asr_core_S1_logL	-2904285.44	logL	results/04_phylogeny_asr/ASR_core.iqtree	P4.3	final	2026-03-18	ASR tree log-likelihood
skeleton_AA_model	Q.PFAM+I+R4	model	results/04_phylogeny_asr/SkeletonTree_AA.iqtree	P4.2	final	2026-03-19	Skeleton AA tree best-fit model
skeleton_AA_logL	-24492.82	logL	results/04_phylogeny_asr/SkeletonTree_AA.iqtree	P4.2	final	2026-03-19	Skeleton AA tree log-likelihood
skeleton_3Di_model	Q.3Di.AF+G4	model	results/04_phylogeny_asr/SkeletonTree_3Di_Q3Di.iqtree	P4.2	final	2026-03-19	Skeleton 3Di tree model (explicit; MFP skips Q.3Di due to IQ-TREE case bug)
skeleton_3Di_logL	-16939.94	logL	results/04_phylogeny_asr/SkeletonTree_3Di_Q3Di.iqtree	P4.2	final	2026-03-19	Skeleton 3Di tree log-likelihood
tree_comparison_nRF	0.7442	ratio	results/04_phylogeny_asr/tree_comparison.tsv	P4.2	final	2026-03-19	Normalized RF distance AA vs 3Di (high but expected)
tree_comparison_shared_bip	11	count	results/04_phylogeny_asr/tree_comparison.tsv	P4.2	final	2026-03-19	Shared bipartitions (of 43 each)
tree_comparison_verdict	QC3-ORTHOGONAL	status	results/04_phylogeny_asr/tree_comparison.md	P4.2	final	2026-03-19	AA vs 3Di remains an orthogonal evidence stream, not the sole QC3 gate
qc3_verdict	HOLD	status	results/04_phylogeny_asr/QC3_root_stability.md	QC3	provisional	2026-04-10	V6.1 multidimensional QC3 supersedes older YELLOW verdict
qc3_root_stability	HOLD	status	results/04_phylogeny_asr/QC3_root_stability.md	QC3	provisional	2026-04-10	Topology/model sensitivity, root tie, and annotation calibration remain unresolved
qc3_s1_s2_nRF	0.413	ratio	results/04_phylogeny_asr/QC3_root_stability.md	QC3	final	2026-04-08	RF between S1 MFP and S2 LGC20 ingroup trees
qc3_s1_s3_nRF	0.003	ratio	results/04_phylogeny_asr/QC3_root_stability.md	QC3	final	2026-04-08	RF between S1 MFP and S3 midpoint — nearly identical
qc3_s3_s4_nRF	0.000	ratio	results/04_phylogeny_asr/QC3_root_stability.md	QC3	provisional	2026-04-10	Legacy S3 vs undivided S4 entry retained for continuity; superseded by S4A/S4B split
s4a_top500_rho	0.163617	ratio	results/04_phylogeny_asr/CoreTree_rooted_S4a_top500.summary.txt	P4.0	provisional	2026-04-10	Top-500 reroot proxy rho
s4b_fullsearch_rho	0.163617	ratio	results/04_phylogeny_asr/CoreTree_rooted_S4b_fullsearch.summary.txt	P4.0	provisional	2026-04-10	Full-search reroot proxy rho
s4_rho_tie_count	2	count	results/04_phylogeny_asr/root_scenarios.tsv	P4.0	provisional	2026-04-10	S4A and S4B share the same rho but not the same root identity
artifact_manifest_rows	26	rows	results/04_phylogeny_asr/artifact_manifest.tsv	P4.0	interim	2026-04-29	S1-S4 plus KDOPS11/O66496 post-hoc repair artifacts
qc3_provenance_status	PASS	status	results/04_phylogeny_asr/QC3_root_stability.md	QC3	provisional	2026-04-10	All current formal/provisional scenarios have synchronized artifact triads
qc3_topology_status	HOLD	status	results/04_phylogeny_asr/QC3_root_stability.md	QC3	provisional	2026-04-10	S1 vs S2 topology/model sensitivity remains substantial
qc3_root_identity_status	HOLD	status	results/04_phylogeny_asr/QC3_root_stability.md	QC3	provisional	2026-04-10	S4A and S4B form a same-rho different-root tie
qc3_annotation_status	HOLD	status	results/04_phylogeny_asr/QC3_root_stability.md	QC3	provisional	2026-04-10	Orthogonal feature encoding exists but 35-panel calibration is still pending review
panel35_calibration_rows	35	rows	results/03_msa_modules/panel35_feature_calibration.tsv	P4.6	final	2026-04-10	30 AFDB representatives plus 5 PDB anchors
panel35_calibration_reviewed	0	rows	results/03_msa_modules/panel35_feature_calibration.tsv	P4.6	provisional	2026-04-10	No manual structural review completed yet
phase5_gate_status	HOLD	status	results/04_phylogeny_asr/node_selection_registry.tsv	P5.1	provisional	2026-04-10	S2 ASR and multidimensional QC3 are incomplete
dca_meff_L	NA	ratio	NA	P6.1	pending	2026-03-18	Not yet computed
kdops11_outgroup_seqs	11	seqs	results/04_phylogeny_asr/core_with_outgroup_KDOPS11_noO66496.afa	P4.1	interim	2026-04-29	KDOPS outgroup count after excluding KDOPS_O66496
core_with_outgroup_kdops11_seqs	9404	seqs	results/04_phylogeny_asr/core_with_outgroup_KDOPS11_noO66496.afa	P4.1	interim	2026-04-29	9393 ingroup + 11 KDOPS; columns unchanged from core_with_outgroup.afa
s1_posthoc_noO66496_nRF	0.000000	ratio	results/04_phylogeny_asr/S1_legacy12_vs_posthoc_noO66496_ingroup_comparison.tsv	P4.1	interim	2026-04-29	Legacy S1 ingroup vs post-hoc noO66496 ingroup comparison
s2_posthoc_noO66496_nRF	0.000000	ratio	results/04_phylogeny_asr/S2_legacy12_vs_posthoc_noO66496_ingroup_comparison.tsv	P4.1	interim	2026-04-29	Legacy S2 ingroup vs post-hoc noO66496 ingroup comparison
pdb_anchor_protein_groups	3	groups	results/03_msa_modules/pdb_anchor_registry.tsv	P4.6	interim	2026-04-29	Protein-level PDB anchor groups: PDB-1KFL, PDB-1RZM, O53512_AROG_MYCTU
pdb_o53512_state_variants	3	entries	results/03_msa_modules/pdb_anchor_registry.tsv	P4.6	interim	2026-04-29	2B7O, 3NV8, and 5CKV are O53512 AroG state variants, not independent proteins
