seq_id	seq_len	core_start	core_end	hmm_from	hmm_to	coverage	n_hits	n_env_segments	stitched_flag	core_residues
UniRef90_G4T5B4	431	66	430	16	513	0.9559	1	1	N	365
UniRef90_A0A813ZE00	431	66	431	28	507	0.9213	1	1	N	366
UniRef90_A0AA40BX07	430	59	421	27	509	0.9271	1	1	N	363
UniRef90_A0A087ECF0	430	75	430	23	507	0.9309	1	1	N	356
UniRef90_A0A087BTF7	430	64	429	24	512	0.9386	1	1	N	366
UniRef90_A0ABW8N4D1	430	15	318	17	437	0.8081	1	1	N	304
UniRef90_UPI00044077F1	430	39	414	11	508	0.9559	1	1	N	376
UniRef90_A0A1E3Q375	428	6	396	20	511	0.9443	2	1	Y	391
UniRef90_A0A4Y9Z858	429	4	395	19	511	0.9463	2	2	Y	381
UniRef90_A0A1B7NA63	429	5	376	20	513	0.9482	1	1	N	372
UniRef90_A0AA41QGQ3	429	23	389	17	509	0.9463	1	1	N	367
UniRef90_A0ABX0DDS4	428	50	427	11	507	0.9539	1	1	N	378
UniRef90_A0A138ZWQ9	427	64	427	19	510	0.9443	1	1	N	364
UniRef90_A0A0C9YNJ7	426	11	382	14	510	0.9539	1	1	N	372
UniRef90_F2BAF5	426	78	426	19	504	0.9328	1	1	N	349
UniRef90_U5E8U8	426	4	371	18	514	0.9539	1	1	N	368
UniRef90_UPI003689F542	426	47	401	26	508	0.9271	1	1	N	355
UniRef90_UPI0003621A3E	426	63	426	23	508	0.9328	1	1	N	364
UniRef90_A0A0L0TC48	425	50	422	21	512	0.9443	1	1	N	373
UniRef90_B8DVX4	415	55	415	23	507	0.9309	1	1	N	361
UniRef90_UPI0023F8E677	425	63	425	23	507	0.9309	1	1	N	363
UniRef90_A0A5C3MS71	424	40	407	17	510	0.9482	1	1	N	368
UniRef90_A0A6G8PV92	424	66	424	14	508	0.9501	1	1	N	359
UniRef90_A0A5M9ZZV5	424	63	424	22	507	0.9328	1	1	N	362
UniRef90_A0A0P9ZPN8	424	61	423	17	504	0.9367	1	1	N	363
UniRef90_A0A0C2XVN7	423	31	404	14	509	0.9520	1	1	N	374
UniRef90_A0A4Y9ZD98	423	52	412	23	509	0.9347	1	1	N	361
UniRef90_A0A2P7YLJ4	423	6	367	19	505	0.9347	1	1	N	362
UniRef90_A0A9Q3GH55	423	52	423	15	513	0.9578	1	1	N	372
UniRef90_A0A087AGB1	423	61	423	23	507	0.9309	1	1	N	363
UniRef90_A0ABP6PGQ7	423	64	416	32	508	0.9155	1	1	N	353
UniRef90_A0A433MVR6	423	3	370	26	509	0.9290	1	1	N	368
UniRef90_UPI001C9731D2	423	62	420	32	510	0.9194	1	1	N	359
UniRef90_A0A8H5H419	422	35	409	14	510	0.9539	1	1	N	375
UniRef90_A0A066WIB7	422	7	376	20	514	0.9501	1	1	N	370
UniRef90_A0A316V189	422	4	372	17	510	0.9482	1	1	N	369
UniRef90_A0A4R1BSC7	352	1	352	20	508	0.9386	1	1	N	352
UniRef90_UPI0024B9BB47	422	42	420	17	508	0.9443	1	1	N	379
UniRef90_A0A316YQE4	421	8	374	19	512	0.9482	1	1	N	367
UniRef90_A0A316V5L8	421	7	379	19	516	0.9559	1	1	N	373
UniRef90_C4JD73	421	57	421	25	507	0.9271	1	1	N	365
UniRef90_A2S579	421	56	420	18	508	0.9424	1	1	N	365
UniRef90_A0A8H4UU39	420	61	419	26	507	0.9251	1	1	N	359
UniRef90_A0A9P7YH90	420	50	412	21	508	0.9367	1	1	N	363
UniRef90_A0A511KAZ8	420	5	389	15	511	0.9539	1	1	N	385
UniRef90_A0A0D6R4W0	420	6	368	21	513	0.9463	1	1	N	363
UniRef90_A0A8J4AE96	420	30	388	48	515	0.8983	1	1	N	359
UniRef90_A0A3E2C4N5	420	64	420	24	507	0.9290	1	1	N	357
UniRef90_A0A0Q0D0W0	419	68	419	29	504	0.9136	1	1	N	352
UniRef90_A0A366H345	419	57	419	15	509	0.9501	1	1	N	363
UniRef90_UPI000DEBFB9E	419	70	418	32	507	0.9136	1	1	N	349
UniRef90_A0A4R0QZ43	409	38	408	20	508	0.9386	1	1	N	371
UniRef90_A0A3D9V423	418	53	418	19	510	0.9443	1	1	N	366
UniRef90_A0A087VVP6	416	63	416	25	507	0.9271	1	1	N	354
UniRef90_A0A316W5B2	417	9	376	19	510	0.9443	1	1	N	368
UniRef90_A0ABR4MZW2	417	55	417	18	510	0.9463	1	1	N	363
UniRef90_A0A4S4LCZ3	417	35	405	16	513	0.9559	1	1	N	371
UniRef90_A0A087AY84	417	52	417	22	507	0.9328	1	1	N	366
UniRef90_A0A348HGD5	417	62	415	24	504	0.9232	1	1	N	354
UniRef90_A0A9P3B7I7	416	60	415	31	507	0.9155	1	1	N	356
UniRef90_A0A0M9EYR8	416	56	416	19	509	0.9424	1	1	N	361
UniRef90_A0A292Q070	416	38	413	18	509	0.9443	1	1	N	376
UniRef90_A0A502LA71	416	47	409	22	509	0.9367	1	1	N	363
UniRef90_A0ABU8ZLM0	415	60	415	24	505	0.9251	1	1	N	356
UniRef90_A0AA37WKS9	415	34	396	28	511	0.9290	1	1	N	363
UniRef90_UPI0028DCED88	415	54	414	23	507	0.9309	1	1	N	361
UniRef90_UPI001ABCE146	415	7	366	50	509	0.8829	1	1	N	360
UniRef90_UPI0033F6AFC8	415	52	410	27	507	0.9232	1	1	N	359
UniRef90_UPI0026491CFB	415	49	414	15	508	0.9482	1	1	N	366
UniRef90_A0A0L0SIV2	414	51	413	19	509	0.9424	1	1	N	363
UniRef90_A0A1C7MEY8	414	40	406	34	509	0.9136	1	1	N	367
UniRef90_A0A292PXB1	414	41	411	26	508	0.9271	1	1	N	371
UniRef90_A0A8H6U1N4	414	34	399	14	509	0.9520	1	1	N	366
UniRef90_Q7MNL4	414	54	412	19	503	0.9309	1	1	N	359
UniRef90_A0A6L9VZ57	414	57	414	30	508	0.9194	1	1	N	358
UniRef90_UPI00371AA815	414	12	375	19	508	0.9405	1	1	N	364
UniRef90_G4TQP6	413	46	413	22	511	0.9405	1	1	N	368
UniRef90_A0A401GY40	413	37	405	17	511	0.9501	1	1	N	369
UniRef90_A0A316ZB12	413	10	376	19	509	0.9424	1	1	N	367
UniRef90_A0A3N4Z8K8	413	36	399	25	508	0.9290	1	1	N	364
UniRef90_A0A5J6N2X5	371	3	362	17	511	0.9501	1	1	N	360
UniRef90_UPI0030188C31	413	27	410	8	508	0.9616	1	1	N	384
UniRef90_A0A318M4Q4	406	51	406	24	508	0.9309	1	1	N	356
UniRef90_A0ACC0U160	412	42	409	16	508	0.9463	1	1	N	368
UniRef90_A0AAV0ATW0	412	29	386	25	512	0.9367	1	1	N	358
UniRef90_A0A450W8W1	412	53	412	15	508	0.9482	1	1	N	360
UniRef90_A0A101M8A9	411	52	411	21	511	0.9424	1	1	N	360
UniRef90_C5DE97	410	38	410	11	509	0.9578	1	1	N	373
UniRef90_A0A7Y0ESA5	409	47	409	26	507	0.9251	1	1	N	363
UniRef90_A0A6I5MZP3	410	44	409	22	507	0.9328	1	1	N	366
UniRef90_UPI00316D3994	410	9	379	18	509	0.9443	1	1	N	371
UniRef90_UPI0034CF24D1	410	3	382	19	511	0.9463	1	1	N	380
UniRef90_A0A4P9X961	409	15	407	18	510	0.9463	1	1	N	393
UniRef90_A0ACD3AX12	409	37	404	17	514	0.9559	1	1	N	368
UniRef90_A0A0D2X467	409	43	409	16	508	0.9463	1	1	N	367
UniRef90_A0A366K787	409	48	409	23	508	0.9328	1	1	N	362
UniRef90_UPI0010C0FC50	409	61	408	32	507	0.9136	1	1	N	348
UniRef90_UPI00190470D3	409	3	372	21	510	0.9405	1	1	N	370
UniRef90_A0AAN6V2P1	408	4	358	50	508	0.8810	1	1	N	355
UniRef90_A0AAW0G6Q6	408	30	400	15	514	0.9597	1	1	N	371
UniRef90_A0A9W9AEP5	408	35	400	18	508	0.9424	1	1	N	366
UniRef90_A0AAV0ANL5	408	23	391	20	514	0.9501	1	1	N	369
UniRef90_A0A8K0XKW4	408	7	386	11	508	0.9559	1	1	N	380
UniRef90_A0ACD0P750	408	8	375	20	510	0.9424	1	1	N	368
UniRef90_A0AA36MU28	408	40	407	28	512	0.9309	1	1	N	368
UniRef90_A0A2N8ZF54	408	45	405	20	503	0.9290	1	1	N	361
UniRef90_A0A263D8V7	408	46	408	16	507	0.9443	1	1	N	363
UniRef90_UPI001CCC7BE9	408	60	408	24	507	0.9290	1	1	N	349
UniRef90_A0A9P6AMZ9	407	3	373	20	514	0.9501	1	1	N	371
UniRef90_A0AA39UDY5	395	19	386	16	510	0.9501	1	1	N	368
UniRef90_A0ABR2UFL5	407	7	308	32	452	0.8081	1	1	N	302
UniRef90_A0A316YD25	407	38	406	19	510	0.9443	1	1	N	369
UniRef90_A0A812Q7V8	407	34	401	26	513	0.9367	1	1	N	368
UniRef90_A0ABW0FHU7	396	16	394	14	508	0.9501	1	1	N	379
UniRef90_A0A9P6HE15	390	14	382	17	509	0.9463	1	1	N	369
UniRef90_A0A8H5FXM6	406	35	406	17	511	0.9501	1	1	N	372
UniRef90_A0A5C3P2Z8	406	34	404	19	512	0.9482	1	1	N	371
UniRef90_A0A9P7G3P4	406	11	406	16	500	0.9309	1	1	N	396
UniRef90_A0A0A1FB14	406	42	396	25	505	0.9232	1	1	N	355
UniRef90_A0A087EBR5	399	37	398	23	507	0.9309	1	1	N	362
UniRef90_A0A1G4YQL9	406	55	406	21	507	0.9347	1	1	N	352
UniRef90_A0A0G0JHR0	406	71	404	33	504	0.9060	1	1	N	334
UniRef90_A0A0M9VPL4	405	7	379	18	509	0.9443	1	1	N	373
UniRef90_A0A0H2RK16	405	6	373	20	513	0.9482	1	1	N	368
UniRef90_A0A8H6CEP9	399	10	370	24	513	0.9405	1	1	N	361
UniRef90_A0A086ZE72	405	37	405	23	508	0.9328	1	1	N	369
UniRef90_A0A0C3ATX7	404	39	404	18	514	0.9539	1	1	N	366
UniRef90_A0A3M7DTT8	404	30	399	18	512	0.9501	1	1	N	370
UniRef90_A0A6A1LJP9	404	33	404	22	508	0.9347	1	1	N	372
UniRef90_A0A0C3PQM9	404	33	403	17	513	0.9539	1	1	N	371
UniRef90_A0A0G4FW50	404	24	404	21	508	0.9367	1	1	N	381
UniRef90_A0A7S0ADZ5	404	31	392	30	508	0.9194	1	1	N	362
UniRef90_A0ACC0VIJ2	404	32	404	15	514	0.9597	1	1	N	373
UniRef90_A0AAF0F770	403	6	377	19	513	0.9501	1	1	N	372
UniRef90_A0A1M2V1W8	403	13	403	13	510	0.9559	2	2	Y	386
UniRef90_A0AAF0IQZ1	403	7	379	17	513	0.9539	1	1	N	373
UniRef90_A0AAF0EZ38	403	6	376	19	509	0.9424	1	1	N	371
UniRef90_A0A4V6T5J7	403	30	402	17	508	0.9443	1	1	N	373
UniRef90_A0A066VGE3	403	43	403	18	508	0.9424	1	1	N	361
UniRef90_A0AA43TSX5	403	39	401	22	508	0.9347	1	1	N	363
UniRef90_UPI0032D8DE05	403	42	403	19	508	0.9405	1	1	N	362
UniRef90_A0A8H7EZ21	402	32	402	20	514	0.9501	1	1	N	371
UniRef90_G7E8Q7	402	8	379	18	511	0.9482	1	1	N	372
UniRef90_A0ACC3NWY2	402	3	388	20	511	0.9443	1	1	N	386
UniRef90_A0A517R5A0	402	42	401	14	504	0.9424	1	1	N	360
UniRef90_A0ABT1JNX9	402	40	399	19	507	0.9386	1	1	N	360
UniRef90_E6PWI1	402	38	402	14	508	0.9501	1	1	N	365
UniRef90_A0A2N1JF37	371	2	340	49	508	0.8829	1	1	N	339
UniRef90_A0A9P6JMV7	401	16	377	17	508	0.9443	1	1	N	362
UniRef90_A0A409YIM0	401	11	387	14	509	0.9520	1	1	N	377
UniRef90_A0A0C2WGV6	401	17	387	17	510	0.9482	1	1	N	371
UniRef90_B6QWH4	401	3	374	28	511	0.9290	1	1	N	372
UniRef90_A0A067Q5Z3	401	4	371	21	509	0.9386	1	1	N	368
UniRef90_A0A0G4EGN9	401	20	401	19	512	0.9482	1	1	N	382
UniRef90_A0ABM8BE86	401	40	401	23	511	0.9386	1	1	N	362
UniRef90_UPI00397FA3DF	401	48	401	26	504	0.9194	1	1	N	354
UniRef90_A0A067MH88	400	6	378	15	511	0.9539	1	1	N	373
UniRef90_A0A8H3FZ91	400	36	397	24	508	0.9309	1	1	N	362
UniRef90_A0A1Y1XCT5	400	13	386	21	515	0.9501	1	1	N	374
UniRef90_A0A1V8TBW4	400	17	394	14	511	0.9559	1	1	N	378
UniRef90_A0A9N8VHG4	400	7	400	19	512	0.9482	1	1	N	394
UniRef90_A0A2N7VBG7	376	6	364	23	509	0.9347	1	1	N	359
UniRef90_A0AA37S8Q9	400	35	400	27	503	0.9155	1	1	N	366
UniRef90_A0ABS1LLY6	393	30	393	16	508	0.9463	1	1	N	364
UniRef90_A0A971CY33	400	41	400	22	507	0.9328	1	1	N	360
UniRef90_A0A8J4AAE3	382	2	352	50	514	0.8925	1	1	N	351
UniRef90_A0A928V3Q0	359	3	357	27	508	0.9251	1	1	N	355
UniRef90_A0A507DSU7	399	23	399	19	516	0.9559	1	1	N	377
UniRef90_A0A1Q3EF29	399	42	399	23	512	0.9405	1	1	N	358
UniRef90_A0A8H5MD37	399	27	399	20	515	0.9520	1	1	N	373
UniRef90_A0A4Y8MP18	399	34	392	30	508	0.9194	1	1	N	359
UniRef90_A0A3P5WZZ3	399	12	387	15	509	0.9501	1	1	N	376
UniRef90_UPI0022FDE365	399	34	399	17	508	0.9443	1	1	N	366
UniRef90_UPI002B21383A	399	2	370	17	505	0.9386	1	1	N	369
UniRef90_UPI0022FE98BE	399	19	389	18	511	0.9482	1	1	N	371
UniRef90_UPI0034D01617	399	4	384	17	513	0.9539	1	1	N	381
UniRef90_UPI00221F57E9	399	31	399	17	508	0.9443	1	1	N	369
UniRef90_A0ABV6PYB6	379	8	378	16	508	0.9463	1	1	N	371
UniRef90_A0AAV5A7A2	398	15	386	20	508	0.9386	1	1	N	372
UniRef90_E3KLT7	388	26	371	86	507	0.8100	1	1	N	346
UniRef90_A0AAF1BQI8	375	5	374	20	511	0.9443	1	1	N	370
UniRef90_A0A4Q1BVR2	398	3	376	16	512	0.9539	1	1	N	374
UniRef90_A0A167SDN7	398	3	371	19	511	0.9463	1	1	N	369
UniRef90_A0A3G8ZNK1	398	23	395	19	509	0.9424	1	1	N	373
UniRef90_A0A975B9U6	398	49	398	26	504	0.9194	1	1	N	350
UniRef90_A0A840NJC5	398	44	394	27	508	0.9251	1	1	N	351
UniRef90_A0A975J041	398	36	398	18	511	0.9482	1	1	N	363
UniRef90_A0A2U7UDK3	398	25	397	45	507	0.8887	1	1	N	373
UniRef90_A0A831RVF1	352	2	352	21	508	0.9367	1	1	N	351
UniRef90_A0AAF0J247	397	3	368	19	509	0.9424	1	1	N	366
UniRef90_A0A1J7J719	397	26	396	15	509	0.9501	1	1	N	371
UniRef90_A0A5C3Q4R1	397	11	378	17	510	0.9482	1	1	N	368
UniRef90_A0A163PR94	397	32	397	11	507	0.9539	1	1	N	366
UniRef90_A0ABY3W8C6	397	29	396	21	507	0.9347	1	1	N	368
UniRef90_U4KX81	396	24	393	22	510	0.9386	1	1	N	370
UniRef90_A0AAF0JFP5	396	3	369	21	512	0.9443	1	1	N	367
UniRef90_A0A2T9YRM6	396	15	396	9	509	0.9616	1	1	N	382
UniRef90_A0A8H6TQ72	380	10	367	13	509	0.9539	1	1	N	358
UniRef90_A0A9W4JGH3	396	14	396	17	511	0.9501	1	1	N	383
UniRef90_A0A4Y7QIY5	396	18	395	13	509	0.9539	1	1	N	378
UniRef90_A0A1Y2HLL2	396	26	395	21	509	0.9386	1	1	N	370
UniRef90_A0A0G4HXA7	396	16	395	21	507	0.9347	1	1	N	380
UniRef90_A0A7S2KAV3	396	20	349	18	465	0.8599	1	1	N	330
UniRef90_A0A261G8S2	396	34	396	23	507	0.9309	1	1	N	363
UniRef90_A0A4P6DZZ4	396	31	396	22	507	0.9328	1	1	N	366
UniRef90_A0A143WMH3	396	45	395	49	513	0.8925	1	1	N	351
UniRef90_UPI000E56B39E	396	6	396	20	508	0.9386	1	1	N	391
UniRef90_F4NXT9	395	28	393	20	511	0.9443	1	1	N	366
UniRef90_A0A3G2SCK5	395	3	369	19	509	0.9424	1	1	N	367
UniRef90_F4RG40	395	31	395	17	508	0.9443	1	1	N	365
UniRef90_A0A067PI84	395	14	383	14	509	0.9520	1	1	N	370
UniRef90_A0ABW4L3D7	395	21	390	16	508	0.9463	1	1	N	370
UniRef90_A0ABM8B6N3	395	41	395	23	508	0.9328	1	1	N	355
UniRef90_UPI00044172ED	395	18	388	15	508	0.9482	1	1	N	371
UniRef90_UPI00221E3DD8	395	8	395	18	515	0.9559	1	1	N	388
UniRef90_UPI0025485208	395	46	393	34	507	0.9098	1	1	N	348
UniRef90_A0A1Y2EQ04	394	10	394	20	509	0.9405	2	1	Y	385
UniRef90_A0A9P7RS56	394	26	394	19	509	0.9424	1	1	N	369
UniRef90_A0A8H7ZW20	394	55	391	48	466	0.8042	1	1	N	337
UniRef90_F4RQ33	394	15	393	20	508	0.9386	1	1	N	379
UniRef90_A0A9P6NJW7	394	23	390	23	510	0.9367	1	1	N	368
UniRef90_A0A0C3DMJ3	394	12	365	50	507	0.8791	1	1	N	354
UniRef90_A0A261EU12	394	42	394	24	507	0.9290	1	1	N	353
UniRef90_Q2A710	393	25	393	17	512	0.9520	1	1	N	369
UniRef90_A0AA39N7U8	390	25	388	19	512	0.9482	1	1	N	364
UniRef90_A0A550CEF7	393	19	393	22	510	0.9386	1	1	N	375
UniRef90_A0A0D6ERN3	393	26	393	23	510	0.9367	1	1	N	368
UniRef90_A0A316U9H6	393	30	393	18	508	0.9424	1	1	N	364
UniRef90_C0EHU6	393	47	393	28	501	0.9098	1	1	N	347
UniRef90_A0A366KCA8	393	22	392	19	518	0.9597	1	1	N	371
UniRef90_A0A381EDZ1	354	1	353	18	509	0.9443	1	1	N	353
UniRef90_A0A931CGH2	393	7	377	17	507	0.9424	1	1	N	371
UniRef90_H8YY57	393	38	393	18	508	0.9424	1	1	N	356
UniRef90_A0A9P8K3P3	373	7	373	20	513	0.9482	1	1	N	367
UniRef90_A0A427YK30	392	10	391	21	512	0.9443	1	1	N	382
UniRef90_A0A8H3EZR2	392	12	384	16	515	0.9597	1	1	N	373
UniRef90_A0ACB8QEL6	392	30	387	16	502	0.9347	1	1	N	358
UniRef90_A0AAD7VWW1	392	21	388	20	508	0.9386	1	1	N	368
UniRef90_A0ABQ8FKR2	392	31	390	21	507	0.9347	1	1	N	360
UniRef90_A0A9P7RQF8	392	26	391	16	507	0.9443	1	1	N	366
UniRef90_A0A4Z0YPL9	392	5	357	50	510	0.8848	1	1	N	353
UniRef90_Q82W64	392	16	384	11	509	0.9578	1	1	N	369
UniRef90_A0A401FWT5	392	39	392	26	504	0.9194	1	1	N	354
UniRef90_A0A2S4K1P7	392	1	359	18	505	0.9367	1	1	N	359
UniRef90_A0A5A7NQR0	392	24	392	18	506	0.9386	1	1	N	369
UniRef90_UPI001D058734	392	16	362	51	511	0.8848	1	1	N	347
UniRef90_A0A507DBH7	391	16	391	9	514	0.9712	1	1	N	376
UniRef90_A0A8H3PI62	391	5	373	11	508	0.9559	1	1	N	369
UniRef90_A0A8H5D5Z5	391	16	386	15	509	0.9501	1	1	N	371
UniRef90_A0A3D8QFN4	391	4	359	42	508	0.8964	1	1	N	356
UniRef90_C1G0J6	388	5	371	20	516	0.9539	1	1	N	367
UniRef90_A0A427XI95	391	3	378	15	514	0.9597	1	1	N	376
UniRef90_A0A427Y5A9	391	20	391	20	513	0.9482	1	1	N	372
UniRef90_A0A316VDA8	391	31	390	20	508	0.9386	1	1	N	360
UniRef90_A0A5P2HA21	380	10	380	18	510	0.9463	1	1	N	371
UniRef90_A0A4R6QSY9	391	15	379	18	508	0.9424	1	1	N	365
UniRef90_D1BZT6	391	30	391	17	507	0.9424	1	1	N	362
UniRef90_A0A261F324	391	15	387	19	513	0.9501	1	1	N	373
UniRef90_A0A1H1XG36	384	23	384	17	508	0.9443	1	1	N	362
UniRef90_A0A5C6E588	391	30	389	15	508	0.9482	1	1	N	360
UniRef90_UPI003F389018	391	18	377	26	512	0.9347	1	1	N	360
UniRef90_UPI0007C78840	391	4	361	23	510	0.9367	1	1	N	358
UniRef90_UPI0034CE8AF5	391	20	385	20	508	0.9386	1	1	N	366
UniRef90_A0A5E8BN98	390	12	389	19	509	0.9424	1	1	N	378
UniRef90_A0AAD5YIG0	390	4	382	25	509	0.9309	1	1	N	379
UniRef90_A0A9P6NKM9	390	16	382	17	512	0.9520	1	1	N	367
UniRef90_A0A423W2K6	390	1	354	28	510	0.9271	1	1	N	354
UniRef90_A0A8J3JAI2	390	17	368	31	511	0.9232	1	1	N	352
UniRef90_D2Q8C2	390	29	390	21	508	0.9367	1	1	N	362
UniRef90_A0A927J0Q4	390	19	388	11	508	0.9559	1	1	N	370
UniRef90_UPI000A5E3CF1	390	34	390	21	508	0.9367	1	1	N	357
UniRef90_UPI0039A01E84	390	3	376	17	513	0.9539	1	1	N	374
UniRef90_UPI0018A93DE3	390	21	386	21	505	0.9309	1	1	N	366
UniRef90_UPI000F4A47F9	390	9	383	8	509	0.9635	1	1	N	375
UniRef90_A0AAJ0DM75	389	11	378	18	512	0.9501	1	1	N	368
UniRef90_A0A8H8R5Q4	388	29	388	27	510	0.9290	1	1	N	360
UniRef90_A0A0D7BHZ3	389	21	387	17	513	0.9539	1	1	N	367
UniRef90_A0A2T9Z8D3	389	17	388	11	511	0.9616	1	1	N	372
UniRef90_A0AAD5LJC3	389	21	388	18	510	0.9463	1	1	N	368
UniRef90_Q8FQR5	389	29	389	22	508	0.9347	1	1	N	361
UniRef90_A0A1H4LER5	389	16	389	16	507	0.9443	1	1	N	374
UniRef90_A0A1I3IR31	389	17	360	34	508	0.9117	1	1	N	344
UniRef90_D4XDH5	389	25	388	10	509	0.9597	1	1	N	364
UniRef90_A0ABT1I0F3	389	19	379	27	508	0.9251	1	1	N	361
UniRef90_A0A0S4KVG8	389	35	387	17	503	0.9347	1	1	N	353
UniRef90_A0A6N9YRV2	389	27	389	18	509	0.9443	1	1	N	363
UniRef90_UPI002548D957	389	4	365	69	508	0.8445	1	1	N	362
UniRef90_UPI00331FB835	389	6	374	21	508	0.9367	1	1	N	369
UniRef90_UPI0036419ECA	389	3	367	18	502	0.9309	1	1	N	365
UniRef90_Q5EMW0	383	10	374	21	508	0.9367	1	1	N	365
UniRef90_A0A6J5G3C5	380	21	379	12	508	0.9539	1	1	N	359
UniRef90_A0A2T9YI52	388	17	388	11	512	0.9635	1	1	N	372
UniRef90_A0A0E9NB47	388	14	382	20	507	0.9367	1	1	N	369
UniRef90_A0ACB9YRW4	388	7	356	34	509	0.9136	1	1	N	350
UniRef90_A0A420I997	388	20	386	19	508	0.9405	1	1	N	367
UniRef90_A0AAD5TXB5	388	24	388	18	507	0.9405	1	1	N	365
UniRef90_A0A9P7V5P3	388	29	388	25	510	0.9328	1	1	N	360
UniRef90_A0A1V6R9P5	388	5	364	19	507	0.9386	1	1	N	360
UniRef90_A0A0G4JZ76	388	36	388	19	504	0.9328	1	1	N	353
UniRef90_A0A375A9G9	388	24	385	28	504	0.9155	1	1	N	362
UniRef90_UPI003C717785	388	1	356	19	507	0.9386	1	1	N	356
UniRef90_UPI00101DCF7F	388	27	387	11	511	0.9616	1	1	N	361
UniRef90_N1J5S9	377	9	377	17	515	0.9578	1	1	N	369
UniRef90_A0AAD5TBU9	387	13	383	14	508	0.9501	1	1	N	371
UniRef90_A0A180GM11	355	1	344	43	511	0.9002	1	1	N	344
UniRef90_A8NJE5	387	17	384	18	508	0.9424	1	1	N	368
UniRef90_A0A024UCE8	387	71	369	18	424	0.7812	1	1	N	299
UniRef90_A0ABM8BE60	387	15	387	18	514	0.9539	1	1	N	373
UniRef90_I0HK76	378	8	378	13	511	0.9578	1	1	N	371
UniRef90_A0ABV8R4E6	387	6	379	19	509	0.9424	1	1	N	374
UniRef90_W5IIN5	387	19	386	24	508	0.9309	1	1	N	368
UniRef90_A0A087VV82	387	18	385	19	508	0.9405	1	1	N	368
UniRef90_A0ABP7MDB8	387	22	387	26	501	0.9136	1	1	N	366
UniRef90_A0A6D2G935	387	1	318	21	452	0.8292	1	1	N	318
UniRef90_A0A433S9X2	387	12	386	19	514	0.9520	1	1	N	375
UniRef90_A0A2A7UZF9	387	12	384	17	511	0.9501	1	1	N	373
UniRef90_A0A8H6SDR7	386	21	384	15	509	0.9501	1	1	N	364
