seq_id	subtype_source	source_fasta	length
UniRef90_A0A2X0KLJ2	Ia	results/02_qc/nr80_Ia.fasta	431
UniRef90_G4T5B4	Ia	results/02_qc/nr80_Ia.fasta	431
UniRef90_A0A813ZE00	Ia	results/02_qc/nr80_Ia.fasta	431
UniRef90_A0AA40BX07	Ia	results/02_qc/nr80_Ia.fasta	430
UniRef90_A0A087ECF0	Ia	results/02_qc/nr80_Ia.fasta	430
UniRef90_A0A087BTF7	Ia	results/02_qc/nr80_Ia.fasta	430
UniRef90_A0ABW8N4D1	Ia	results/02_qc/nr80_Ia.fasta	430
UniRef90_UPI00044077F1	Ia	results/02_qc/nr80_Ia.fasta	430
UniRef90_A0A1E3Q375	Ia	results/02_qc/nr80_Ia.fasta	428
UniRef90_A0A4Y9Z858	Ia	results/02_qc/nr80_Ia.fasta	429
UniRef90_A0A1B7NA63	Ia	results/02_qc/nr80_Ia.fasta	429
UniRef90_A0AA41QGQ3	Ia	results/02_qc/nr80_Ia.fasta	429
UniRef90_A0ABX0DDS4	Ia	results/02_qc/nr80_Ia.fasta	428
UniRef90_A0A138ZWQ9	Ia	results/02_qc/nr80_Ia.fasta	427
UniRef90_A0A0C9YNJ7	Ia	results/02_qc/nr80_Ia.fasta	426
UniRef90_F2BAF5	Ia	results/02_qc/nr80_Ia.fasta	426
UniRef90_U5E8U8	Ia	results/02_qc/nr80_Ia.fasta	426
UniRef90_UPI003689F542	Ia	results/02_qc/nr80_Ia.fasta	426
UniRef90_UPI0003621A3E	Ia	results/02_qc/nr80_Ia.fasta	426
UniRef90_A0A0L0TC48	Ia	results/02_qc/nr80_Ia.fasta	425
UniRef90_B8DVX4	Ia	results/02_qc/nr80_Ia.fasta	415
UniRef90_UPI0023F8E677	Ia	results/02_qc/nr80_Ia.fasta	425
UniRef90_A0A5C3MS71	Ia	results/02_qc/nr80_Ia.fasta	424
UniRef90_A0A6G8PV92	Ia	results/02_qc/nr80_Ia.fasta	424
UniRef90_A0A5M9ZZV5	Ia	results/02_qc/nr80_Ia.fasta	424
UniRef90_A0A0P9ZPN8	Ia	results/02_qc/nr80_Ia.fasta	424
UniRef90_A0A0C2XVN7	Ia	results/02_qc/nr80_Ia.fasta	423
UniRef90_A0A4Y9ZD98	Ia	results/02_qc/nr80_Ia.fasta	423
UniRef90_A0A2P7YLJ4	Ia	results/02_qc/nr80_Ia.fasta	423
UniRef90_A0A9Q3GH55	Ia	results/02_qc/nr80_Ia.fasta	423
UniRef90_A0A087AGB1	Ia	results/02_qc/nr80_Ia.fasta	423
UniRef90_A0ABP6PGQ7	Ia	results/02_qc/nr80_Ia.fasta	423
UniRef90_A0A433MVR6	Ia	results/02_qc/nr80_Ia.fasta	423
UniRef90_UPI001C9731D2	Ia	results/02_qc/nr80_Ia.fasta	423
UniRef90_A0A8H5H419	Ia	results/02_qc/nr80_Ia.fasta	422
UniRef90_A0A066WIB7	Ia	results/02_qc/nr80_Ia.fasta	422
UniRef90_A0A316V189	Ia	results/02_qc/nr80_Ia.fasta	422
UniRef90_A0A4R1BSC7	Ia	results/02_qc/nr80_Ia.fasta	352
UniRef90_UPI0024B9BB47	Ia	results/02_qc/nr80_Ia.fasta	422
UniRef90_A0A316YQE4	Ia	results/02_qc/nr80_Ia.fasta	421
UniRef90_A0A316V5L8	Ia	results/02_qc/nr80_Ia.fasta	421
UniRef90_C4JD73	Ia	results/02_qc/nr80_Ia.fasta	421
UniRef90_A2S579	Ia	results/02_qc/nr80_Ia.fasta	421
UniRef90_A0A8H4UU39	Ia	results/02_qc/nr80_Ia.fasta	420
UniRef90_A0A9P7YH90	Ia	results/02_qc/nr80_Ia.fasta	420
UniRef90_A0A511KAZ8	Ia	results/02_qc/nr80_Ia.fasta	420
UniRef90_A0A0D6R4W0	Ia	results/02_qc/nr80_Ia.fasta	420
UniRef90_A0A8J4AE96	Ia	results/02_qc/nr80_Ia.fasta	420
UniRef90_A0A3E2C4N5	Ia	results/02_qc/nr80_Ia.fasta	420
UniRef90_A0A0Q0D0W0	Ia	results/02_qc/nr80_Ia.fasta	419
UniRef90_A0A366H345	Ia	results/02_qc/nr80_Ia.fasta	419
UniRef90_UPI000DEBFB9E	Ia	results/02_qc/nr80_Ia.fasta	419
UniRef90_A0A4R0QZ43	Ia	results/02_qc/nr80_Ia.fasta	409
UniRef90_A0A3D9V423	Ia	results/02_qc/nr80_Ia.fasta	418
UniRef90_A0A087VVP6	Ia	results/02_qc/nr80_Ia.fasta	416
UniRef90_A0A316W5B2	Ia	results/02_qc/nr80_Ia.fasta	417
UniRef90_A0ABR4MZW2	Ia	results/02_qc/nr80_Ia.fasta	417
UniRef90_A0A4S4LCZ3	Ia	results/02_qc/nr80_Ia.fasta	417
UniRef90_A0A087AY84	Ia	results/02_qc/nr80_Ia.fasta	417
UniRef90_A0A348HGD5	Ia	results/02_qc/nr80_Ia.fasta	417
UniRef90_A0A9P3B7I7	Ia	results/02_qc/nr80_Ia.fasta	416
UniRef90_A0A0M9EYR8	Ia	results/02_qc/nr80_Ia.fasta	416
UniRef90_A0A292Q070	Ia	results/02_qc/nr80_Ia.fasta	416
UniRef90_A0A502LA71	Ia	results/02_qc/nr80_Ia.fasta	416
UniRef90_A0ABU8ZLM0	Ia	results/02_qc/nr80_Ia.fasta	415
UniRef90_A0AA37WKS9	Ia	results/02_qc/nr80_Ia.fasta	415
UniRef90_UPI0028DCED88	Ia	results/02_qc/nr80_Ia.fasta	415
UniRef90_UPI001ABCE146	Ia	results/02_qc/nr80_Ia.fasta	415
UniRef90_UPI0033F6AFC8	Ia	results/02_qc/nr80_Ia.fasta	415
UniRef90_UPI0026491CFB	Ia	results/02_qc/nr80_Ia.fasta	415
UniRef90_A0A0L0SIV2	Ia	results/02_qc/nr80_Ia.fasta	414
UniRef90_A0A1C7MEY8	Ia	results/02_qc/nr80_Ia.fasta	414
UniRef90_A0A292PXB1	Ia	results/02_qc/nr80_Ia.fasta	414
UniRef90_A0A8H6U1N4	Ia	results/02_qc/nr80_Ia.fasta	414
UniRef90_Q7MNL4	Ia	results/02_qc/nr80_Ia.fasta	414
UniRef90_A0A6L9VZ57	Ia	results/02_qc/nr80_Ia.fasta	414
UniRef90_UPI00371AA815	Ia	results/02_qc/nr80_Ia.fasta	414
UniRef90_G4TQP6	Ia	results/02_qc/nr80_Ia.fasta	413
UniRef90_A0A401GY40	Ia	results/02_qc/nr80_Ia.fasta	413
UniRef90_A0A316ZB12	Ia	results/02_qc/nr80_Ia.fasta	413
UniRef90_A0A3N4Z8K8	Ia	results/02_qc/nr80_Ia.fasta	413
UniRef90_A0A5J6N2X5	Ia	results/02_qc/nr80_Ia.fasta	371
UniRef90_UPI0030188C31	Ia	results/02_qc/nr80_Ia.fasta	413
UniRef90_A0A318M4Q4	Ia	results/02_qc/nr80_Ia.fasta	406
UniRef90_A0ACC0U160	Ia	results/02_qc/nr80_Ia.fasta	412
UniRef90_A0AAV0ATW0	Ia	results/02_qc/nr80_Ia.fasta	412
UniRef90_A0A7S2NAS4	Ia	results/02_qc/nr80_Ia.fasta	412
UniRef90_A0A450W8W1	Ia	results/02_qc/nr80_Ia.fasta	412
UniRef90_A0A101M8A9	Ia	results/02_qc/nr80_Ia.fasta	411
UniRef90_C5DE97	Ia	results/02_qc/nr80_Ia.fasta	410
UniRef90_A0A7Y0ESA5	Ia	results/02_qc/nr80_Ia.fasta	409
UniRef90_A0A6I5MZP3	Ia	results/02_qc/nr80_Ia.fasta	410
UniRef90_UPI00316D3994	Ia	results/02_qc/nr80_Ia.fasta	410
UniRef90_UPI0034CF24D1	Ia	results/02_qc/nr80_Ia.fasta	410
UniRef90_A0A4P9X961	Ia	results/02_qc/nr80_Ia.fasta	409
UniRef90_A0ACD3AX12	Ia	results/02_qc/nr80_Ia.fasta	409
UniRef90_A0A0D2X467	Ia	results/02_qc/nr80_Ia.fasta	409
UniRef90_A0A366K787	Ia	results/02_qc/nr80_Ia.fasta	409
UniRef90_UPI0010C0FC50	Ia	results/02_qc/nr80_Ia.fasta	409
UniRef90_UPI00190470D3	Ia	results/02_qc/nr80_Ia.fasta	409
UniRef90_A0AAN6V2P1	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0AAW0G6Q6	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0A9W9AEP5	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0AAV0ANL5	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0A8K0XKW4	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0ACD0P750	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0AA36MU28	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0A2N8ZF54	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0A263D8V7	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_UPI001CCC7BE9	Ia	results/02_qc/nr80_Ia.fasta	408
UniRef90_A0A1E4SDM3	Ia	results/02_qc/nr80_Ia.fasta	407
UniRef90_A0A9P6AMZ9	Ia	results/02_qc/nr80_Ia.fasta	407
UniRef90_A0AA39UDY5	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_A0ABR2UFL5	Ia	results/02_qc/nr80_Ia.fasta	407
UniRef90_A0A316YD25	Ia	results/02_qc/nr80_Ia.fasta	407
UniRef90_A0A812Q7V8	Ia	results/02_qc/nr80_Ia.fasta	407
UniRef90_A0ABW0FHU7	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A9P6HE15	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_A0A8H5FXM6	Ia	results/02_qc/nr80_Ia.fasta	406
UniRef90_A0A5C3P2Z8	Ia	results/02_qc/nr80_Ia.fasta	406
UniRef90_A0A9P7G3P4	Ia	results/02_qc/nr80_Ia.fasta	406
UniRef90_A0A0A1FB14	Ia	results/02_qc/nr80_Ia.fasta	406
UniRef90_A0A087EBR5	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_A0A1G4YQL9	Ia	results/02_qc/nr80_Ia.fasta	406
UniRef90_A0A0G0JHR0	Ia	results/02_qc/nr80_Ia.fasta	406
UniRef90_A0A0M9VPL4	Ia	results/02_qc/nr80_Ia.fasta	405
UniRef90_A0A0H2RK16	Ia	results/02_qc/nr80_Ia.fasta	405
UniRef90_A0A8H6CEP9	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_A0A086ZE72	Ia	results/02_qc/nr80_Ia.fasta	405
UniRef90_A0A0C3ATX7	Ia	results/02_qc/nr80_Ia.fasta	404
UniRef90_A0A3M7DTT8	Ia	results/02_qc/nr80_Ia.fasta	404
UniRef90_A0A6A1LJP9	Ia	results/02_qc/nr80_Ia.fasta	404
UniRef90_A0A0C3PQM9	Ia	results/02_qc/nr80_Ia.fasta	404
UniRef90_A0A0G4FW50	Ia	results/02_qc/nr80_Ia.fasta	404
UniRef90_A0A7S0ADZ5	Ia	results/02_qc/nr80_Ia.fasta	404
UniRef90_A0ACC0VIJ2	Ia	results/02_qc/nr80_Ia.fasta	404
UniRef90_A0AAF0F770	Ia	results/02_qc/nr80_Ia.fasta	403
UniRef90_A0A1M2V1W8	Ia	results/02_qc/nr80_Ia.fasta	403
UniRef90_A0AAF0IQZ1	Ia	results/02_qc/nr80_Ia.fasta	403
UniRef90_A0AAF0EZ38	Ia	results/02_qc/nr80_Ia.fasta	403
UniRef90_A0A4V6T5J7	Ia	results/02_qc/nr80_Ia.fasta	403
UniRef90_A0A066VGE3	Ia	results/02_qc/nr80_Ia.fasta	403
UniRef90_A0AA43TSX5	Ia	results/02_qc/nr80_Ia.fasta	403
UniRef90_UPI0032D8DE05	Ia	results/02_qc/nr80_Ia.fasta	403
UniRef90_A0A8H7EZ21	Ia	results/02_qc/nr80_Ia.fasta	402
UniRef90_G7E8Q7	Ia	results/02_qc/nr80_Ia.fasta	402
UniRef90_A0ACC3NWY2	Ia	results/02_qc/nr80_Ia.fasta	402
UniRef90_A0A517R5A0	Ia	results/02_qc/nr80_Ia.fasta	402
UniRef90_A0ABT1JNX9	Ia	results/02_qc/nr80_Ia.fasta	402
UniRef90_E6PWI1	Ia	results/02_qc/nr80_Ia.fasta	402
UniRef90_A0A2N1JF37	Ia	results/02_qc/nr80_Ia.fasta	371
UniRef90_A0A9P6JMV7	Ia	results/02_qc/nr80_Ia.fasta	401
UniRef90_A0A409YIM0	Ia	results/02_qc/nr80_Ia.fasta	401
UniRef90_A0A0C2WGV6	Ia	results/02_qc/nr80_Ia.fasta	401
UniRef90_B6QWH4	Ia	results/02_qc/nr80_Ia.fasta	401
UniRef90_A0A067Q5Z3	Ia	results/02_qc/nr80_Ia.fasta	401
UniRef90_A0A0G4EGN9	Ia	results/02_qc/nr80_Ia.fasta	401
UniRef90_A0ABM8BE86	Ia	results/02_qc/nr80_Ia.fasta	401
UniRef90_UPI00397FA3DF	Ia	results/02_qc/nr80_Ia.fasta	401
UniRef90_A0A067MH88	Ia	results/02_qc/nr80_Ia.fasta	400
UniRef90_A0A8H3FZ91	Ia	results/02_qc/nr80_Ia.fasta	400
UniRef90_A0A1Y1XCT5	Ia	results/02_qc/nr80_Ia.fasta	400
UniRef90_A0A1V8TBW4	Ia	results/02_qc/nr80_Ia.fasta	400
UniRef90_A0A9N8VHG4	Ia	results/02_qc/nr80_Ia.fasta	400
UniRef90_A0A2N7VBG7	Ia	results/02_qc/nr80_Ia.fasta	376
UniRef90_A0AA37S8Q9	Ia	results/02_qc/nr80_Ia.fasta	400
UniRef90_A0ABS1LLY6	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_A0A971CY33	Ia	results/02_qc/nr80_Ia.fasta	400
UniRef90_A0A8J4AAE3	Ia	results/02_qc/nr80_Ia.fasta	382
UniRef90_A0A928V3Q0	Ia	results/02_qc/nr80_Ia.fasta	359
UniRef90_A0A507DSU7	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_A0A1Q3EF29	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_A0A8H5MD37	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_A0A4Y8MP18	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_A0A3P5WZZ3	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_UPI0022FDE365	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_UPI002B21383A	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_UPI0022FE98BE	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_UPI0034D01617	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_UPI00221F57E9	Ia	results/02_qc/nr80_Ia.fasta	399
UniRef90_A0ABV6PYB6	Ia	results/02_qc/nr80_Ia.fasta	379
UniRef90_A0AAV5A7A2	Ia	results/02_qc/nr80_Ia.fasta	398
UniRef90_E3KLT7	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0AAF1BQI8	Ia	results/02_qc/nr80_Ia.fasta	375
UniRef90_A0A4Q1BVR2	Ia	results/02_qc/nr80_Ia.fasta	398
UniRef90_A0A167SDN7	Ia	results/02_qc/nr80_Ia.fasta	398
UniRef90_A0A3G8ZNK1	Ia	results/02_qc/nr80_Ia.fasta	398
UniRef90_A0A975B9U6	Ia	results/02_qc/nr80_Ia.fasta	398
UniRef90_A0A840NJC5	Ia	results/02_qc/nr80_Ia.fasta	398
UniRef90_A0A975J041	Ia	results/02_qc/nr80_Ia.fasta	398
UniRef90_A0A2U7UDK3	Ia	results/02_qc/nr80_Ia.fasta	398
UniRef90_A0A831RVF1	Ia	results/02_qc/nr80_Ia.fasta	352
UniRef90_A0AAF0J247	Ia	results/02_qc/nr80_Ia.fasta	397
UniRef90_A0A1J7J719	Ia	results/02_qc/nr80_Ia.fasta	397
UniRef90_A0A5C3Q4R1	Ia	results/02_qc/nr80_Ia.fasta	397
UniRef90_A0A163PR94	Ia	results/02_qc/nr80_Ia.fasta	397
UniRef90_A0ABY3W8C6	Ia	results/02_qc/nr80_Ia.fasta	397
UniRef90_U4KX81	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0AAF0JFP5	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A2T9YRM6	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A8H6TQ72	Ia	results/02_qc/nr80_Ia.fasta	380
UniRef90_A0A9W4JGH3	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A4Y7QIY5	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A1Y2HLL2	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A0G4HXA7	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A7S2KAV3	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A261G8S2	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A4P6DZZ4	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_A0A143WMH3	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_UPI000E56B39E	Ia	results/02_qc/nr80_Ia.fasta	396
UniRef90_F4NXT9	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_A0A3G2SCK5	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_F4RG40	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_A0A067PI84	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_A0ABW4L3D7	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_A0ABM8B6N3	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_UPI00044172ED	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_UPI00221E3DD8	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_UPI0025485208	Ia	results/02_qc/nr80_Ia.fasta	395
UniRef90_A0A1Y2EQ04	Ia	results/02_qc/nr80_Ia.fasta	394
UniRef90_A0A9P7RS56	Ia	results/02_qc/nr80_Ia.fasta	394
UniRef90_A0A8H7ZW20	Ia	results/02_qc/nr80_Ia.fasta	394
UniRef90_F4RQ33	Ia	results/02_qc/nr80_Ia.fasta	394
UniRef90_A0A9P6NJW7	Ia	results/02_qc/nr80_Ia.fasta	394
UniRef90_A0A0C3DMJ3	Ia	results/02_qc/nr80_Ia.fasta	394
UniRef90_A0A261EU12	Ia	results/02_qc/nr80_Ia.fasta	394
UniRef90_Q2A710	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_A0AA39N7U8	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_A0A550CEF7	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_A0A0D6ERN3	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_A0A316U9H6	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_C0EHU6	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_A0A366KCA8	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_A0A381EDZ1	Ia	results/02_qc/nr80_Ia.fasta	354
UniRef90_A0A931CGH2	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_H8YY57	Ia	results/02_qc/nr80_Ia.fasta	393
UniRef90_A0A9P8K3P3	Ia	results/02_qc/nr80_Ia.fasta	373
UniRef90_A0A427YK30	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0A8H3EZR2	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0ACB8QEL6	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0AAD7VWW1	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0ABQ8FKR2	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0A9P7RQF8	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0A4Z0YPL9	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_Q82W64	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0A401FWT5	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0A2S4K1P7	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0A5A7NQR0	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_UPI001D058734	Ia	results/02_qc/nr80_Ia.fasta	392
UniRef90_A0A507DBH7	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A8H3PI62	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A8H5D5Z5	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A3D8QFN4	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_C1G0J6	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0A427XI95	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A427Y5A9	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A316VDA8	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A5P2HA21	Ia	results/02_qc/nr80_Ia.fasta	380
UniRef90_A0A4R6QSY9	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_D1BZT6	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A261F324	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A1H1XG36	Ia	results/02_qc/nr80_Ia.fasta	384
UniRef90_A0A5C6E588	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_UPI003F389018	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_UPI0007C78840	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_UPI0034CE8AF5	Ia	results/02_qc/nr80_Ia.fasta	391
UniRef90_A0A5E8BN98	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_A0AAD5YIG0	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_A0A9P6NKM9	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_A0A423W2K6	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_A0A8J3JAI2	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_D2Q8C2	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_A0A927J0Q4	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_UPI000A5E3CF1	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_UPI0039A01E84	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_UPI0018A93DE3	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_UPI000F4A47F9	Ia	results/02_qc/nr80_Ia.fasta	390
UniRef90_A0AAJ0DM75	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_A0A8H8R5Q4	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0A0D7BHZ3	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_A0A2T9Z8D3	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_A0AAD5LJC3	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_Q8FQR5	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_A0A1H4LER5	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_A0A1I3IR31	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_D4XDH5	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_A0ABT1I0F3	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_A0A0S4KVG8	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_A0A6N9YRV2	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_UPI002548D957	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_UPI00331FB835	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_UPI0036419ECA	Ia	results/02_qc/nr80_Ia.fasta	389
UniRef90_Q5EMW0	Ia	results/02_qc/nr80_Ia.fasta	383
UniRef90_A0A6J5G3C5	Ia	results/02_qc/nr80_Ia.fasta	380
UniRef90_A0A2T9YI52	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0A0E9NB47	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0ACB9YRW4	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0A420I997	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0AAD5TXB5	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0A9P7V5P3	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0A1V6R9P5	Ia	results/02_qc/nr80_Ia.fasta	388
UniRef90_A0A0G4JZ76	Ia	results/02_qc/nr80_Ia.fasta	388
