seq_id	seq_len	module	from	to	module_len
UniRef90_A0ABV8PU86	364	CM_domain	1	66	66
UniRef90_A0A3S0HMA5	364	CM_domain	7	86	80
UniRef90_A0A2V3ZWV3	364	CM_domain	4	83	80
UniRef90_A0A9D2DEB1	364	CM_domain	24	103	80
UniRef90_A0A5M4B7B1	364	CM_domain	4	83	80
UniRef90_A0ABP8FW27	364	CM_domain	1	78	78
UniRef90_UPI001F0E1C02	364	CM_domain	1	76	76
UniRef90_UPI00140E14D2	364	CM_domain	1	74	74
UniRef90_UPI001E53A664	364	CM_domain	6	85	80
UniRef90_UPI00260BCC93	364	CM_domain	5	84	80
UniRef90_A0A1I2B1T2	363	CM_domain	2	81	80
UniRef90_C6BZ48	363	CM_domain	14	93	80
UniRef90_A0A4U5TQY4	363	CM_domain	1	80	80
UniRef90_A0ABU5VWS3	363	CM_domain	1	78	78
UniRef90_A0A4D7K7Z4	363	CM_domain	18	97	80
UniRef90_A0A401UBQ9	363	CM_domain	16	95	80
UniRef90_A0A5M6CL81	363	CM_domain	1	80	80
UniRef90_A0A239F0H4	363	CM_domain	1	76	76
UniRef90_A0A364RD66	363	CM_domain	10	89	80
UniRef90_A0ABW5IK98	363	CM_domain	1	74	74
UniRef90_A0A6N9NIL4	363	CM_domain	4	83	80
UniRef90_W0EYB6	363	CM_domain	1	80	80
UniRef90_A0A1H7MMP6	360	CM_domain	6	85	80
UniRef90_A0ABT6RAN6	363	CM_domain	8	87	80
UniRef90_A0A644YSE8	363	CM_domain	12	91	80
UniRef90_UPI000E5751DD	363	CM_domain	1	76	76
UniRef90_UPI002A87BADF	363	CM_domain	1	79	79
UniRef90_UPI001B49A61D	363	CM_domain	14	93	80
UniRef90_UPI001B4DFCA6	363	CM_domain	1	80	80
UniRef90_UPI00266F490E	363	CM_domain	1	79	79
UniRef90_UPI00047F1177	363	CM_domain	1	79	79
UniRef90_UPI001BCAD4B8	363	CM_domain	23	102	80
UniRef90_UPI001CF85538	363	CM_domain	10	89	80
UniRef90_UPI00221F9283	363	CM_domain	3	82	80
UniRef90_A0A4V3GKP8	362	CM_domain	1	68	68
UniRef90_A0A386HMM4	362	CM_domain	6	85	80
UniRef90_A0AAN5AIC2	362	CM_domain	7	86	80
UniRef90_A0A2W5H795	362	CM_domain	13	92	80
UniRef90_A0A434AZL3	362	CM_domain	1	70	70
UniRef90_A0AC61NI88	362	CM_domain	3	82	80
UniRef90_A0A6I6G7C0	362	CM_domain	10	89	80
UniRef90_A0A239EWZ6	362	CM_domain	16	95	80
UniRef90_A0A0S7EFN3	359	CM_domain	1	74	74
UniRef90_A0ABS3PY77	362	CM_domain	9	88	80
UniRef90_A0A0A2LMK5	362	CM_domain	20	99	80
UniRef90_A0ABW3SKU7	362	CM_domain	8	87	80
UniRef90_A0A1H3ZP74	362	CM_domain	12	91	80
UniRef90_A0A7D3Y5G3	362	CM_domain	1	78	78
UniRef90_A0A381RBT8	362	CM_domain	8	87	80
UniRef90_UPI000231DF77	362	CM_domain	2	81	80
UniRef90_UPI0013D1F39A	362	CM_domain	16	95	80
UniRef90_UPI00265A3C15	362	CM_domain	1	72	72
UniRef90_UPI002DB7E99E	362	CM_domain	3	82	80
UniRef90_UPI003C79946B	362	CM_domain	15	94	80
UniRef90_UPI0040345669	362	CM_domain	1	77	77
UniRef90_UPI001A96F49A	362	CM_domain	1	68	68
UniRef90_UPI003299903D	362	CM_domain	18	97	80
UniRef90_A0A6G6BTH6	360	CM_domain	1	80	80
UniRef90_UPI001F1392E2	362	CM_domain	1	79	79
UniRef90_UPI00345DDEAB	362	CM_domain	20	99	80
UniRef90_A0A6G6BSM8	359	CM_domain	2	81	80
UniRef90_K4IDR1	360	CM_domain	9	88	80
UniRef90_A0A1I3STG9	361	CM_domain	18	97	80
UniRef90_A0A2U0I7M1	361	CM_domain	3	82	80
UniRef90_A0A3P3W4K8	361	CM_domain	22	101	80
UniRef90_A0A1H9CAF5	361	CM_domain	8	87	80
UniRef90_A0ABQ2AGZ9	361	CM_domain	9	88	80
UniRef90_A0A5B8A0D2	361	CM_domain	1	69	69
UniRef90_A0ABV8QPT3	361	CM_domain	2	81	80
UniRef90_A0A1G9BGR1	361	CM_domain	18	97	80
UniRef90_A0A504J9K0	361	CM_domain	1	81	81
UniRef90_A0A5N1IS48	361	CM_domain	12	91	80
UniRef90_A0A0A2FRL6	361	CM_domain	7	86	80
UniRef90_A0A090Q7M0	361	CM_domain	2	81	80
UniRef90_G2Z4S5	360	CM_domain	1	76	76
UniRef90_A0A0S7BZG5	361	CM_domain	9	88	80
UniRef90_UPI001F622FA0	361	CM_domain	6	85	80
UniRef90_UPI003F6A0BB1	361	CM_domain	15	94	80
UniRef90_UPI0032EF1EC6	361	CM_domain	18	97	80
UniRef90_UPI002FD9406A	361	CM_domain	23	102	80
UniRef90_UPI003ADEEEF2	361	CM_domain	6	85	80
UniRef90_A0A6G6BTV5	357	CM_domain	1	79	79
UniRef90_UPI002150EA59	361	CM_domain	1	68	68
UniRef90_UPI003D127C34	361	CM_domain	21	100	80
UniRef90_UPI00237947FD	361	CM_domain	4	83	80
UniRef90_UPI003F75342F	361	CM_domain	1	80	80
UniRef90_UPI002591C1E9	361	CM_domain	21	100	80
UniRef90_UPI003B3CAB6A	361	CM_domain	16	95	80
UniRef90_UPI000DA77DD3	361	CM_domain	1	79	79
UniRef90_UPI001C6EB31C	361	CM_domain	1	66	66
UniRef90_UPI001C12EC73	361	CM_domain	9	88	80
UniRef90_UPI001358FCBF	361	CM_domain	8	87	80
UniRef90_A0AAV4EXV9	360	CM_domain	4	83	80
UniRef90_A0A176TDP3	360	CM_domain	10	89	80
UniRef90_A0AAX2H0K5	360	CM_domain	9	88	80
UniRef90_A0A3B7QZ40	360	CM_domain	1	79	79
UniRef90_A0A917EC15	360	CM_domain	5	84	80
UniRef90_A0A371JNR5	360	CM_domain	2	81	80
UniRef90_A0A556N194	360	CM_domain	9	88	80
UniRef90_A0A1B1Y2I5	360	CM_domain	2	81	80
UniRef90_A0ABT8CPN8	360	CM_domain	11	90	80
UniRef90_A0A1D8P7K5	360	CM_domain	2	81	80
UniRef90_A0ABU3LFD0	360	CM_domain	1	80	80
UniRef90_A0A6C2UH89	360	CM_domain	8	87	80
UniRef90_A0A1G6YQC3	360	CM_domain	9	88	80
UniRef90_A0ABU1A482	360	CM_domain	2	81	80
UniRef90_A0A4R7EWN7	360	CM_domain	9	88	80
UniRef90_A0A9X1HNB9	360	CM_domain	1	76	76
UniRef90_A0ABU1K919	360	CM_domain	1	79	79
UniRef90_A0ABY4BKH5	360	CM_domain	5	84	80
UniRef90_G1WAJ3	360	CM_domain	14	93	80
UniRef90_A0ABW3I1S0	360	CM_domain	4	83	80
UniRef90_A0ABW5YLI8	360	CM_domain	27	106	80
UniRef90_A0ABW3CZ10	360	CM_domain	16	95	80
UniRef90_A0A2S0REB8	360	CM_domain	8	87	80
UniRef90_A0A5C6UTX4	360	CM_domain	1	77	77
UniRef90_A0ABY6LWA5	360	CM_domain	23	102	80
UniRef90_A0A1M6CPY7	360	CM_domain	2	81	80
UniRef90_A0A940IH93	360	CM_domain	10	89	80
UniRef90_A0ABW5KUI7	360	CM_domain	2	81	80
UniRef90_A0A7Y8Y4X7	360	CM_domain	24	103	80
UniRef90_A0A507ZPX7	360	CM_domain	3	82	80
UniRef90_A0ABS5S2J3	360	CM_domain	6	85	80
UniRef90_A0A8J8K8Z2	360	CM_domain	1	78	78
UniRef90_A0A368MWU1	360	CM_domain	10	89	80
UniRef90_UPI0011C8FEAF	360	CM_domain	11	90	80
UniRef90_UPI00338E7F0A	360	CM_domain	13	92	80
UniRef90_UPI00207779DB	360	CM_domain	2	81	80
UniRef90_UPI0026DAA32F	360	CM_domain	1	61	61
UniRef90_UPI000FD7BEE1	360	CM_domain	3	82	80
UniRef90_UPI0035288687	360	CM_domain	4	83	80
UniRef90_UPI0026351126	360	CM_domain	4	83	80
UniRef90_UPI0004160C04	360	CM_domain	1	79	79
UniRef90_UPI00163BDE5A	360	CM_domain	2	81	80
UniRef90_A0A484HNB3	359	CM_domain	8	87	80
UniRef90_X5KM58	359	CM_domain	4	83	80
UniRef90_A0A376J753	359	CM_domain	10	89	80
UniRef90_A0AAV5B073	359	CM_domain	17	96	80
UniRef90_A0A3N4PAC1	359	CM_domain	1	76	76
UniRef90_A0A2G0CFA2	359	CM_domain	5	84	80
UniRef90_A0A068DWU9	359	CM_domain	1	78	78
UniRef90_A0A1I2D4L5	359	CM_domain	17	96	80
UniRef90_A0A2M9R7S5	359	CM_domain	7	86	80
UniRef90_A0A563DA32	359	CM_domain	8	87	80
UniRef90_A0ABW3Y0F9	359	CM_domain	1	74	74
UniRef90_A0A939F1K7	347	CM_domain	18	97	80
UniRef90_A0AC61RAW2	359	CM_domain	21	100	80
UniRef90_A0ABV9K5Q6	359	CM_domain	10	89	80
UniRef90_A0A1M6C0N5	359	CM_domain	8	87	80
UniRef90_A0ABP8NBV8	359	CM_domain	1	78	78
UniRef90_A0ABU9L6I4	359	CM_domain	1	80	80
UniRef90_UPI001435274B	359	CM_domain	1	76	76
UniRef90_UPI001C95B73D	359	CM_domain	1	68	68
UniRef90_UPI0032EBE682	359	CM_domain	15	94	80
UniRef90_UPI002658DC41	359	CM_domain	4	83	80
UniRef90_A0A6G6BTP6	357	CM_domain	1	80	80
UniRef90_A0A9D9J0M9	347	CM_domain	5	84	80
UniRef90_UPI003872EAFF	359	CM_domain	1	80	80
UniRef90_UPI000347AC9F	359	CM_domain	1	80	80
UniRef90_UPI001D0DE70A	359	CM_domain	10	89	80
UniRef90_A0A224AK19	358	CM_domain	1	80	80
UniRef90_W0E5V1	358	CM_domain	6	72	67
UniRef90_A0ABW2Z2V4	358	CM_domain	1	78	78
UniRef90_A0A2S7SXH2	358	CM_domain	6	85	80
UniRef90_A0A7H0VI99	358	CM_domain	1	60	60
UniRef90_A0A3B0UX57	358	CM_domain	9	88	80
UniRef90_UPI000F5956A3	358	CM_domain	1	79	79
UniRef90_UPI00388DD5DD	358	CM_domain	4	83	80
UniRef90_UPI00163B814D	358	CM_domain	2	81	80
UniRef90_A0A6G6BTD7	355	CM_domain	2	81	80
UniRef90_A0A378U5P9	357	CM_domain	2	81	80
UniRef90_A0A6N3EJV7	357	CM_domain	26	105	80
UniRef90_A0AB36XKC3	357	CM_domain	26	105	80
UniRef90_A0A9X4MWL5	357	CM_domain	8	87	80
UniRef90_A0A9D1E0W0	357	CM_domain	9	88	80
UniRef90_A0A937FXR6	357	CM_domain	11	90	80
UniRef90_A0A1T4MCI9	357	CM_domain	11	90	80
UniRef90_A0ABY7VE62	357	CM_domain	9	88	80
UniRef90_A0A9D9N977	357	CM_domain	17	96	80
UniRef90_A0A9D1IKF2	357	CM_domain	1	70	70
UniRef90_A0A2N3U977	357	CM_domain	3	82	80
UniRef90_A0A7G1HTK4	357	CM_domain	1	69	69
UniRef90_I4A021	357	CM_domain	6	85	80
UniRef90_A0A840EPZ9	357	CM_domain	17	96	80
UniRef90_A0A379MR51	357	CM_domain	15	94	80
UniRef90_UPI0026018E72	357	CM_domain	7	86	80
UniRef90_A0A6G6BTJ0	355	CM_domain	1	80	80
UniRef90_UPI0023DA1DFD	357	CM_domain	30	109	80
UniRef90_UPI000E0ADDB1	357	CM_domain	16	91	76
UniRef90_UPI0027E429C4	357	CM_domain	1	78	78
UniRef90_UPI0020CE0327	357	CM_domain	10	89	80
UniRef90_S0FA49	355	CM_domain	18	97	80
UniRef90_A0A953IGM9	356	CM_domain	1	79	79
UniRef90_C9LD95	356	CM_domain	1	78	78
UniRef90_A0A915VKE6	356	CM_domain	8	87	80
UniRef90_A0ABY9R9P5	356	CM_domain	14	93	80
UniRef90_A0A1G4G2W9	356	CM_domain	1	59	59
UniRef90_A0A3P1XUL4	356	CM_domain	1	80	80
UniRef90_A0A7L4UPD3	356	CM_domain	1	76	76
UniRef90_A0A4Q0U6R7	356	CM_domain	15	94	80
UniRef90_A0A133QJI7	356	CM_domain	16	95	80
UniRef90_M7N4E2	356	CM_domain	1	80	80
UniRef90_UPI0015AB26A2	356	CM_domain	24	103	80
UniRef90_UPI0006978442	356	CM_domain	1	78	78
UniRef90_A0A9D9E249	355	CM_domain	12	91	80
UniRef90_A0A7W5DSD6	355	CM_domain	3	82	80
UniRef90_A0AA37SX39	355	CM_domain	13	92	80
UniRef90_A0ABR4YM29	355	CM_domain	10	89	80
UniRef90_A0A0S2HZE9	355	CM_domain	1	80	80
UniRef90_A0A174SB57	355	CM_domain	15	94	80
UniRef90_A0A5M8P0E6	355	CM_domain	1	69	69
UniRef90_UPI00359C2103	355	CM_domain	14	93	80
UniRef90_UPI002965F500	355	CM_domain	12	91	80
UniRef90_UPI0025FCBD54	355	CM_domain	6	85	80
UniRef90_UPI000981171A	355	CM_domain	1	68	68
UniRef90_UPI001CD712E8	355	CM_domain	1	78	78
UniRef90_UPI000B97608E	355	CM_domain	1	61	61
UniRef90_UPI002621F26D	355	CM_domain	1	76	76
UniRef90_UPI00405637A3	355	CM_domain	3	82	80
UniRef90_UPI000F5DC0A0	355	CM_domain	1	73	73
UniRef90_UPI00345DFE69	355	CM_domain	3	82	80
UniRef90_UPI001FF3E8D8	355	CM_domain	8	87	80
UniRef90_UPI003B970656	355	CM_domain	1	79	79
UniRef90_A0A4Y8WQA2	354	CM_domain	1	75	75
UniRef90_A0A9D9HA46	354	CM_domain	3	82	80
UniRef90_A0A432LH70	354	CM_domain	1	67	67
UniRef90_A0A0D0I4V3	354	CM_domain	1	72	72
UniRef90_A0A5C8GKB3	354	CM_domain	15	94	80
UniRef90_A0A381SET9	354	CM_domain	11	90	80
UniRef90_UPI0026139DE2	354	CM_domain	1	67	67
UniRef90_A0ABY5UZ31	353	CM_domain	10	89	80
UniRef90_UPI0013D07D71	354	CM_domain	4	83	80
UniRef90_UPI001BA5B1FC	354	CM_domain	1	70	70
UniRef90_A0AAU7QSE8	353	CM_domain	1	76	76
UniRef90_G5H8M1	353	CM_domain	7	86	80
UniRef90_A0A9D1UHQ4	353	CM_domain	7	86	80
UniRef90_A0A916NK96	353	CM_domain	16	95	80
UniRef90_UPI001C8E5C87	353	CM_domain	10	89	80
UniRef90_UPI0012BCBD97	353	CM_domain	1	76	76
UniRef90_UPI001FAFCD8D	353	CM_domain	1	66	66
UniRef90_A0A9D9N595	352	CM_domain	1	73	73
UniRef90_A0A9D9GYB2	352	CM_domain	1	75	75
UniRef90_A0A6G6BTY1	351	CM_domain	1	79	79
UniRef90_A0AAU7QR08	351	CM_domain	1	76	76
UniRef90_A0A2W2AYM1	351	CM_domain	2	81	80
UniRef90_UPI003557C339	350	CM_domain	8	87	80
UniRef90_E0TJN8	348	CM_domain	1	68	68
UniRef90_A0A9D9DSF8	342	CM_domain	7	75	69
UniRef90_UPI0009E82FBD	331	CM_domain	1	36	36
UniRef90_L7VFS8	328	CM_domain	2	58	57
UniRef90_UPI002B21C54A	326	CM_domain	4	46	43
UniRef90_A0A395M225	676	CM_domain	14	93	80
UniRef90_A0A8S5S2K8	670	CM_domain	1	76	76
UniRef90_A0ABS7CX35	661	CM_domain	17	96	80
UniRef90_A0A8H9H3Y0	588	CM_domain	8	123	116
UniRef90_UPI001E52AAA7	531	CM_domain	15	94	80
