seq_id	n_ext_len	n_ext_relaxed	n_ext_strict	insert_len	insert_relaxed	insert_strict	act_hmm_relaxed	act_hmm_strict	cm_hmm_relaxed	cm_hmm_strict	c_ext_len	c_ext_relaxed	c_ext_strict	c_residual_relaxed	c_residual_strict	trait_asr_priority
UniRef90_A0A507AZ94	60	1	1	0	0	0	0	0	0	0	9	0	0	0	0	primary_orthogonal
UniRef90_UPI001FD84FB5	60	1	1	0	0	0	0	0	0	0	10	1	0	1	0	secondary_residual
UniRef90_A0AAE0I6B8	17	1	0	0	0	0	0	0	0	0	46	1	1	1	1	secondary_residual
UniRef90_A0A2X0KLJ2	44	1	1	0	0	0	0	0	0	0	34	1	1	1	1	secondary_residual
UniRef90_G4T5B4	65	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A813ZE00	65	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0AA40BX07	58	1	1	0	0	0	0	0	0	0	9	0	0	0	0	primary_orthogonal
UniRef90_A0A087ECF0	74	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A087BTF7	63	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0ABW8N4D1	14	1	0	0	0	0	0	0	0	0	112	1	1	1	1	secondary_residual
UniRef90_UPI00044077F1	38	1	1	0	0	0	0	0	0	0	16	1	0	1	0	secondary_residual
UniRef90_A0A1E3Q375	5	0	0	0	0	0	0	0	0	0	32	1	1	1	1	secondary_residual
UniRef90_A0A4Y9Z858	3	0	0	11	1	1	0	0	0	0	34	1	1	1	1	secondary_residual
UniRef90_A0A1B7NA63	4	0	0	0	0	0	0	0	0	0	53	1	1	1	1	secondary_residual
UniRef90_A0AA41QGQ3	22	1	0	0	0	0	0	0	0	0	40	1	1	1	1	secondary_residual
UniRef90_A0ABX0DDS4	49	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A138ZWQ9	63	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0C9YNJ7	10	1	0	0	0	0	0	0	0	0	44	1	1	1	1	secondary_residual
UniRef90_F2BAF5	77	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_U5E8U8	3	0	0	0	0	0	0	0	0	0	55	1	1	1	1	secondary_residual
UniRef90_UPI003689F542	46	1	1	0	0	0	0	0	0	0	25	1	1	1	1	secondary_residual
UniRef90_UPI0003621A3E	62	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0L0TC48	49	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_B8DVX4	54	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI0023F8E677	62	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A5C3MS71	39	1	1	0	0	0	0	0	0	0	17	1	0	1	0	secondary_residual
UniRef90_A0A6G8PV92	65	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A5M9ZZV5	62	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0P9ZPN8	60	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A0C2XVN7	30	1	1	0	0	0	0	0	0	0	19	1	0	1	0	secondary_residual
UniRef90_A0A4Y9ZD98	51	1	1	0	0	0	0	0	0	0	11	1	0	1	0	secondary_residual
UniRef90_A0A2P7YLJ4	5	0	0	0	0	0	0	0	0	0	56	1	1	1	1	secondary_residual
UniRef90_A0A9Q3GH55	51	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A087AGB1	60	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0ABP6PGQ7	63	1	1	0	0	0	0	0	0	0	7	0	0	0	0	primary_orthogonal
UniRef90_A0A433MVR6	2	0	0	0	0	0	0	0	0	0	53	1	1	1	1	secondary_residual
UniRef90_UPI001C9731D2	61	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0A8H5H419	34	1	1	0	0	0	0	0	0	0	13	1	0	1	0	secondary_residual
UniRef90_A0A066WIB7	6	0	0	0	0	0	0	0	0	0	46	1	1	1	1	secondary_residual
UniRef90_A0A316V189	3	0	0	0	0	0	0	0	0	0	50	1	1	1	1	secondary_residual
UniRef90_A0A4R1BSC7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI0024B9BB47	41	1	1	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A316YQE4	7	0	0	0	0	0	0	0	0	0	47	1	1	1	1	secondary_residual
UniRef90_A0A316V5L8	6	0	0	0	0	0	0	0	0	0	42	1	1	1	1	secondary_residual
UniRef90_C4JD73	56	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A2S579	55	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A8H4UU39	60	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A9P7YH90	49	1	1	0	0	0	0	0	0	0	8	0	0	0	0	primary_orthogonal
UniRef90_A0A511KAZ8	4	0	0	0	0	0	0	0	0	0	31	1	1	1	1	secondary_residual
UniRef90_A0A0D6R4W0	5	0	0	0	0	0	0	0	0	0	52	1	1	1	1	secondary_residual
UniRef90_A0A8J4AE96	29	1	1	0	0	0	0	0	0	0	32	1	1	1	1	secondary_residual
UniRef90_A0A3E2C4N5	63	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0Q0D0W0	67	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A366H345	56	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI000DEBFB9E	69	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A4R0QZ43	37	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A3D9V423	52	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A087VVP6	62	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A316W5B2	8	0	0	0	0	0	0	0	0	0	41	1	1	1	1	secondary_residual
UniRef90_A0ABR4MZW2	54	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A4S4LCZ3	34	1	1	0	0	0	0	0	0	0	12	1	0	1	0	secondary_residual
UniRef90_A0A087AY84	51	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A348HGD5	61	1	1	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A9P3B7I7	59	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A0M9EYR8	55	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A292Q070	37	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0A502LA71	46	1	1	0	0	0	0	0	0	0	7	0	0	0	0	primary_orthogonal
UniRef90_A0ABU8ZLM0	59	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0AA37WKS9	33	1	1	0	0	0	0	0	0	0	19	1	0	1	0	secondary_residual
UniRef90_UPI0028DCED88	53	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_UPI001ABCE146	6	0	0	0	0	0	0	0	0	0	49	1	1	1	1	secondary_residual
UniRef90_UPI0033F6AFC8	51	1	1	0	0	0	0	0	0	0	5	0	0	0	0	primary_orthogonal
UniRef90_UPI0026491CFB	48	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A0L0SIV2	50	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A1C7MEY8	39	1	1	0	0	0	0	0	0	0	8	0	0	0	0	primary_orthogonal
UniRef90_A0A292PXB1	40	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0A8H6U1N4	33	1	1	0	0	0	0	0	0	0	15	1	0	1	0	secondary_residual
UniRef90_Q7MNL4	53	1	1	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A6L9VZ57	56	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI00371AA815	11	1	0	0	0	0	0	0	0	0	39	1	1	1	1	secondary_residual
UniRef90_G4TQP6	45	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A401GY40	36	1	1	0	0	0	0	0	0	0	8	0	0	0	0	primary_orthogonal
UniRef90_A0A316ZB12	9	0	0	0	0	0	0	0	0	0	37	1	1	1	1	secondary_residual
UniRef90_A0A3N4Z8K8	35	1	1	0	0	0	0	0	0	0	14	1	0	1	0	secondary_residual
UniRef90_A0A5J6N2X5	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	primary_orthogonal
UniRef90_UPI0030188C31	26	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0A318M4Q4	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0ACC0U160	41	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0AAV0ATW0	28	1	1	0	0	0	0	0	0	0	26	1	1	1	1	secondary_residual
UniRef90_A0A450W8W1	52	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A101M8A9	51	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_C5DE97	37	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A7Y0ESA5	46	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A6I5MZP3	43	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_UPI00316D3994	8	0	0	0	0	0	0	0	0	0	31	1	1	1	1	secondary_residual
UniRef90_UPI0034CF24D1	2	0	0	0	0	0	0	0	0	0	28	1	1	1	1	secondary_residual
UniRef90_A0A4P9X961	14	1	0	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0ACD3AX12	36	1	1	0	0	0	0	0	0	0	5	0	0	0	0	primary_orthogonal
UniRef90_A0A0D2X467	42	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A366K787	47	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI0010C0FC50	60	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_UPI00190470D3	2	0	0	0	0	0	0	0	0	0	37	1	1	1	1	secondary_residual
UniRef90_A0AAN6V2P1	3	0	0	0	0	0	0	0	0	0	50	1	1	1	1	secondary_residual
UniRef90_A0AAW0G6Q6	29	1	1	0	0	0	0	0	0	0	8	0	0	0	0	primary_orthogonal
UniRef90_A0A9W9AEP5	34	1	1	0	0	0	0	0	0	0	8	0	0	0	0	primary_orthogonal
UniRef90_A0AAV0ANL5	22	1	0	0	0	0	0	0	0	0	17	1	0	1	0	secondary_residual
UniRef90_A0A8K0XKW4	6	0	0	0	0	0	0	0	0	0	22	1	0	1	0	secondary_residual
UniRef90_A0ACD0P750	7	0	0	0	0	0	0	0	0	0	33	1	1	1	1	secondary_residual
UniRef90_A0AA36MU28	39	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A2N8ZF54	44	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0A263D8V7	45	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI001CCC7BE9	59	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A9P6AMZ9	2	0	0	0	0	0	0	0	0	0	34	1	1	1	1	secondary_residual
UniRef90_A0AA39UDY5	18	1	0	0	0	0	0	0	0	0	9	0	0	0	0	primary_orthogonal
UniRef90_A0ABR2UFL5	6	0	0	0	0	0	0	0	0	0	99	1	1	1	1	secondary_residual
UniRef90_A0A316YD25	37	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A812Q7V8	33	1	1	0	0	0	0	0	0	0	6	0	0	0	0	primary_orthogonal
UniRef90_A0ABW0FHU7	15	1	0	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A9P6HE15	13	1	0	0	0	0	0	0	0	0	8	0	0	0	0	primary_orthogonal
UniRef90_A0A8H5FXM6	34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A5C3P2Z8	33	1	1	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A9P7G3P4	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0A1FB14	41	1	1	0	0	0	0	0	0	0	10	1	0	1	0	secondary_residual
UniRef90_A0A087EBR5	36	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A1G4YQL9	54	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0G0JHR0	70	1	1	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A0M9VPL4	6	0	0	0	0	0	0	0	0	0	26	1	1	1	1	secondary_residual
UniRef90_A0A0H2RK16	5	0	0	0	0	0	0	0	0	0	32	1	1	1	1	secondary_residual
UniRef90_A0A8H6CEP9	9	0	0	0	0	0	0	0	0	0	29	1	1	1	1	secondary_residual
UniRef90_A0A086ZE72	36	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0C3ATX7	38	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A3M7DTT8	29	1	1	0	0	0	0	0	0	0	5	0	0	0	0	primary_orthogonal
UniRef90_A0A6A1LJP9	32	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0C3PQM9	32	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A0G4FW50	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A7S0ADZ5	30	1	1	0	0	0	0	0	0	0	12	1	0	1	0	secondary_residual
UniRef90_A0ACC0VIJ2	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0AAF0F770	5	0	0	0	0	0	0	0	0	0	26	1	1	1	1	secondary_residual
UniRef90_A0A1M2V1W8	12	1	0	5	1	1	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0AAF0IQZ1	6	0	0	0	0	0	0	0	0	0	24	1	0	1	0	secondary_residual
UniRef90_A0AAF0EZ38	5	0	0	0	0	0	0	0	0	0	27	1	1	1	1	secondary_residual
UniRef90_A0A4V6T5J7	29	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A066VGE3	42	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0AA43TSX5	38	1	1	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_UPI0032D8DE05	41	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A8H7EZ21	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_G7E8Q7	7	0	0	0	0	0	0	0	0	0	23	1	0	1	0	secondary_residual
UniRef90_A0ACC3NWY2	2	0	0	0	0	0	0	0	0	0	14	1	0	1	0	secondary_residual
UniRef90_A0A517R5A0	41	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0ABT1JNX9	39	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_E6PWI1	37	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A2N1JF37	1	0	0	0	0	0	0	0	0	0	31	1	1	1	1	secondary_residual
UniRef90_A0A9P6JMV7	15	1	0	0	0	0	0	0	0	0	24	1	0	1	0	secondary_residual
UniRef90_A0A409YIM0	10	1	0	0	0	0	0	0	0	0	14	1	0	1	0	secondary_residual
UniRef90_A0A0C2WGV6	16	1	0	0	0	0	0	0	0	0	14	1	0	1	0	secondary_residual
UniRef90_B6QWH4	2	0	0	0	0	0	0	0	0	0	27	1	1	1	1	secondary_residual
UniRef90_A0A067Q5Z3	3	0	0	0	0	0	0	0	0	0	30	1	1	1	1	secondary_residual
UniRef90_A0A0G4EGN9	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0ABM8BE86	39	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI00397FA3DF	47	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A067MH88	5	0	0	0	0	0	0	0	0	0	22	1	0	1	0	secondary_residual
UniRef90_A0A8H3FZ91	35	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0A1Y1XCT5	12	1	0	0	0	0	0	0	0	0	14	1	0	1	0	secondary_residual
UniRef90_A0A1V8TBW4	16	1	0	0	0	0	0	0	0	0	6	0	0	0	0	primary_orthogonal
UniRef90_A0A9N8VHG4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A2N7VBG7	5	0	0	0	0	0	0	0	0	0	12	1	0	1	0	secondary_residual
UniRef90_A0AA37S8Q9	34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0ABS1LLY6	29	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A971CY33	40	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A8J4AAE3	1	0	0	0	0	0	0	0	0	0	30	1	1	1	1	secondary_residual
UniRef90_A0A928V3Q0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A507DSU7	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A1Q3EF29	41	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A8H5MD37	26	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A4Y8MP18	33	1	1	0	0	0	0	0	0	0	7	0	0	0	0	primary_orthogonal
UniRef90_A0A3P5WZZ3	11	1	0	0	0	0	0	0	0	0	12	1	0	1	0	secondary_residual
UniRef90_UPI0022FDE365	33	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI002B21383A	1	0	0	0	0	0	0	0	0	0	29	1	1	1	1	secondary_residual
UniRef90_UPI0022FE98BE	18	1	0	0	0	0	0	0	0	0	10	1	0	1	0	secondary_residual
UniRef90_UPI0034D01617	3	0	0	0	0	0	0	0	0	0	15	1	0	1	0	secondary_residual
UniRef90_UPI00221F57E9	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0ABV6PYB6	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0AAV5A7A2	14	1	0	0	0	0	0	0	0	0	12	1	0	1	0	secondary_residual
UniRef90_E3KLT7	25	1	1	0	0	0	0	0	0	0	17	1	0	1	0	secondary_residual
UniRef90_A0AAF1BQI8	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A4Q1BVR2	2	0	0	0	0	0	0	0	0	0	22	1	0	1	0	secondary_residual
UniRef90_A0A167SDN7	2	0	0	0	0	0	0	0	0	0	27	1	1	1	1	secondary_residual
UniRef90_A0A3G8ZNK1	22	1	0	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0A975B9U6	48	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A840NJC5	43	1	1	0	0	0	0	0	0	0	4	0	0	0	0	primary_orthogonal
UniRef90_A0A975J041	35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A2U7UDK3	24	1	0	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A831RVF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0AAF0J247	2	0	0	0	0	0	0	0	0	0	29	1	1	1	1	secondary_residual
UniRef90_A0A1J7J719	25	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A5C3Q4R1	10	1	0	0	0	0	0	0	0	0	19	1	0	1	0	secondary_residual
UniRef90_A0A163PR94	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0ABY3W8C6	28	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_U4KX81	23	1	0	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0AAF0JFP5	2	0	0	0	0	0	0	0	0	0	27	1	1	1	1	secondary_residual
UniRef90_A0A2T9YRM6	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A8H6TQ72	9	0	0	0	0	0	0	0	0	0	13	1	0	1	0	secondary_residual
UniRef90_A0A9W4JGH3	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A4Y7QIY5	17	1	0	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A1Y2HLL2	25	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A0G4HXA7	15	1	0	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A7S2KAV3	19	1	0	0	0	0	0	0	0	0	47	1	1	1	1	secondary_residual
UniRef90_A0A261G8S2	33	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A4P6DZZ4	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A143WMH3	44	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_UPI000E56B39E	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_F4NXT9	27	1	1	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A3G2SCK5	2	0	0	0	0	0	0	0	0	0	26	1	1	1	1	secondary_residual
UniRef90_F4RG40	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A067PI84	13	1	0	0	0	0	0	0	0	0	12	1	0	1	0	secondary_residual
UniRef90_A0ABW4L3D7	20	1	0	0	0	0	0	0	0	0	5	0	0	0	0	primary_orthogonal
UniRef90_A0ABM8B6N3	40	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
