seq_id	N_ext	alpha2beta3_insert	ACT_domain	CM_domain	C_tail	boundary_confidence
UniRef90_A0A8J4AE96	1	0	0	0	1	high
UniRef90_A0A3E2C4N5	1	0	0	0	0	high
UniRef90_A0A0Q0D0W0	1	0	0	0	0	high
UniRef90_A0A366H345	1	0	0	0	0	high
UniRef90_UPI000DEBFB9E	1	0	0	0	0	high
UniRef90_A0A4R0QZ43	1	0	0	0	0	high
UniRef90_A0A3D9V423	1	0	0	0	0	high
UniRef90_A0A087VVP6	1	0	0	0	0	high
UniRef90_A0A316W5B2	0	0	0	0	1	high
UniRef90_A0ABR4MZW2	1	0	0	0	0	high
UniRef90_A0A4S4LCZ3	1	0	0	0	1	medium
UniRef90_A0A087AY84	1	0	0	0	0	high
UniRef90_A0A348HGD5	1	0	0	0	0	high
UniRef90_A0A9P3B7I7	1	0	0	0	0	high
UniRef90_A0A0M9EYR8	1	0	0	0	0	high
UniRef90_A0A292Q070	1	0	0	0	0	high
UniRef90_A0A502LA71	1	0	0	0	0	high
UniRef90_A0ABU8ZLM0	1	0	0	0	0	high
UniRef90_A0AA37WKS9	1	0	0	0	1	medium
UniRef90_UPI0028DCED88	1	0	0	0	0	high
UniRef90_UPI001ABCE146	0	0	0	0	1	high
UniRef90_UPI0033F6AFC8	1	0	0	0	0	high
UniRef90_UPI0026491CFB	1	0	0	0	0	high
UniRef90_A0A0L0SIV2	1	0	0	0	0	high
UniRef90_A0A1C7MEY8	1	0	0	0	0	high
UniRef90_A0A292PXB1	1	0	0	0	0	high
UniRef90_A0A8H6U1N4	1	0	0	0	1	medium
UniRef90_Q7MNL4	1	0	0	0	0	high
UniRef90_A0A6L9VZ57	1	0	0	0	0	high
UniRef90_UPI00371AA815	1	0	0	0	1	medium
UniRef90_G4TQP6	1	0	0	0	0	high
UniRef90_A0A401GY40	1	0	0	0	0	high
UniRef90_A0A316ZB12	0	0	0	0	1	high
UniRef90_A0A3N4Z8K8	1	0	0	0	1	medium
UniRef90_A0A5J6N2X5	0	0	0	0	0	high
UniRef90_UPI0030188C31	1	0	0	0	0	high
UniRef90_A0A318M4Q4	1	0	0	0	0	high
UniRef90_A0ACC0U160	1	0	0	0	0	high
UniRef90_A0AAV0ATW0	1	0	0	0	1	high
UniRef90_A0A450W8W1	1	0	0	0	0	high
UniRef90_A0A101M8A9	1	0	0	0	0	high
UniRef90_C5DE97	1	0	0	0	0	high
UniRef90_A0A7Y0ESA5	1	0	0	0	0	high
UniRef90_A0A6I5MZP3	1	0	0	0	0	high
UniRef90_UPI00316D3994	0	0	0	0	1	high
UniRef90_UPI0034CF24D1	0	0	0	0	1	high
UniRef90_A0A4P9X961	1	0	0	0	0	medium
UniRef90_A0ACD3AX12	1	0	0	0	0	high
UniRef90_A0A0D2X467	1	0	0	0	0	high
UniRef90_A0A366K787	1	0	0	0	0	high
UniRef90_UPI0010C0FC50	1	0	0	0	0	high
UniRef90_UPI00190470D3	0	0	0	0	1	high
UniRef90_A0AAN6V2P1	0	0	0	0	1	high
UniRef90_A0AAW0G6Q6	1	0	0	0	0	high
UniRef90_A0A9W9AEP5	1	0	0	0	0	high
UniRef90_A0AAV0ANL5	1	0	0	0	1	medium
UniRef90_A0A8K0XKW4	0	0	0	0	1	medium
UniRef90_A0ACD0P750	0	0	0	0	1	high
UniRef90_A0AA36MU28	1	0	0	0	0	high
UniRef90_A0A2N8ZF54	1	0	0	0	0	high
UniRef90_A0A263D8V7	1	0	0	0	0	high
UniRef90_UPI001CCC7BE9	1	0	0	0	0	high
UniRef90_A0A9P6AMZ9	0	0	0	0	1	high
UniRef90_A0AA39UDY5	1	0	0	0	0	medium
UniRef90_A0ABR2UFL5	0	0	0	0	1	high
UniRef90_A0A316YD25	1	0	0	0	0	high
UniRef90_A0A812Q7V8	1	0	0	0	0	high
UniRef90_A0ABW0FHU7	1	0	0	0	0	medium
UniRef90_A0A9P6HE15	1	0	0	0	0	medium
UniRef90_A0A8H5FXM6	1	0	0	0	0	high
UniRef90_A0A5C3P2Z8	1	0	0	0	0	high
UniRef90_A0A9P7G3P4	1	0	0	0	0	medium
UniRef90_A0A0A1FB14	1	0	0	0	1	medium
UniRef90_A0A087EBR5	1	0	0	0	0	high
UniRef90_A0A1G4YQL9	1	0	0	0	0	high
UniRef90_A0A0G0JHR0	1	0	0	0	0	high
UniRef90_A0A0M9VPL4	0	0	0	0	1	high
UniRef90_A0A0H2RK16	0	0	0	0	1	high
UniRef90_A0A8H6CEP9	0	0	0	0	1	high
UniRef90_A0A086ZE72	1	0	0	0	0	high
UniRef90_A0A0C3ATX7	1	0	0	0	0	high
UniRef90_A0A3M7DTT8	1	0	0	0	0	high
UniRef90_A0A6A1LJP9	1	0	0	0	0	high
UniRef90_A0A0C3PQM9	1	0	0	0	0	high
UniRef90_A0A0G4FW50	1	0	0	0	0	medium
UniRef90_A0A7S0ADZ5	1	0	0	0	1	medium
UniRef90_A0ACC0VIJ2	1	0	0	0	0	high
UniRef90_A0AAF0F770	0	0	0	0	1	high
UniRef90_A0A1M2V1W8	1	1	0	0	0	medium
UniRef90_A0AAF0IQZ1	0	0	0	0	1	medium
UniRef90_A0AAF0EZ38	0	0	0	0	1	high
UniRef90_A0A4V6T5J7	1	0	0	0	0	high
UniRef90_A0A066VGE3	1	0	0	0	0	high
UniRef90_A0AA43TSX5	1	0	0	0	0	high
UniRef90_UPI0032D8DE05	1	0	0	0	0	high
UniRef90_A0A8H7EZ21	1	0	0	0	0	high
UniRef90_G7E8Q7	0	0	0	0	1	medium
UniRef90_A0ACC3NWY2	0	0	0	0	1	medium
UniRef90_A0A517R5A0	1	0	0	0	0	high
UniRef90_A0ABT1JNX9	1	0	0	0	0	high
UniRef90_E6PWI1	1	0	0	0	0	high
UniRef90_A0A2N1JF37	0	0	0	0	1	high
UniRef90_A0A9P6JMV7	1	0	0	0	1	medium
UniRef90_A0A409YIM0	1	0	0	0	1	medium
UniRef90_A0A0C2WGV6	1	0	0	0	1	medium
UniRef90_B6QWH4	0	0	0	0	1	high
UniRef90_A0A067Q5Z3	0	0	0	0	1	high
UniRef90_A0A0G4EGN9	1	0	0	0	0	medium
UniRef90_A0ABM8BE86	1	0	0	0	0	high
UniRef90_UPI00397FA3DF	1	0	0	0	0	high
UniRef90_A0A067MH88	0	0	0	0	1	medium
UniRef90_A0A8H3FZ91	1	0	0	0	0	high
UniRef90_A0A1Y1XCT5	1	0	0	0	1	medium
UniRef90_A0A1V8TBW4	1	0	0	0	0	medium
UniRef90_A0A9N8VHG4	0	0	0	0	0	high
UniRef90_A0A2N7VBG7	0	0	0	0	1	medium
UniRef90_A0AA37S8Q9	1	0	0	0	0	high
UniRef90_A0ABS1LLY6	1	0	0	0	0	high
UniRef90_A0A971CY33	1	0	0	0	0	high
UniRef90_A0A8J4AAE3	0	0	0	0	1	high
UniRef90_A0A928V3Q0	0	0	0	0	0	high
UniRef90_A0A507DSU7	1	0	0	0	0	medium
UniRef90_A0A1Q3EF29	1	0	0	0	0	high
UniRef90_A0A8H5MD37	1	0	0	0	0	high
UniRef90_A0A4Y8MP18	1	0	0	0	0	high
UniRef90_A0A3P5WZZ3	1	0	0	0	1	medium
UniRef90_UPI0022FDE365	1	0	0	0	0	high
UniRef90_UPI002B21383A	0	0	0	0	1	high
UniRef90_UPI0022FE98BE	1	0	0	0	1	medium
UniRef90_UPI0034D01617	0	0	0	0	1	medium
UniRef90_UPI00221F57E9	1	0	0	0	0	high
UniRef90_A0ABV6PYB6	0	0	0	0	0	high
UniRef90_A0AAV5A7A2	1	0	0	0	1	medium
UniRef90_E3KLT7	1	0	0	0	1	medium
UniRef90_A0AAF1BQI8	0	0	0	0	0	high
UniRef90_A0A4Q1BVR2	0	0	0	0	1	medium
UniRef90_A0A167SDN7	0	0	0	0	1	high
UniRef90_A0A3G8ZNK1	1	0	0	0	0	medium
UniRef90_A0A975B9U6	1	0	0	0	0	high
UniRef90_A0A840NJC5	1	0	0	0	0	high
UniRef90_A0A975J041	1	0	0	0	0	high
UniRef90_A0A2U7UDK3	1	0	0	0	0	medium
UniRef90_A0A831RVF1	0	0	0	0	0	high
UniRef90_A0AAF0J247	0	0	0	0	1	high
UniRef90_A0A1J7J719	1	0	0	0	0	high
UniRef90_A0A5C3Q4R1	1	0	0	0	1	medium
UniRef90_A0A163PR94	1	0	0	0	0	high
UniRef90_A0ABY3W8C6	1	0	0	0	0	high
UniRef90_U4KX81	1	0	0	0	0	medium
UniRef90_A0AAF0JFP5	0	0	0	0	1	high
UniRef90_A0A2T9YRM6	1	0	0	0	0	medium
UniRef90_A0A8H6TQ72	0	0	0	0	1	medium
UniRef90_A0A9W4JGH3	1	0	0	0	0	medium
UniRef90_A0A4Y7QIY5	1	0	0	0	0	medium
UniRef90_A0A1Y2HLL2	1	0	0	0	0	high
UniRef90_A0A0G4HXA7	1	0	0	0	0	medium
UniRef90_A0A7S2KAV3	1	0	0	0	1	medium
UniRef90_A0A261G8S2	1	0	0	0	0	high
UniRef90_A0A4P6DZZ4	1	0	0	0	0	high
UniRef90_A0A143WMH3	1	0	0	0	0	high
UniRef90_UPI000E56B39E	0	0	0	0	0	high
UniRef90_F4NXT9	1	0	0	0	0	high
UniRef90_A0A3G2SCK5	0	0	0	0	1	high
UniRef90_F4RG40	1	0	0	0	0	high
UniRef90_A0A067PI84	1	0	0	0	1	medium
UniRef90_A0ABW4L3D7	1	0	0	0	0	medium
UniRef90_A0ABM8B6N3	1	0	0	0	0	high
UniRef90_UPI00044172ED	1	0	0	0	0	medium
UniRef90_UPI00221E3DD8	0	0	0	0	0	high
UniRef90_UPI0025485208	1	0	0	0	0	high
UniRef90_A0A1Y2EQ04	0	0	0	0	0	high
UniRef90_A0A9P7RS56	1	0	0	0	0	high
UniRef90_A0A8H7ZW20	1	0	0	0	0	high
UniRef90_F4RQ33	1	0	0	0	0	medium
UniRef90_A0A9P6NJW7	1	0	0	0	0	medium
UniRef90_A0A0C3DMJ3	1	0	0	0	1	medium
UniRef90_A0A261EU12	1	0	0	0	0	high
UniRef90_Q2A710	1	0	0	0	0	medium
UniRef90_A0AA39N7U8	1	0	0	0	0	medium
UniRef90_A0A550CEF7	1	0	0	0	0	medium
UniRef90_A0A0D6ERN3	1	0	0	0	0	high
UniRef90_A0A316U9H6	1	0	0	0	0	high
UniRef90_C0EHU6	1	0	0	0	0	high
UniRef90_A0A366KCA8	1	0	0	0	0	medium
UniRef90_A0A381EDZ1	0	0	0	0	0	high
UniRef90_A0A931CGH2	0	0	0	0	1	medium
UniRef90_H8YY57	1	0	0	0	0	high
UniRef90_A0A9P8K3P3	0	0	0	0	0	high
UniRef90_A0A427YK30	0	0	0	0	0	high
UniRef90_A0A8H3EZR2	1	0	0	0	0	medium
UniRef90_A0ACB8QEL6	1	0	0	0	0	high
UniRef90_A0AAD7VWW1	1	0	0	0	0	medium
UniRef90_A0ABQ8FKR2	1	0	0	0	0	high
UniRef90_A0A9P7RQF8	1	0	0	0	0	high
UniRef90_A0A4Z0YPL9	0	0	0	0	1	high
UniRef90_Q82W64	1	0	0	0	0	medium
UniRef90_A0A401FWT5	1	0	0	0	0	high
UniRef90_A0A2S4K1P7	0	0	0	0	1	high
UniRef90_A0A5A7NQR0	1	0	0	0	0	medium
UniRef90_UPI001D058734	1	0	0	0	1	medium
UniRef90_A0A507DBH7	1	0	0	0	0	medium
UniRef90_A0A8H3PI62	0	0	0	0	1	medium
UniRef90_A0A8H5D5Z5	1	0	0	0	0	medium
UniRef90_A0A3D8QFN4	0	0	0	0	1	high
UniRef90_C1G0J6	0	0	0	0	1	medium
UniRef90_A0A427XI95	0	0	0	0	1	medium
UniRef90_A0A427Y5A9	1	0	0	0	0	medium
UniRef90_A0A316VDA8	1	0	0	0	0	high
UniRef90_A0A5P2HA21	0	0	0	0	0	high
UniRef90_A0A4R6QSY9	1	0	0	0	1	medium
UniRef90_D1BZT6	1	0	0	0	0	high
UniRef90_A0A261F324	1	0	0	0	0	medium
UniRef90_A0A1H1XG36	1	0	0	0	0	medium
UniRef90_A0A5C6E588	1	0	0	0	0	high
UniRef90_UPI003F389018	1	0	0	0	1	medium
UniRef90_UPI0007C78840	0	0	0	0	1	high
UniRef90_UPI0034CE8AF5	1	0	0	0	0	medium
UniRef90_A0A5E8BN98	1	0	0	0	0	medium
UniRef90_A0AAD5YIG0	0	0	0	0	0	high
UniRef90_A0A9P6NKM9	1	0	0	0	0	medium
UniRef90_A0A423W2K6	0	0	0	0	1	high
UniRef90_A0A8J3JAI2	1	0	0	0	1	medium
UniRef90_D2Q8C2	1	0	0	0	0	high
UniRef90_A0A927J0Q4	1	0	0	0	0	medium
UniRef90_UPI000A5E3CF1	1	0	0	0	0	high
UniRef90_UPI0039A01E84	0	0	0	0	1	medium
UniRef90_UPI0018A93DE3	1	0	0	0	0	medium
UniRef90_UPI000F4A47F9	0	0	0	0	0	high
UniRef90_A0AAJ0DM75	1	0	0	0	1	medium
UniRef90_A0A8H8R5Q4	1	0	0	0	0	high
UniRef90_A0A0D7BHZ3	1	0	0	0	0	medium
UniRef90_A0A2T9Z8D3	1	0	0	0	0	medium
UniRef90_A0AAD5LJC3	1	0	0	0	0	medium
UniRef90_Q8FQR5	1	0	0	0	0	high
UniRef90_A0A1H4LER5	1	0	0	0	0	medium
UniRef90_A0A1I3IR31	1	0	0	0	1	medium
UniRef90_D4XDH5	1	0	0	0	0	medium
UniRef90_A0ABT1I0F3	1	0	0	0	1	medium
UniRef90_A0A0S4KVG8	1	0	0	0	0	high
UniRef90_A0A6N9YRV2	1	0	0	0	0	high
UniRef90_UPI002548D957	0	0	0	0	1	medium
UniRef90_UPI00331FB835	0	0	0	0	1	medium
UniRef90_UPI0036419ECA	0	0	0	0	1	medium
UniRef90_Q5EMW0	0	0	0	0	0	high
UniRef90_A0A6J5G3C5	1	0	0	0	0	medium
UniRef90_A0A2T9YI52	1	0	0	0	0	medium
UniRef90_A0A0E9NB47	1	0	0	0	0	medium
UniRef90_A0ACB9YRW4	0	0	0	0	1	high
UniRef90_A0A420I997	1	0	0	0	0	medium
UniRef90_A0AAD5TXB5	1	0	0	0	0	medium
UniRef90_A0A9P7V5P3	1	0	0	0	0	high
UniRef90_A0A1V6R9P5	0	0	0	0	1	medium
UniRef90_A0A0G4JZ76	1	0	0	0	0	high
UniRef90_A0A375A9G9	1	0	0	0	0	medium
UniRef90_UPI003C717785	0	0	0	0	1	high
UniRef90_UPI00101DCF7F	1	0	0	0	0	high
UniRef90_N1J5S9	0	0	0	0	0	high
UniRef90_A0AAD5TBU9	1	0	0	0	0	medium
UniRef90_A0A180GM11	0	0	0	0	1	medium
UniRef90_A8NJE5	1	0	0	0	0	medium
UniRef90_A0A024UCE8	1	0	0	0	1	medium
UniRef90_A0ABM8BE60	1	0	0	0	0	medium
UniRef90_I0HK76	0	0	0	0	0	high
UniRef90_A0ABV8R4E6	0	0	0	0	0	high
UniRef90_W5IIN5	1	0	0	0	0	medium
UniRef90_A0A087VV82	1	0	0	0	0	medium
UniRef90_A0ABP7MDB8	1	0	0	0	0	medium
UniRef90_A0A6D2G935	0	0	0	0	1	high
UniRef90_A0A433S9X2	1	0	0	0	0	medium
UniRef90_A0A2A7UZF9	1	0	0	0	0	medium
UniRef90_A0A8H6SDR7	1	0	0	0	0	medium
UniRef90_A0A8H5G861	1	0	0	0	0	medium
UniRef90_A0AAD7X848	1	0	0	0	1	medium
UniRef90_A0A162IIU2	1	0	0	0	0	medium
UniRef90_A0A0J1ATL5	0	0	0	0	0	high
UniRef90_A0A6A7A6T7	1	0	0	0	0	medium
UniRef90_A0A2A9PJB7	1	0	0	0	0	medium
UniRef90_A0A7S1J515	1	0	0	0	0	high
UniRef90_B8ARY1	1	0	0	0	0	medium
UniRef90_A0A238HC61	1	0	0	0	1	medium
UniRef90_A0AAP4TX40	1	0	0	0	0	high
UniRef90_A0A0F4KXK9	1	0	0	0	0	medium
UniRef90_A0A4Y1YII1	0	0	0	0	0	high
UniRef90_A0A7H0I286	1	0	0	0	0	high
UniRef90_A0A379C8U9	1	0	0	0	0	medium
UniRef90_A0A1G7P3V8	1	0	0	0	0	high
UniRef90_A0ABM8B6C0	1	0	0	0	0	medium
UniRef90_A0A1K2H586	1	0	0	0	0	high
UniRef90_A0A251X9M4	0	0	0	0	0	high
UniRef90_UPI00086F8E1E	0	0	0	0	0	high
UniRef90_A0A1R0H5H8	1	0	0	0	0	medium
UniRef90_A0A507E9D0	1	0	0	0	0	medium
UniRef90_A0A7H8QN86	1	0	0	0	1	medium
UniRef90_A0A433DM71	1	0	0	0	0	medium
UniRef90_A0A0G4IK71	1	0	0	0	0	medium
UniRef90_A0A2A2ALZ9	0	0	0	0	1	medium
UniRef90_A0AAW8DDH3	0	0	0	0	1	high
UniRef90_A0A2M9H973	1	0	0	0	0	medium
UniRef90_L8N3F0	1	0	0	0	0	medium
UniRef90_A0A1G9QJ43	1	0	0	0	0	high
UniRef90_A0A2X2CLF9	1	0	0	0	0	medium
UniRef90_A0A8H9MBA4	0	0	0	0	1	medium
UniRef90_A0A1N7RY87	0	0	0	0	1	medium
UniRef90_A0A1B8SP49	0	0	0	0	0	high
UniRef90_A0A4U3FLI2	0	0	0	0	0	high
UniRef90_UPI0027E5A8F1	0	0	0	0	1	medium
UniRef90_UPI0022FF2913	1	0	0	0	0	medium
UniRef90_A0A2W1EI09	0	0	0	0	0	high
UniRef90_A0A507BZ00	1	0	0	0	0	medium
UniRef90_A0A164T5R1	0	0	0	0	1	medium
UniRef90_A0A1E3HSF2	0	0	0	0	0	high
UniRef90_A0A507EA44	1	0	0	0	0	medium
UniRef90_A0A9Q3D8S9	1	0	0	0	0	medium
UniRef90_A0A0F7SPP3	0	0	0	0	0	high
UniRef90_A0A6J4VK53	1	0	0	0	0	high
UniRef90_Q65TB9	1	0	0	0	0	medium
UniRef90_A0A1W1YIE7	1	0	0	0	0	medium
UniRef90_A0A7G5EMN9	0	0	0	0	0	high
UniRef90_A0A0G3GNM6	0	0	0	0	0	high
UniRef90_A0ABP7S307	0	0	0	0	0	high
UniRef90_UPI0037433507	1	0	0	0	0	medium
UniRef90_UPI00195C8EE2	1	0	0	0	0	medium
UniRef90_A0ABR8YKE2	0	0	0	0	0	high
UniRef90_UPI00386D5882	0	0	0	0	1	medium
UniRef90_A0AAE3AKL3	0	0	0	0	0	high
UniRef90_T1AZL3	0	0	0	0	1	medium
UniRef90_UPI0014226AB2	0	0	0	0	1	medium
UniRef90_A0A8H7AM63	0	0	0	0	0	high
UniRef90_A5DB91	1	0	0	0	0	high
UniRef90_A0ABR0TQR7	1	0	0	0	0	medium
UniRef90_A0A6J4VR39	1	0	0	0	0	high
UniRef90_A0A6S7BH94	1	0	0	0	0	medium
UniRef90_A0A261EU31	1	0	0	0	0	medium
UniRef90_A0A940YKB5	1	0	0	0	0	medium
UniRef90_A0A5P9Q6Q7	1	0	0	0	0	medium
UniRef90_A0A246JC59	1	0	0	0	0	medium
UniRef90_B2VHI2	1	0	0	0	0	medium
UniRef90_A0ABU9CM48	1	0	0	0	0	medium
UniRef90_UPI003D2D6D1B	1	0	0	0	0	medium
UniRef90_UPI0033F1D303	1	0	0	0	0	medium
UniRef90_UPI0025455B83	1	0	0	0	1	high
UniRef90_UPI003DA77392	0	0	0	0	0	high
UniRef90_UPI0004416C92	0	0	0	0	0	high
UniRef90_UPI001D05588C	1	0	0	0	0	medium
UniRef90_A0A9P6KBJ1	1	0	0	0	0	medium
UniRef90_A0A9W8JPT0	0	0	0	0	0	high
UniRef90_A0A0F8DDQ1	0	0	0	0	0	high
UniRef90_G7E579	0	0	0	0	0	high
UniRef90_A0A8H7PPN2	1	0	0	0	0	medium
UniRef90_A0A316ZE79	1	0	0	0	0	medium
UniRef90_A0AA43TZH5	0	0	0	0	0	high
UniRef90_A0A813S7H2	0	0	0	0	1	medium
UniRef90_A0AAE3JJ77	0	0	0	0	1	medium
UniRef90_A0A2M9BU25	1	0	0	0	0	medium
UniRef90_A0ABS9LA47	0	0	0	0	0	high
UniRef90_A0A133P1H5	1	0	0	0	0	medium
UniRef90_A0A970BAP5	1	0	0	0	0	medium
UniRef90_A0ABN1JQB9	1	0	0	0	0	medium
UniRef90_A0A971CYC7	1	0	0	0	0	medium
UniRef90_A0A839RZP9	1	0	0	0	0	medium
UniRef90_A0A1I1B7Z4	1	0	0	0	0	medium
UniRef90_UPI001B706126	1	0	0	0	0	medium
UniRef90_A0A1Y3U7B9	0	0	0	0	0	high
UniRef90_UPI00391A722E	0	0	0	0	0	high
UniRef90_UPI00367A8788	1	0	0	0	0	high
UniRef90_UPI001F22404F	0	0	0	0	0	high
UniRef90_UPI001421B888	0	0	0	0	0	high
UniRef90_UPI00210A3180	1	0	0	0	0	medium
UniRef90_A0A4T0FX58	1	0	0	0	0	medium
UniRef90_A0A9P6JP82	0	0	0	0	0	high
UniRef90_A0AAD5S6Z9	1	0	0	0	0	medium
UniRef90_A0AAN6ZAA1	0	0	0	0	1	high
UniRef90_A0A0C2W198	1	0	0	0	0	medium
UniRef90_A0A9P5G3L3	0	0	0	0	0	high
UniRef90_A0ACB8Q4W9	1	0	0	0	0	medium
UniRef90_A0A1R1PKS4	1	0	0	0	0	medium
UniRef90_A0A6A4H2S7	1	0	0	0	0	medium
UniRef90_A0A167ECD3	0	0	0	0	0	high
UniRef90_A0A8H4J9W9	1	0	0	0	0	medium
UniRef90_A0A165JZC4	0	0	0	0	0	high
UniRef90_A0A344TZ29	0	0	0	0	1	medium
UniRef90_A0A8J3C7L1	1	0	0	0	0	medium
UniRef90_A0ABU9C9E4	1	0	0	0	0	medium
UniRef90_A0ABN3BYI8	1	0	0	0	0	medium
UniRef90_A0A177HWP4	1	0	0	0	0	medium
UniRef90_A0A238VNT2	1	0	0	0	0	medium
UniRef90_A0ABT1H1K4	0	0	0	0	1	medium
UniRef90_A0A918U9E9	1	0	0	0	0	high
UniRef90_UPI0016000F34	0	0	0	0	1	medium
UniRef90_UPI002577B430	1	0	0	0	0	medium
UniRef90_UPI0037A8BA86	1	0	0	0	0	medium
UniRef90_UPI00397FFA7E	1	0	0	0	1	medium
UniRef90_UPI003C021FF2	1	0	0	0	0	medium
UniRef90_UPI0019CB2CD8	0	0	0	0	0	high
UniRef90_Q7NMN1	1	0	0	0	0	medium
UniRef90_UPI003119275A	1	0	0	0	0	medium
UniRef90_S3C668	0	0	0	0	1	medium
UniRef90_A0ABR1GLM2	1	0	0	0	0	medium
UniRef90_A0AAD9ICH8	0	0	0	0	1	medium
UniRef90_A0A9P8I4L6	0	0	0	0	0	high
UniRef90_A0A8H7RB45	0	0	0	0	0	high
UniRef90_A0A154DI85	1	0	0	0	0	medium
UniRef90_A0A078MP85	0	0	0	0	1	medium
UniRef90_A0A1G6GN41	0	0	0	0	1	medium
UniRef90_I1D401	1	0	0	0	0	medium
UniRef90_A0A8J3APA0	1	0	0	0	0	medium
